context_id,rater,state,fragment_id,tile,family,p1_native,p2_native,p3_native,span_px,reason,raw_path
G399_001,astra,VISIBLE,G399_001_astra_f1,1,BASELINE,200.0 466.0,304.0 377.0,261.0 414.0,136.9,Baseline and centre line paint are visible.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_001.json
G399_001,astra,VISIBLE,G399_001_astra_f2,6,CENTRE_LINE,1656.0 860.0,1646.0 950.0,1652.0 896.0,90.6,Baseline and centre line paint are visible.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_001.json
G399_001,sol,VISIBLE,G399_001_sol_f1,1,BASELINE,133.0 522.0,332.0 361.0,237.0 439.0,256.0,wide court view with baseline and lane paint legible,C:/Users/neelj/nba-track-a12/.g399_out/real_sol/G399_001.json
G399_001,sol,VISIBLE,G399_001_sol_f2,4,LANE_LINE,135.0 683.0,611.0 718.0,359.0 699.0,477.3,wide court view with baseline and lane paint legible,C:/Users/neelj/nba-track-a12/.g399_out/real_sol/G399_001.json
G399_002,astra,ABSENT,,,,,,,,Close-up shows players and spectators with no floor markings visible.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_002.json
G399_002,sol,ABSENT,,,,,,,,close-up contains no visible playing floor,C:/Users/neelj/nba-track-a12/.g399_out/real_sol/G399_002.json
G399_003,astra,ABSENT,,,,,,,,Close-up contains people and clothing with no playing floor visible.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_003.json
G399_003,sol,ABSENT,,,,,,,,close-up contains no visible playing floor,C:/Users/neelj/nba-track-a12/.g399_out/real_sol/G399_003.json
G399_004,astra,UNKNOWN,,,,,,,,People and equipment obscure the floor; no painted court marking can be identified reliably.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_004.json
G399_004,sol,ABSENT,,,,,,,,celebration close-up contains no painted floor marking,C:/Users/neelj/nba-track-a12/.g399_out/real_sol/G399_004.json
G399_005,astra,VISIBLE,G399_005_astra_f1,2,LANE_LINE,818.0 359.0,964.0 370.0,881.0 364.0,146.4,Centre line and lane boundary paint are visible in the wide shot.,C:/Users/neelj/nba-track-a12/.g399_out/real_astra/G399_005.json
