context_id,claude_visibility,note
G399_001,YES,wide NBA half-court shot; lane boundary free-throw circle and three-point arc paint legible
G399_002,NO,tight head-and-shoulders close-up of a player; no playing floor in frame
G399_003,NO,close-up of a capped player at the trophy ceremony; no playing floor in frame
G399_004,NO,trophy presentation; the floor is fully covered by people and staging
G399_005,YES,high wide shot; lane box three-point arc and baseline paint legible
G399_006,YES,low baseline shot; restricted-area arc lane boundary and orange baseline paint legible
G399_007,YES,wide free-throw shot; lane lines free-throw circle and centre arc paint legible
G399_008,YES,wide half-court shot; lane boundary arc and sideline paint legible
G399_009,YES,wide half-court shot; lane box three-point arc and baseline paint legible
G399_010,YES,wide half-court shot; lane boundary arc and free-throw circle paint legible
G399_011,YES,wide half-court shot; lane boundary three-point arc and baseline paint legible
G399_012,YES,mid shot; sideline and three-point arc paint legible on the wood floor
G399_013,YES,wide half-court shot; lane box arc and baseline paint legible
G399_014,YES,wide half-court shot; lane box three-point arc and sideline paint legible
G399_015,YES,wide centre-court shot; centre line centre circle and sideline paint legible
G399_016,YES,wide half-court shot; lane box arc baseline and sideline paint legible
G399_017,NO,close-up of a player at the free-throw line; no floor marking in frame
G399_018,YES,wide half-court shot; lane box arc and baseline paint legible
G399_019,NO,close-up of a coach behind the bench barrier; no playing floor in frame
G399_020,NO,head-and-shoulders close-up of a player; no playing floor in frame
G399_021,YES,wide half-court shot behind a graphic panel; lane box arc and baseline paint legible
G399_022,YES,wide half-court shot; lane box arc baseline and centre line paint legible
G399_023,NO,close-up of a seated player; no playing floor marking in frame
G399_024,YES,high wide shot; three-point arc free-throw circle and lane paint legible
G399_025,YES,close-up with defocused background floor; a white sideline band is still visible
G399_026,NO,crowd and player close-up; no playing floor marking in frame
G399_027,NO,running player close-up; only bare wood and a logo below him
G399_028,YES,wide half-court shot; lane box arc and baseline paint legible
G399_029,NO,close-up of a coach; no playing floor in frame
G399_030,NO,sideline interview close-up; no playing floor marking in frame
G399_031,YES,player close-up with the three-point arc band crossing the floor behind him
G399_032,NO,close-up of a coach; no playing floor marking in frame
G399_033,YES,defocused wide floor; a straight sideline band and an arc are still visible
G399_034,YES,wide half-court shot; lane box arc and sideline paint legible
G399_035,YES,wide centre-court shot; centre circle arc and sideline paint legible
G399_036,YES,wide half-court shot; arc lane lines and centre paint legible
G399_037,YES,wide half-court shot; lane box arc and baseline paint legible
G399_038,NO,player close-up; no playing floor marking in frame
G399_039,YES,wide half-court shot; lane box arc and baseline paint legible
G399_040,YES,mid shot; coloured lane with white boundary lines visible at the bottom
G399_041,NO,player close-up; no playing floor marking in frame
G399_042,YES,wide half-court shot; lane box arc and sideline paint legible
G399_043,YES,mid shot; baseline sideline and arc paint legible on the lower floor
G399_044,YES,wide half-court shot; lane box arc and baseline paint legible
G399_045,YES,wide half-court shot; lane box three-point arc and sideline paint legible
G399_046,YES,wide half-court shot; lane box arc sideline and centre paint legible
G399_047,YES,wide shot; lane box three-point arc and sideline paint legible
G399_048,YES,wide shot; lane box arc centre circle and sideline paint legible
G399_049,NO,team line-up on a darkened floor; no floor marking readable
G399_050,NO,warm-up huddle close-up; only defocused fragments of floor between bodies
G399_051,YES,wide half-court shot; lane box arc free-throw circle and baseline paint legible
G399_052,YES,wide half-court shot; lane box arc centre circle and sideline paint legible
G399_053,NO,bench close-up of two seated players; no playing floor in frame
G399_054,YES,wide half-court shot; lane box arc centre circle and sideline paint legible
G399_055,YES,wide half-court shot; lane box red three-point arc and baseline paint legible
G399_056,NO,close-up of a referee's back; no playing floor marking in frame
G399_057,YES,wide half-court shot; lane box arc free-throw circle and baseline paint legible
G399_058,YES,wide half-court shot; lane box arc and baseline paint legible
G399_059,YES,wide half-court shot; lane box arc centre circle and sideline paint legible
G399_060,YES,wide half-court shot; lane box red arc and sideline paint legible
