clip,frame_index,label
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,0,COURT_NO_PAINT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,191,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,382,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,573,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,764,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,955,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1146,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1337,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1528,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1719,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,1910,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2101,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2292,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2483,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2674,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2865,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,3056,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,3247,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,3438,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,3629,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,3820,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4011,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4202,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4393,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4584,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4775,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,4966,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5157,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5348,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5539,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5730,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5921,COURT_NO_PAINT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6112,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6303,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6494,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6685,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,6876,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,7067,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,7258,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,7449,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,7640,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,7831,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8022,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8213,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8404,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8595,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8786,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,8977,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,9168,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,9359,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,9550,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,9741,COURT_NO_PAINT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,9932,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,10123,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,10314,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,10505,PAINT_SOLVABLE
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,10696,NON_COURT
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,10887,PAINT_SOLVABLE
