frame_index,label
0,COURT_NO_PAINT
192,PAINT_SOLVABLE
384,PAINT_SOLVABLE
576,PAINT_SOLVABLE
768,PAINT_SOLVABLE
960,PAINT_SOLVABLE
1152,COURT_NO_PAINT
1344,NON_COURT
1536,NON_COURT
1728,NON_COURT
1920,NON_COURT
2112,PAINT_SOLVABLE
2304,NON_COURT
2496,PAINT_SOLVABLE
2688,PAINT_SOLVABLE
2880,PAINT_SOLVABLE
3072,PAINT_SOLVABLE
3264,PAINT_SOLVABLE
3456,PAINT_SOLVABLE
3648,PAINT_SOLVABLE
3840,COURT_NO_PAINT
4032,PAINT_SOLVABLE
4224,PAINT_SOLVABLE
4416,NON_COURT
4608,PAINT_SOLVABLE
4800,PAINT_SOLVABLE
4992,PAINT_SOLVABLE
5184,NON_COURT
5376,NON_COURT
5568,NON_COURT
5760,COURT_NO_PAINT
5952,PAINT_SOLVABLE
6144,PAINT_SOLVABLE
6336,PAINT_SOLVABLE
6528,NON_COURT
6720,NON_COURT
6912,PAINT_SOLVABLE
7104,COURT_NO_PAINT
7296,COURT_NO_PAINT
7488,PAINT_SOLVABLE
7680,NON_COURT
7872,PAINT_SOLVABLE
8064,COURT_NO_PAINT
8256,COURT_NO_PAINT
8448,PAINT_SOLVABLE
8640,COURT_NO_PAINT
8832,NON_COURT
9024,NON_COURT
9216,NON_COURT
9408,COURT_NO_PAINT
9600,NON_COURT
9792,NON_COURT
9984,PAINT_SOLVABLE
10176,PAINT_SOLVABLE
10368,PAINT_SOLVABLE
10560,PAINT_SOLVABLE
10752,PAINT_SOLVABLE
10944,PAINT_SOLVABLE
11136,PAINT_SOLVABLE
11328,NON_COURT
11520,COURT_NO_PAINT
11712,PAINT_SOLVABLE
11904,PAINT_SOLVABLE
12096,PAINT_SOLVABLE
12288,NON_COURT
12480,NON_COURT
12672,NON_COURT
12864,NON_COURT
13056,NON_COURT
13248,NON_COURT
13440,COURT_NO_PAINT
13632,COURT_NO_PAINT
13824,NON_COURT
14016,NON_COURT
14208,COURT_NO_PAINT
14400,NON_COURT
14592,COURT_NO_PAINT
14784,PAINT_SOLVABLE
14976,PAINT_SOLVABLE
15168,PAINT_SOLVABLE
15360,PAINT_SOLVABLE
15552,NON_COURT
15744,COURT_NO_PAINT
15936,PAINT_SOLVABLE
16128,COURT_NO_PAINT
16320,PAINT_SOLVABLE
16512,PAINT_SOLVABLE
16704,COURT_NO_PAINT
16896,NON_COURT
17088,NON_COURT
17280,NON_COURT
17472,NON_COURT
17664,NON_COURT
17856,PAINT_SOLVABLE
18048,PAINT_SOLVABLE
18240,PAINT_SOLVABLE
18432,PAINT_SOLVABLE
18624,PAINT_SOLVABLE
18816,NON_COURT
19008,COURT_NO_PAINT
19200,NON_COURT
19392,COURT_NO_PAINT
19584,COURT_NO_PAINT
19776,NON_COURT
19968,COURT_NO_PAINT
20160,COURT_NO_PAINT
20352,COURT_NO_PAINT
20544,COURT_NO_PAINT
20736,COURT_NO_PAINT
20928,COURT_NO_PAINT
21120,NON_COURT
21312,NON_COURT
21504,NON_COURT
21696,NON_COURT
21888,PAINT_SOLVABLE
22080,COURT_NO_PAINT
22272,NON_COURT
22464,NON_COURT
22656,COURT_NO_PAINT
22848,COURT_NO_PAINT
23040,COURT_NO_PAINT
23232,NON_COURT
23424,PAINT_SOLVABLE
23616,PAINT_SOLVABLE
23808,COURT_NO_PAINT
24000,PAINT_SOLVABLE
24192,PAINT_SOLVABLE
24384,PAINT_SOLVABLE
24576,COURT_NO_PAINT
24768,PAINT_SOLVABLE
24960,COURT_NO_PAINT
25152,PAINT_SOLVABLE
25344,PAINT_SOLVABLE
25536,PAINT_SOLVABLE
25728,COURT_NO_PAINT
25920,PAINT_SOLVABLE
26112,NON_COURT
26304,NON_COURT
26496,NON_COURT
26688,COURT_NO_PAINT
26880,NON_COURT
27072,NON_COURT
27264,NON_COURT
27456,NON_COURT
27648,NON_COURT
27840,NON_COURT
28032,PAINT_SOLVABLE
28224,PAINT_SOLVABLE
28416,COURT_NO_PAINT
28608,PAINT_SOLVABLE
