sheet,row,position,frame_key,video_id,round,reason,terra_label,sol_label,terra_cx,terra_cy,sol_cx,sol_cy,terra_d,sol_d,crop_centre_x,crop_centre_y,width,height,native_crop_px
1,1,1,12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,spBCthmSgks,1,DISCREPANT_CENTRE,VISIBLE,VISIBLE,841.0,349.5,845.5,298.5,25.5,29.0,841.0,349.5,1280,720,160
1,2,2,1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,yZ5u2sOpiNU,1,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,985.0,335.5,,23.5,985.0,335.5,1920,1080,160
1,3,3,05f397d61bd02ea0eea485196a89649b1eda5cd20110eff32184f1c93fc4df75,GG2f11NYjKw,1,LABEL_DISAGREEMENT,VISIBLE,ABSENT,1468.0,259.5,,,27.5,,1468.0,259.5,1920,1080,160
1,4,4,0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,3gBeJyl7Szg,1,MISSING_JUDGMENT,,VISIBLE,,,1038.0,367.0,,22.0,1038.0,367.0,1280,720,160
1,5,5,06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,FnbFGnX4Qgo,1,DISCREPANT_CENTRE,VISIBLE,VISIBLE,686.5,253.5,910.5,414.5,27.0,27.0,686.5,253.5,1920,1080,160
1,6,6,1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,H1-Ns9IU-JM,1,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1646.5,365.5,1687.5,549.0,28.0,27.5,1646.5,365.5,1920,1080,160
2,7,1,17c2b594ca858921bde630c4f79b07396ac95f3dfc0c410e3217f03ab59b0799,Kh7Fj4ogPN4,1,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,465.5,278.0,,17.5,465.5,278.0,1280,720,160
2,8,2,3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,Ge4uewCFUFQ,1,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1082.0,284.0,1051.5,326.5,22.0,23.0,1082.0,284.0,1280,720,160
2,9,3,0e65af112bdfe9412638ae3f999de34495aef752ac5d84c1e28163428a6d777a,FyMWTVsJvv8,1,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,,,745.0,211.0,,16.0,745.0,211.0,1280,720,160
2,10,4,51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,OHJgVogFtNE,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1288.0,562.0,1262.0,552.0,28.0,31.0,1288.0,562.0,1920,1080,160
2,11,5,2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,yZ5u2sOpiNU,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,936.5,1024.5,888.5,1029.0,132.0,170.5,936.5,1024.5,1920,1080,160
2,12,6,194783bc010e4781d0e0bb88dba61c304708c47b3a27ecfff7ac23b7028817fe,1rZZ_7buX_Y,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1005.0,353.5,961.5,363.5,30.5,26.0,1005.0,353.5,1920,1080,160
3,13,1,0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,3gBeJyl7Szg,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,270.5,553.5,241.0,563.5,27.0,24.5,270.5,553.5,1280,720,160
3,14,2,191c03d25116d7ad48ae6d9c4289f7435a39e3081a495d51edc5f76d31654038,FnbFGnX4Qgo,2,DISCREPANT_CENTRE,VISIBLE,VISIBLE,1011.0,629.0,998.5,638.5,113.0,96.0,1011.0,629.0,1920,1080,160
