frame_key,label,cx,cy,diameter,basis
12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,VISIBLE,872.5,344.5,27.0,"native zoom: ball held at chest height; both rater centres off (terra -32 px, sol -52 px)"
1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,VISIBLE,995.0,331.0,23.5,native zoom: motion-blurred drive but ball identifiable; sol centre ~10 px off
05f397d61bd02ea0eea485196a89649b1eda5cd20110eff32184f1c93fc4df75,UNKNOWN,,,,native zoom at terra centre shows a referee and an ad board with no ball; whole-frame presence unresolved
0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,VISIBLE,1040.0,371.0,22.0,native zoom: clear dribble; terra answer was an out-of-frame box for a 1280-wide source and was dropped
06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,VISIBLE,688.0,258.0,27.0,native zoom: ball at the rim at the terra centre; sol centre shows two players and no ball
1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,VISIBLE,1703.0,581.0,27.5,native zoom: ball at the dribble in the sol crop; terra centre shows empty court
17c2b594ca858921bde630c4f79b07396ac95f3dfc0c410e3217f03ab59b0799,UNKNOWN,,,,native zoom: heavily motion-blurred object consistent with a ball but not identifiable
3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,VISIBLE,1051.5,326.5,22.5,native zoom: both crops show the same ball; sol centre lands on it and terra is 52 px off
0e65af112bdfe9412638ae3f999de34495aef752ac5d84c1e28163428a6d777a,UNKNOWN,,,,"native zoom: reddish smear in a crowd-side shot, not identifiable as the game ball"
51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,VISIBLE,1292.0,559.0,28.0,"native zoom: ball held at the hip; terra centre ~5 px off, sol ~30 px"
2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,VISIBLE,912.5,1027.0,150.0,native zoom: oversized foreground ball clipped by the frame border; both centres inside it; midpoint taken
0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,VISIBLE,240.0,564.0,24.5,native zoom: dribbled ball at the sol centre; terra ~31 px off
