archive,line,rater,round,frame_key,width,height,box_w,box_h,diameter,cx,cy,usable,exclusion
g400_rater_sol_01.txt,10,sol,1,12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,1280,720,29.0,29.0,29.0,845.5,298.5,1,
g400_rater_sol_01.txt,11,sol,1,1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,1920,1080,24.0,23.0,23.5,985.0,335.5,1,
g400_rater_sol_01.txt,15,sol,1,0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,1280,720,22.0,22.0,22.0,1038.0,367.0,1,
g400_rater_sol_01.txt,16,sol,1,0e57a267d711ef73b1298a36a868f8b5d3c6cfffcd3ebcd947835d2a538fa206,1920,1080,31.0,31.0,31.0,1280.5,150.5,1,
g400_rater_sol_01.txt,18,sol,1,06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,1920,1080,27.0,27.0,27.0,910.5,414.5,1,
g400_rater_sol_01.txt,19,sol,1,1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,1920,1080,27.0,28.0,27.5,1687.5,549.0,1,
g400_rater_sol_01.txt,20,sol,1,17c2b594ca858921bde630c4f79b07396ac95f3dfc0c410e3217f03ab59b0799,1280,720,17.0,18.0,17.5,465.5,278.0,1,
g400_rater_sol_01.txt,21,sol,1,0e1c3340aa20f8875f6db9f3375803b9503d90de4e8a2e8e688d603f38acbbf5,1280,720,25.0,25.0,25.0,654.5,46.5,1,
g400_rater_sol_01.txt,22,sol,1,3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,1280,720,23.0,23.0,23.0,1051.5,326.5,1,
g400_rater_sol_01.txt,24,sol,1,082ca7619ae6cade00728666b1e288da7dbd0fb12f054903a19e54f9467e46df,1280,720,37.0,36.0,36.5,513.5,584.0,1,
g400_rater_sol_01.txt,26,sol,1,033833a1647685ecd6b012db9b6ca88b76c0048783008491f45ea30ae2241a93,1280,720,19.0,19.0,19.0,316.5,435.5,1,
g400_rater_sol_01.txt,28,sol,1,0e65af112bdfe9412638ae3f999de34495aef752ac5d84c1e28163428a6d777a,1280,720,16.0,16.0,16.0,745.0,211.0,1,
g400_rater_sol_01.txt,29,sol,1,07c32f0c1352ce05c4cb92a4491cd21ab57aac9ab36d4d4b9343407bcd22cfdb,1280,720,23.0,23.0,23.0,855.5,322.5,1,
g400_rater_sol_02.txt,1,sol,2,41a51cd4fdf664e3bbbfd0da84ff730956e6b35a18296c00b298be5bbfd4f6a9,1280,720,24.0,22.0,23.0,939.0,213.0,1,
g400_rater_sol_02.txt,2,sol,2,51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,1920,1080,30.0,32.0,31.0,1262.0,552.0,1,
g400_rater_sol_02.txt,10,sol,2,2a9a56d523ae3dd2c8ec40c0b44b6afd40c1c91c2f2c72702b7c9eda0be9aa27,1280,720,23.0,21.0,22.0,826.5,76.5,1,
g400_rater_sol_02.txt,11,sol,2,2537bfcdafca775c6aa63fc446b32a15036587b0bdb6e50feda3fc530cc37f0d,1920,1080,239.0,102.0,170.5,888.5,1029.0,1,
g400_rater_sol_02.txt,14,sol,2,194783bc010e4781d0e0bb88dba61c304708c47b3a27ecfff7ac23b7028817fe,1920,1080,25.0,27.0,26.0,961.5,363.5,1,
g400_rater_sol_02.txt,15,sol,2,0ef480c1dc0b450f69540f7d403dd41809a4e363f3afe1aa6f8399f886f012a4,1280,720,24.0,25.0,24.5,241.0,563.5,1,
g400_rater_sol_02.txt,16,sol,2,12bed787d4c9f3b1897d6af52758c4fee75ffe366b7c224442bb52c7757c4e59,1920,1080,30.0,29.0,29.5,740.0,635.5,1,
g400_rater_sol_02.txt,18,sol,2,191c03d25116d7ad48ae6d9c4289f7435a39e3081a495d51edc5f76d31654038,1920,1080,91.0,101.0,96.0,998.5,638.5,1,
g400_rater_sol_02.txt,19,sol,2,21e7d20982ca27d24be926b992c39d706262ad7ce8443959e954f2a8b918b34c,1920,1080,32.0,31.0,31.5,1120.0,404.5,1,
g400_rater_sol_02.txt,22,sol,2,40cd78f1e635413922331a25f673520a40979096dfe940167a66547a5ae860a4,1280,720,23.0,24.0,23.5,488.5,309.0,1,
g400_rater_sol_02.txt,25,sol,2,2dec3133bd281d19d5fd67fc2356176887cdee1483db572a31b1120623ce9689,1280,720,21.0,21.0,21.0,273.5,316.5,1,
g400_rater_sol_02.txt,29,sol,2,14e9395b630c30d73d0fb8cef241204ce2d0b195cfe45d957e5d2f9794d57625,1280,720,24.0,25.0,24.5,777.0,451.5,1,
g400_rater_sol_03.txt,9,sol,3,77ea01c32fe24bf55d40bae2ee73300e2a25c6223024c6f6192a553c06a68177,1920,1080,35.0,37.0,36.0,581.5,798.5,1,
g400_rater_sol_03.txt,13,sol,3,2ce95936d913a6126a5dd9ce4d04116c7001d64cc6e04387f3eab927c57a84a9,1920,1080,78.0,84.0,81.0,1027.0,545.0,1,
g400_rater_sol_03.txt,14,sol,3,4213905ecff380bb03d5126c375cf95b4841ccd82cd67dfb4e735b1a27f68343,1920,1080,38.0,35.0,36.5,1342.0,272.5,1,
g400_rater_sol_03.txt,15,sol,3,11a327e470e7fd336f43309d7c9f974a1042949071864d9a6e6bedc680835028,1280,720,131.0,129.0,130.0,245.5,489.5,1,
g400_rater_sol_03.txt,20,sol,3,5398d378368ea8a73c7a7a8371f8eb1bb167c399d7a940c180ee25b837518d58,1280,720,24.0,23.0,23.5,873.0,287.5,1,
g400_rater_sol_03.txt,21,sol,3,60a890f483f3e81ae4881a61ae49d75453f18d4110d195574f13128a87148484,1280,720,181.0,178.0,179.5,745.5,537.0,1,
