conflict_index,frame_key,round,strip,strip_row,disagreement_class,terra_label,sol_label,resolved_label,object_category,secondary_category,evidence_source,eye_verdict,basis
1,12a12dda6f5a4f62765428be8935f836151f729cba9f61c501fa76bfd1143a77,1,conflict_zoom_01.jpg,1,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: ball held at chest height; both rater centres off (terra -32 px, sol -52 px)"
2,1a65f88cf1520a93f057127cc27bfa43042273dae462952cfd136b533c556ec9,1,conflict_zoom_01.jpg,2,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: motion-blurred drive but ball identifiable; sol centre ~10 px off
3,05f397d61bd02ea0eea485196a89649b1eda5cd20110eff32184f1c93fc4df75,1,conflict_zoom_01.jpg,3,LABEL_DISAGREEMENT,VISIBLE,ABSENT,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom at terra centre shows a referee and an ad board with no ball; whole-frame presence unresolved
4,0746f934c5033313912857a75def3cbcbdb788df30511f21c60d34c00423ac8b,1,conflict_zoom_01.jpg,4,INVALID_COORDINATE,,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,RECEIPT_ESTABLISHED,INSPECTED_CONSISTENT,native zoom: clear dribble; terra answer was an out-of-frame box for a 1280-wide source and was dropped
5,06c833af5a9f2193620e7940ec49b1ee714775ec9802b44615f7e4852c9c348e,1,conflict_zoom_01.jpg,5,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball at the rim at the terra centre; sol centre shows two players and no ball
6,1c5bf1ecfc05baefc75b2badb39851755973658158679cae6140d6acf509b519,1,conflict_zoom_01.jpg,6,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: ball at the dribble in the sol crop; terra centre shows empty court
7,17c2b594ca858921bde630c4f79b07396ac95f3dfc0c410e3217f03ab59b0799,1,conflict_zoom_02.jpg,7,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,UNKNOWN,UNRESOLVED,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: heavily motion-blurred object consistent with a ball but not identifiable
8,3c7538e1555b95c92a5c1e632e336974262ab6b15fe5794f062371c63ac00575,1,conflict_zoom_02.jpg,8,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,native zoom: both crops show the same ball; sol centre lands on it and terra is 52 px off
9,0e65af112bdfe9412638ae3f999de34495aef752ac5d84c1e28163428a6d777a,1,conflict_zoom_02.jpg,9,LABEL_DISAGREEMENT,UNKNOWN,VISIBLE,UNKNOWN,OTHER_OBJECT,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: reddish smear in a crowd-side shot, not identifiable as the game ball"
10,51eea5c7d1aeddf072ee10e051bb5489a2c01631f50bba80c126f16e05d9ef51,2,conflict_zoom_02.jpg,10,DISCREPANT_CENTRE,VISIBLE,VISIBLE,VISIBLE,SAME_OBJECT_LOCALISATION,,ADJUDICATOR_ASSERTION,INSPECTED_CONSISTENT,"native zoom: ball held at the hip; terra centre ~5 px off, sol ~30 px"
