order_index,case_id,expected_state,expected_cx,expected_cy,expected_diameter,ball_bbox,centre_bar_px
1,G403-01-01,VISIBLE,960,540,32,944|524|976|556,10.667
2,G403-02-02,VISIBLE,480,540,32,464|524|496|556,10.667
3,G403-03-03,VISIBLE,1440,540,32,1424|524|1456|556,10.667
4,G403-04-04,VISIBLE,640,360,24,628|348|652|372,12.0
5,G403-05-05,ABSENT,,,,,3.0
6,G403-06-01,UNKNOWN,,,,,3.0
7,G403-01-02,VISIBLE,480,540,32,464|524|496|556,10.667
8,G403-02-03,VISIBLE,1440,540,32,1424|524|1456|556,10.667
9,G403-03-04,VISIBLE,640,360,24,628|348|652|372,12.0
10,G403-04-05,VISIBLE,960,360,24,948|348|972|372,12.0
11,G403-05-01,ABSENT,,,,,3.0
12,G403-06-02,UNKNOWN,,,,,3.0
13,G403-01-03,VISIBLE,1440,540,32,1424|524|1456|556,10.667
14,G403-02-04,VISIBLE,640,360,24,628|348|652|372,12.0
15,G403-03-05,VISIBLE,960,360,24,948|348|972|372,12.0
16,G403-04-01,VISIBLE,960,540,32,944|524|976|556,10.667
17,G403-05-02,ABSENT,,,,,3.0
18,G403-06-03,UNKNOWN,,,,,3.0
19,G403-01-04,VISIBLE,640,360,24,628|348|652|372,12.0
20,G403-02-05,VISIBLE,960,360,24,948|348|972|372,12.0
21,G403-03-01,VISIBLE,960,540,32,944|524|976|556,10.667
22,G403-04-02,VISIBLE,480,540,32,464|524|496|556,10.667
23,G403-05-03,ABSENT,,,,,3.0
24,G403-06-04,UNKNOWN,,,,,3.0
25,G403-01-05,VISIBLE,960,360,24,948|348|972|372,12.0
26,G403-02-01,VISIBLE,960,540,32,944|524|976|556,10.667
27,G403-03-02,VISIBLE,480,540,32,464|524|496|556,10.667
28,G403-04-03,VISIBLE,1440,540,32,1424|524|1456|556,10.667
29,G403-05-04,ABSENT,,,,,3.0
30,G403-06-05,UNKNOWN,,,,,3.0
