ordinal,kind,game_id
1,leading,-Oa_BpdVT64_s1000
2,ordinary,Oa_BpdVT64_s1000
3,leading,-Oa_BpdVT64_s1001
4,ordinary,Oa_BpdVT64_s1001
5,leading,-Oa_BpdVT64_s1002
6,ordinary,Oa_BpdVT64_s1002
7,leading,-Oa_BpdVT64_s1003
8,ordinary,Oa_BpdVT64_s1003
9,leading,-Oa_BpdVT64_s1004
10,ordinary,Oa_BpdVT64_s1004
11,leading,-Oa_BpdVT64_s1005
12,ordinary,Oa_BpdVT64_s1005
13,leading,-Oa_BpdVT64_s1006
14,ordinary,Oa_BpdVT64_s1006
15,leading,-Oa_BpdVT64_s1007
16,ordinary,Oa_BpdVT64_s1007
17,leading,-Oa_BpdVT64_s1008
18,ordinary,Oa_BpdVT64_s1008
19,leading,-Oa_BpdVT64_s1009
20,ordinary,Oa_BpdVT64_s1009
21,leading,-Oa_BpdVT64_s1010
22,ordinary,Oa_BpdVT64_s1010
23,leading,-Oa_BpdVT64_s1011
24,ordinary,Oa_BpdVT64_s1011
25,leading,-Oa_BpdVT64_s1012
26,ordinary,Oa_BpdVT64_s1012
27,leading,-Oa_BpdVT64_s1013
28,ordinary,Oa_BpdVT64_s1013
29,leading,-Oa_BpdVT64_s1014
30,ordinary,Oa_BpdVT64_s1014
31,leading,-Oa_BpdVT64_s1015
32,ordinary,Oa_BpdVT64_s1015
33,leading,-Oa_BpdVT64_s1016
34,ordinary,Oa_BpdVT64_s1016
35,leading,-Oa_BpdVT64_s1017
36,ordinary,Oa_BpdVT64_s1017
37,leading,-Oa_BpdVT64_s1018
38,ordinary,Oa_BpdVT64_s1018
39,leading,-Oa_BpdVT64_s1019
40,ordinary,Oa_BpdVT64_s1019
41,leading,-Oa_BpdVT64_s1020
42,ordinary,Oa_BpdVT64_s1020
43,leading,-Oa_BpdVT64_s1021
44,ordinary,Oa_BpdVT64_s1021
45,leading,-Oa_BpdVT64_s1022
46,ordinary,Oa_BpdVT64_s1022
47,leading,-Oa_BpdVT64_s1023
48,ordinary,Oa_BpdVT64_s1023
49,leading,-Oa_BpdVT64_s1024
50,ordinary,Oa_BpdVT64_s1024
51,leading,-Oa_BpdVT64_s1025
52,ordinary,Oa_BpdVT64_s1025
53,leading,-Oa_BpdVT64_s1026
54,ordinary,Oa_BpdVT64_s1026
55,leading,-Oa_BpdVT64_s1027
56,ordinary,Oa_BpdVT64_s1027
57,leading,-Oa_BpdVT64_s1028
58,ordinary,Oa_BpdVT64_s1028
59,leading,-Oa_BpdVT64_s1029
60,ordinary,Oa_BpdVT64_s1029
61,supplemental,--help
62,supplemental,--frames
63,supplemental,-1
64,supplemental,-
65,supplemental,--
66,supplemental,-x=y
