context_id,claude_visibility,note
G396_001,YES,wide game shot; three-point arc lane and sideline paint legible
G396_002,NO,close-up of coach at the scorer table; no playing floor in frame
G396_003,NO,"single-player close-up; background floor is motion blurred, no straight paint legible"
G396_004,YES,wide shot; three-point arc lane and baseline paint legible
G396_005,YES,wide transition shot; three-point arc and centre-area paint legible
G396_006,YES,wide shot; lane lines free-throw circle and arc legible
G396_007,YES,wide shot; lane line free-throw line and arc legible
G396_008,NO,tight huddle close-up; no floor marking in frame
G396_009,YES,wide shot; arc centre line and lane paint legible
G396_010,NO,low free-throw camera; floor strip is dark and occluded by players
G396_011,YES,wide shot; arc lane and free-throw paint legible
G396_012,NO,bench and sideline close-up; no playing floor marking in frame
G396_013,YES,wide shot; arc lane and baseline paint legible
G396_014,YES,wide shot; arc lane and centre circle paint legible
G396_015,NO,referee close-up against signage; no floor in frame
G396_016,NO,player close-up; floor visible but no straight painted marking legible
G396_017,YES,wide free-throw shot; lane arc and free-throw paint legible
G396_018,YES,wide shot; lane arc and sideline paint legible
G396_019,YES,wide shot; arc baseline and lane paint legible
G396_020,YES,wide shot; centre line and three-point arc legible
G396_021,YES,wide shot; arc lane and free-throw circle legible
G396_022,YES,wide shot; arc lane and free-throw circle legible
G396_023,YES,wide shot; centre line and arc legible
G396_024,YES,wide shot; lane arc and sideline paint legible
G396_025,YES,wide shot; arc lane and centre circle legible
G396_026,YES,wide shot; arc centre circle and lane paint legible
G396_027,YES,wide shot; arc centre circle and lane paint legible
G396_028,YES,wide shot; arc lane and sideline paint legible
G396_029,NO,coaching-staff bench close-up; no playing floor in frame
G396_030,YES,wide shot; arc and centre line legible
