clip,frame_index,split,render,observation
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,15168,held_out,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f15168.jpg,no assignment emitted
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,8256,held_out,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f8256.jpg,all four labels are broadcast-graphic or player-outline lines
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,12988,held_out,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f12988.jpg,labels follow basket-shot-clock structure rather than all four paint boundaries
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,191,held_out,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f191.jpg,labels follow banner and midcourt graphics rather than paint
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20544,held_out,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f20544.jpg,no assignment emitted
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,28608,held_out,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f28608.jpg,no assignment emitted
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,384,held_out,renders/ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f384.jpg,no assignment emitted
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,18145,held_out,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f18145.jpg,labels follow court-border and banner lines rather than paint
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,28268,held_out,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f28268.jpg,close-up has no paint and labels follow portrait/background edges
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,5539,held_out,renders/ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f5539.jpg,labels follow midcourt graphic and sidelines rather than paint
wnba__wnba_01,0,held_out,renders/wnba__wnba_01__f0.jpg,no assignment emitted
wnba__wnba_01,13632,held_out,renders/wnba__wnba_01__f13632.jpg,no assignment emitted
