row_id,source_id,arena,classification,negative_category,landmark_name,x,y,visible,confidence,note,locator_name
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_L,524,379,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_R,816,407,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,651,506,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,943,542,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,KEY_TOP,1085,438,1,0.58,frame-boundary,gpt-5.6-terra
wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,THREE_PT_BASE_L,366,381,1,0.56,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_L,540,374,1,0.63,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_R,824,405,1,0.63,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,670,500,1,0.63,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,958,535,1,0.63,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,KEY_TOP,1102,435,1,0.58,frame-boundary,gpt-5.6-terra
wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,THREE_PT_BASE_L,380,375,1,0.56,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_L,536,378,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_R,827,409,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,662,505,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,951,539,1,0.62,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,KEY_TOP,1097,439,1,0.58,frame-boundary,gpt-5.6-terra
wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,THREE_PT_BASE_L,375,378,1,0.56,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_L,528,375,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_R,820,407,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,654,501,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,945,535,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,KEY_TOP,1090,435,1,0.56,frame-boundary,gpt-5.6-terra
wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,THREE_PT_BASE_L,365,377,1,0.55,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,CENTER_SIDELINE_NEAR,1538,815,1,0.64,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,CENTER_SIDELINE_FAR,1541,285,1,0.64,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,CENTER_CIRCLE_TOP,1515,416,1,0.55,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,CENTER_CIRCLE_BOTTOM,1530,592,1,0.55,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,520,398,1,0.52,frame-boundary,gpt-5.6-terra
wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,620,462,1,0.52,frame-boundary,gpt-5.6-terra
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_L,1398,376,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,LANE_BASE_R,1104,405,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_L,1274,499,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,FT_LINE_R,980,535,1,0.61,frame-boundary,gpt-5.6-terra
wnba_01_09,wnba_01,Gateway Center Arena,ELIGIBLE,,KEY_TOP,830,438,1,0.56,frame-boundary,gpt-5.6-terra
