frame_id,player_ordinal,x,y,source,distance_px,note
0,1,852,482,adjudicated_B,12.806,A on lower leg; B at shoe-floor contact
0,2,900,443,adjudicated_B,40.311,B at dark shoe contact; A on open floor below
0,3,920,482,adjudicated_B,7.211,B at sole of green shoe; A on shoe upper
0,4,1020,422,adjudicated_B,,base of white shoe at court line
0,5,1049,432,adjudicated_B,47.634,B at dark shoe contact; A on empty floor
0,6,1087,459,adjudicated_B,33.242,B at yellow-green shoe base; A on empty floor
0,0,962,476,dropped,,mark on open floor with no visible foot at it
7584,1,94,689,adjudicated_B,,base of dark blue shoes
7584,2,378,774,adjudicated_B,,lower boundary of black shoe
7584,3,616,775,adjudicated_B,,base of green shoe
7584,4,716,803,adjudicated_B,38.118,A on shoe upper; B at sole
7584,5,947,726,adjudicated_B,,base of purple shoe
7584,6,1185,817,adjudicated_B,,floor midpoint between the two white shoes
7584,7,1190,739,adjudicated_B,,base of yellow-white shoe
7584,0,76,777,dropped,,open floor no foot at mark
7584,0,302,781,dropped,,about 40 px below the shoe sole on the reflection
7584,0,548,785,dropped,,open floor near line no foot at mark
7584,0,946,778,dropped,,open floor no foot at mark
7584,0,1114,820,dropped,,about 30 px below the white shoe sole
7584,0,1245,830,dropped,,about 30 px below the white shoe sole
15168,1,366,435,adjudicated_B,12.000,A on purple shoe upper; B at sole
15168,2,543,520,adjudicated_A,12.369,A at sole of right yellow shoe; B on floor to the left
15168,3,569,543,adjudicated_B,9.434,B at sole; A on shoe upper
15168,4,951,549,adjudicated_A,5.000,indistinguishable at crop resolution; sealed tie-break R9
15168,5,1197,544,adjudicated_B,20.125,B at floor; A at ankle height
15168,6,1238,526,adjudicated_B,14.142,A on yellow shoe upper; B at base
15168,7,1338,494,adjudicated_A,29.732,A on the dark shoe; B on empty dark floor below
15168,8,1424,550,adjudicated_B,17.000,A on blue shoe upper; B at base
15168,0,927,442,dropped,,mark on the player torso not a floor contact
15168,0,1250,489,dropped,,mark on a shoe upper well above the floor plane
30335,1,635,443,adjudicated_A,5.385,indistinguishable at crop resolution; sealed tie-break R9
30335,2,812,387,adjudicated_A,20.616,A at the sole of the left white shoe; B on floor between feet
30335,3,899,502,adjudicated_B,,base of the red shoe at the sideline; role judgement inherited from B
30335,4,979,555,adjudicated_B,34.176,B at the purple-white shoe cluster base; A on empty dark floor
30335,5,1134,472,adjudicated_B,19.416,B at the yellow-green shoe base; A below on dark floor
30335,6,1354,620,adjudicated_B,15.000,A on the white shoe body; B at its sole
30335,7,1689,638,adjudicated_B,12.166,B at the dark green shoe base; A on floor to the right
30335,0,905,574,dropped,27.019,neither mark at a visible foot; open floor
30335,0,1034,547,dropped,9.220,neither mark at a visible foot; open dark floor
30335,0,1035,365,dropped,,about 30 px right of the nearest shoe on open floor
37919,1,478,465,adjudicated_B,26.401,B at floor between the purple shoes; A on the shoe upper
37919,2,681,504,adjudicated_B,14.036,B at the green shoe base; A on the shoe body
37919,3,799,688,adjudicated_A,,on the white shoe upper within the pass stated precision
37919,4,1018,586,adjudicated_A,,floor beside the white shoe sole
37919,5,1180,523,adjudicated_A,13.153,A at floor midpoint between the red shoes; B left of them
37919,6,1230,527,adjudicated_B,6.403,B at the mint shoe base; A beside it
37919,7,1517,695,adjudicated_B,7.211,B at the sole; A on the shoe body
37919,0,582,633,dropped,,mark at sock height above both blue shoes
37919,0,1587,721,dropped,,mark on a thigh in a cluster of bending people
37919,0,341,714,dropped,,open floor about 30 px right of the shoes
37919,0,608,658,dropped,,open floor below-right of the two dark blue shoes
37919,0,830,693,dropped,,open floor between a shoe and a leg; no visible contact
45503,1,399,746,adjudicated_B,49.000,B at the blurred dark shoe; A on empty floor to the left
45503,2,702,690,adjudicated_B,6.403,B at the base of the yellow-green shoe; A on its upper
45503,3,787,584,adjudicated_A,17.117,A at the base of the dark shoe; B on floor to the left
45503,4,875,611,adjudicated_B,9.000,B at floor below the black-white shoe; A on its upper
45503,5,919,602,agreed,4.000,distance within the sealed 4.0 px agreement tolerance
45503,6,1513,715,adjudicated_A,,floor midpoint between the two yellow shoes
45503,0,1881,730,dropped,,mark on a leg in the background crowd
45503,0,851,392,dropped,,blurred bench crowd; no floor contact at the mark
45503,0,1006,469,dropped,,about 30 px below-left of the dark blue shoe
45503,0,1533,720,dropped,,near-duplicate of A6 at 20.6 px; kept once as A6
53087,1,380,631,adjudicated_B,29.833,B at the base of the white-blue shoe; A on floor above
53087,2,590,629,adjudicated_A,,floor midpoint between the two yellow shoes
53087,3,735,496,adjudicated_B,,base of the pink shoes
53087,4,1263,682,adjudicated_A,29.000,A on the yellow shoe; B on floor beside the body
53087,5,1512,786,adjudicated_A,21.024,A nearer the base of the green shoe; B further right
53087,0,789,810,dropped,7.071,both marks mid-leg; no foot visible at either
53087,0,635,798,dropped,,open floor left of the leg; no foot at the mark
53087,0,1000,528,dropped,,black sideline strip; no feet at the mark
53087,0,1222,498,dropped,,mark on a player torso
53087,0,591,636,dropped,,near-duplicate of A2 at 7.1 px; kept once as A2
53087,0,588,453,dropped,,mark on a persons head; not a floor contact
53087,0,1329,505,dropped,,about 30 px below the dark shoes on the sideline strip
68255,1,360,594,adjudicated_B,37.014,B at floor level by the left yellow shoe; A on the right shoe upper
68255,2,698,632,adjudicated_B,,base of the white shoe
68255,3,753,422,adjudicated_B,,base of the blue shoe
68255,4,811,762,adjudicated_B,,base of the purple shoes
68255,5,1047,574,adjudicated_B,22.023,B at the base of the right green shoe; A on the shoe body
68255,6,1146,581,adjudicated_B,26.000,B at floor between the two shoes; A on the shoe upper
68255,7,1184,467,adjudicated_B,,base of the white-pink shoe
68255,8,1190,471,adjudicated_B,,base of the second white-pink shoe
68255,9,1275,461,adjudicated_A,,at the ankle just above the white shoe; within stated precision
68255,0,701,487,dropped,42.485,A on the player shorts; B on empty dark floor
68255,0,361,690,dropped,,seated bench crowd; not a court contact
68255,0,719,464,dropped,,mark on the player shorts
68255,0,1249,575,dropped,,empty floor; no foot at the mark
68255,0,167,697,dropped,,seated crowd area; not a player floor contact
75839,1,252,494,adjudicated_B,23.770,B at the base of the dark shoe; A on empty floor to the right
75839,2,627,712,adjudicated_B,,base of the red shoe
75839,3,915,452,adjudicated_B,,base of the black-white shoe
75839,4,1058,580,adjudicated_B,,base of the blue shoe
75839,5,1059,384,adjudicated_B,,base of the green shoe
75839,6,1100,410,adjudicated_B,,base of the white-black shoe
75839,7,1277,510,adjudicated_B,,base of the grey-white shoe on the sideline strip
75839,8,1725,580,adjudicated_B,,base of the mint shoe
75839,0,387,568,dropped,,empty floor; no foot at the mark
75839,0,695,710,dropped,,empty floor; no foot at the mark
75839,0,724,428,dropped,,empty floor above the line; the shoe is well below
75839,0,1056,517,dropped,,mark on a leg in the bench area
75839,0,1168,417,dropped,,empty floor; no foot at the mark
