source_file,candidate,source_bytes,durability_screen,uncited_by_all_readers,protected_thin_game,not_candidate_reason
baseball__kbo_06.mp4,no,642203161,yes,no,no,"Cited by dynamic R01 and R02."
baseball__kbo_07.mp4,no,648964602,yes,no,no,"Cited by dynamic R01 and R02."
baseball__kbo_08.mp4,no,533566464,yes,no,no,"Cited by dynamic R01 and R02."
baseball__npb_02.mp4,no,895692406,yes,no,no,"Cited by dynamic R01 and R02."
baseball__npb_03.mp4,no,3093450494,yes,no,no,"Cited by dynamic R01 and R02."
football__football_Z8Ezd95NnjM.mp4,no,2493550705,yes,no,no,"Cited by dynamic R01 and R02."
football__football_yahhMkUWd7c.mp4,no,2567704906,yes,no,no,"Cited by dynamic R01 and R02."
mlb__mlb_nLoG6gvC-Nk.mp4,no,1066801340,yes,no,no,"Cited by dynamic R01 and R02."
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,no,3580059573,no,no,yes,"Not durable; protected thin game; cited by R01/R02 and explicit basketball readers."
soccer__soccer_dnR5C6WLJI4.mp4,no,3373680742,yes,no,no,"Cited by dynamic R01 and R02."
tennis__tennis_02.mp4,no,4131436578,yes,no,no,"Cited by dynamic R01 and R02."
wnba__wnba_01.mp4,no,2931985407,yes,no,yes,"Protected thin game; cited by R01/R02 and explicit basketball readers."
