row_id,arena,resolved_landmarks,structures,e1_ready
wnba_04_03,Climate Pledge Arena,0,0,FALSE
wnba_04_04,Climate Pledge Arena,0,0,FALSE
wnba_04_06,Climate Pledge Arena,1,1,FALSE
wnba_04_09,Climate Pledge Arena,0,0,FALSE
wnba_04_12,Climate Pledge Arena,1,1,FALSE
wnba_04_16,Climate Pledge Arena,0,0,FALSE
wnba_04_17,Climate Pledge Arena,1,1,FALSE
wnba_04_20,Climate Pledge Arena,0,0,FALSE
wnba_04_22,Climate Pledge Arena,0,0,FALSE
wnba_01_01,Gateway Center Arena,1,1,FALSE
wnba_01_03,Gateway Center Arena,1,1,FALSE
wnba_01_04,Gateway Center Arena,0,0,FALSE
wnba_01_05,Gateway Center Arena,1,1,FALSE
wnba_01_07,Gateway Center Arena,0,0,FALSE
wnba_01_09,Gateway Center Arena,0,0,FALSE
wnba_01_13,Gateway Center Arena,0,0,FALSE
wnba_01_14,Gateway Center Arena,0,0,FALSE
wnba_01_17,Gateway Center Arena,2,2,FALSE
wnba_01_19,Gateway Center Arena,0,0,FALSE
wnba_01_20,Gateway Center Arena,1,1,FALSE
wnba_01_21,Gateway Center Arena,2,1,FALSE
wnba_01_22,Gateway Center Arena,1,1,FALSE
wnba_01_25,Gateway Center Arena,0,0,FALSE
