locator_name,row_id,source_id,arena,classification,negative_category,unresolved_reason,court_end,record_type,landmark_name,x,y,visible,confidence,note
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,523,352,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,454,431,TRUE,0.86,clear
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,269,583,TRUE,0.92,clear
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,951,410,TRUE,0.78,player-occlusion
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,958,610,TRUE,0.88,clear
gpt-5.6-sol,wnba_01_01,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,1265,526,TRUE,0.82,clear
gpt-5.6-sol,wnba_01_02,wnba_01,Gateway Center Arena,NEGATIVE,close-up,,NOT_IDENTIFIABLE,FRAME,,,,FALSE,,gpt-5.6-sol MODEL: player portrait; no usable court markings.
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,574,365,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,489,420,TRUE,0.88,clear
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,284,552,TRUE,0.92,clear
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,1008,421,TRUE,0.75,player-occlusion
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,977,618,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_03,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,1268,520,TRUE,0.82,clear
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,522,382,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,443,452,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,216,597,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,1018,421,TRUE,0.77,player-occlusion
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,959,661,TRUE,0.86,clear
gpt-5.6-sol,wnba_01_04,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,1260,541,TRUE,0.80,clear
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CORNER_FAR_L,610,375,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_L,510,476,TRUE,0.83,player-occlusion
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,LANE_BASE_R,287,609,TRUE,0.90,clear
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_L,1155,501,TRUE,0.82,clear
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,FT_LINE_R,1097,624,TRUE,0.78,player-occlusion
gpt-5.6-sol,wnba_01_05,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,1381,579,TRUE,0.88,clear
gpt-5.6-sol,wnba_01_06,wnba_01,Gateway Center Arena,NEGATIVE,close-up,,BASKET_END_CENTERED,FRAME,,,,FALSE,,gpt-5.6-sol MODEL: tight rim and backboard shot; no court markings.
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CENTER_SIDELINE_FAR,1543,307,TRUE,0.85,clear
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CENTER_SIDELINE_NEAR,1492,809,TRUE,0.70,graphic-occlusion
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CENTER_CIRCLE_TOP,1531,410,TRUE,0.75,motion-blur
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,CENTER_CIRCLE_BOTTOM,1518,611,TRUE,0.75,motion-blur
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,LANDMARK,KEY_TOP,194,450,TRUE,0.72,frame-boundary
gpt-5.6-sol,wnba_01_07,wnba_01,Gateway Center Arena,ELIGIBLE,,,LEFT_BASKET,SHORTFALL,,,,FALSE,,visible_named_landmarks=5;required=6
