clip,frame_index,group_index,label_transfer,endpoints
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,0,other,"[[123,338],[639,358]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,1,other,"[[114,281],[428,287]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,2,other,"[[128,337],[398,339]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,3,other,"[[66,327],[494,300]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,4,other,"[[238,365],[401,365]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,5,court_line,"[[201,187],[592,206]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,6,court_line,"[[316,207],[613,178]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,7,other,"[[51,23],[624,23]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,8,other,"[[77,312],[197,196]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,9,other,"[[71,244],[426,248]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,10,other,"[[43,365],[603,368]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,11,court_line,"[[103,215],[608,186]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,12,other,"[[271,356],[604,371]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,13,court_line,"[[108,305],[173,303]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,14,other,"[[463,319],[525,306]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,15,other,"[[48,262],[108,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,16,other,"[[48,264],[111,266]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,17,other,"[[484,134],[484,194]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,18,other,"[[403,328],[461,319]]"
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,19,other,"[[38,273],[93,281]]"
