row_id,file,line,columns,inline_ball_rows,joins_on_frame,route,class,notes
R1,src/data/nba_enricher.py,1075,frame+detected,no,no,enrichment,READS_BALL_TABLE,clip start calibration
R2,src/data/nba_enricher.py,1106,frame+timestamp+detected,no,no,enrichment,READS_BALL_TABLE,frame rate inference
R3,src/data/nba_enricher.py,1151,frame+timestamp+detected,no,no,enrichment,READS_BALL_TABLE,period inference
R4,src/ingest/quality.py,26,detected,no,no,quality,READS_BALL_TABLE,ball table quality check
R5,scripts/audit_completed.py,46,ball_x2d+ball_y2d,no,no,audit,READS_BALL_TABLE,coordinate audit
R6,scripts/audit_phase_g.py,129,detected,no,no,audit,READS_BALL_TABLE,presence and detected share
R7,scripts/backfill_pbp_context.py,332,frame+ball columns,no,yes,PBP context,READS_BALL_TABLE,frame context join
R8,scripts/batch_season.py,120,table presence,no,no,batch,READS_BALL_TABLE,completion check
R9,scripts/full_game_pipeline.py,492,table presence,no,no,pipeline,READS_BALL_TABLE,per-game output check
R10,scripts/master_pipeline.py,116,table presence,no,no,pipeline,READS_BALL_TABLE,per-game output check
R11,scripts/run_phase_g.py,343,detected+ball coords,no,no,phase runner,READS_BALL_TABLE,quality update
R12,scripts/run_phase_g.py,557,detected,no,no,phase runner,READS_BALL_TABLE,detected share
R13,scripts/run_season_queue.py,236,table presence,no,no,queue,READS_BALL_TABLE,completion check
R14,scripts/validate_game.py,524,ball columns,no,yes,validation,READS_BALL_TABLE,game validation join
R15,scripts/validate_games.py,85,detected,no,no,validation,READS_BALL_TABLE,aggregate validation
R16,scripts/platformkit/attempted_frame_count_source.py,83,frame,no,yes,harness support,READS_BALL_TABLE,attempted-frame source
R17,scripts/platformkit/tracking/g198_prefetch_frame_misalignment.py,36,frame,no,yes,analytic,READS_BALL_TABLE,frame alignment check
R18,scripts/platformkit/tracking/g309_multigame_census.py,181,detected+inferred+ball coords,no,no,analytic,READS_BALL_TABLE,ball census
R19,scripts/platformkit/tracking/g310_instance_key.py,197,frame,no,yes,analytic,READS_BALL_TABLE,instance-key input
R20,scripts/platformkit/tracking/g310_native_input_arm.py,90,frame+ball coords,no,yes,analytic,READS_BALL_TABLE,native input arm
R21,scripts/platformkit/tracking/g314_ball_inferred_coords.py,150,detected+inferred+ball coords,no,no,analytic,READS_BALL_TABLE,archived-table reader
