memo,line,artifact,token,length,landing_commit,class,reason,form,candidates
docs/evidence/tracking/G296_VERIFY_2026-09-07.md,20,NONE,dcfa4d4be8f735dd1832bbe499991d88e3c34ef25654ae7819d96439c321b5d5,64,ef3269572c03e84158f1f4bfd139f9913b984d04,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G296_VERIFY_2026-09-07.md:6e989de97406
docs/evidence/tracking/G302_VERIFY_ATTEMPT1_2026-09-07.md,6,NONE,0dfe034e,8,e286cd4daffde653862a62bff4cefcfc55edeeea,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G302_VERIFY_ATTEMPT1_2026-09-07.md:b5391827196a
docs/evidence/tracking/G303_VERIFY_2026-09-07.md,31,NONE,0f4ee0f6d56bfe6b,16,b27d8902845580084beb92d1db00169bd7e4f7f9,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G303_VERIFY_2026-09-07.md:d51cddb8cf90
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,2841750689,10,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_2026-09-07.md:d51748c074da
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,f2421bc24e5cbb28f41fa79f9ea755b2eeff4daebd48dc5496cc97e5617cf9d3,64,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_2026-09-07.md:d51748c074da
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,1114349874,10,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_2026-09-07.md:d51748c074da
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,1331fba8c2544e3ef3f44ceb7ff2886d67faa3027cc07c4d6f1919d4d53dc166,64,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_2026-09-07.md:d51748c074da
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,2841750689,10,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md:969e0a829e4a
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,f2421bc24e5cbb28f41fa79f9ea755b2eeff4daebd48dc5496cc97e5617cf9d3,64,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md:969e0a829e4a
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,1114349874,10,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md:969e0a829e4a
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,1331fba8c2544e3ef3f44ceb7ff2886d67faa3027cc07c4d6f1919d4d53dc166,64,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md:969e0a829e4a
docs/evidence/tracking/G305_VERIFY_2026-09-07.md,12,NONE,c5a86154da32177f00b72c8b54651ce73b4d68c48001348848ff4df3c6bd2f95,64,4db5e8b1346b8364db365609b8f0535c0ec9b68e,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G305_VERIFY_2026-09-07.md:dc9b1f34b6d8
docs/evidence/tracking/G305_VERIFY_2026-09-07.md,18,NONE,b1ac28da603c0bfee91b59a30280a2b861ab0e781aec366949a2fdad61b64b96,64,4db5e8b1346b8364db365609b8f0535c0ec9b68e,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G305_VERIFY_2026-09-07.md:dc9b1f34b6d8
docs/evidence/tracking/G305_VERIFY_2026-09-07.md,33,NONE,c5a86154da32177f00b72c8b54651ce73b4d68c48001348848ff4df3c6bd2f95,64,4db5e8b1346b8364db365609b8f0535c0ec9b68e,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G305_VERIFY_2026-09-07.md:dc9b1f34b6d8
docs/evidence/tracking/G305_VERIFY_2026-09-07.md,33,NONE,752c616ed,9,4db5e8b1346b8364db365609b8f0535c0ec9b68e,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G305_VERIFY_2026-09-07.md:dc9b1f34b6d8
docs/evidence/tracking/G309_VERIFY_2026-09-07.md,15,NONE,f79cb63ab17a93d1b219b2e020af68c764d670241189d40a61bf0f387eca50e0,64,0813aae4c7fa7b3e484615acebe63096374b9adf,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G309_VERIFY_2026-09-07.md:ddee7e9ea3eb
docs/evidence/tracking/G311_VERIFY_ATTEMPT1_2026-09-07.md,9,NONE,df8cfa89e76a05e5bfb5d57ecf9998289761f79efa051a44b4a12619bc145eff,64,89fc40ddd232a8f812fdf9e93b948150104b0d18,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G311_VERIFY_ATTEMPT1_2026-09-07.md:fe65114583f5
docs/evidence/tracking/G311_VERIFY_ATTEMPT1_2026-09-07.md,9,NONE,229f527ca88498e8894a778a62a878a322b4a3ea2cae09ea537d34b7e907792b,64,89fc40ddd232a8f812fdf9e93b948150104b0d18,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G311_VERIFY_ATTEMPT1_2026-09-07.md:fe65114583f5
docs/evidence/tracking/G312_VERIFY_2026-09-07.md,22,NONE,e04867c94d7e8b30cdec89acd809be71937536b86538446fa53dbaa1acaa9213,64,f569a61f5e079578a2a8e4a9f94203c33fc716b2,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G312_VERIFY_2026-09-07.md:67238d027d5c
docs/evidence/tracking/G313_VERIFY_2026-09-07.md,27,g313_prereg_2026-09-07.md:50-51,5cb2a5da7a37186b967dec37807cc931a92e456b2cc5e5e141aac51cc6f121da,64,9c87fb34f1ae3647aeb3da7fd8f9b48916c45d47,UNRESOLVED,token is not a digest,,docs/evidence/tracking/g313_prereg_2026-09-07.md:32e69fa0c5db|docs/evidence/tracking/G313_VERIFY_2026-09-07.md:1b94155f022c
docs/evidence/tracking/G314_VERIFY_2026-09-07.md,21,g314_prereg_2026-09-07.md:55-57,47bc38d36a4c5612fc6c5473983893a58fdcd04a6cbe08c6decb564efa1ee81e,64,ad451e63c589cd49914bcc698c5dd44bde3cd1d1,UNRESOLVED,token is not a digest,,docs/evidence/tracking/g314_prereg_2026-09-07.md:380b544c4f59|docs/evidence/tracking/G314_VERIFY_2026-09-07.md:cef333b24278
docs/evidence/tracking/G315_VERIFY_2026-09-07.md,14,NONE,277466cac9d20e86ba79e1565ade4b8b404a0abecf46a17f37c84acd44a1121a,64,3967314800d2dc632c2c78faef4185f3a71a7cb6,UNRESOLVED,artifact never committed,,docs/evidence/tracking/G315_VERIFY_2026-09-07.md:3f1d214b99a8
