blind_id,source_frame,marker_index,verdict,player_slot
1,21935,0,UNMATCHED,
1,21935,1,UNMATCHED,
1,21935,2,UNMATCHED,
1,21935,3,UNMATCHED,
1,21935,4,UNMATCHED,
2,20128,0,UNMATCHED,
2,20128,1,UNMATCHED,
2,20128,2,UNMATCHED,
2,20128,3,UNMATCHED,
2,20128,4,UNMATCHED,
2,20128,5,UNMATCHED,
2,20128,6,UNMATCHED,
2,20128,7,MATCHED,5
2,20128,8,UNMATCHED,
3,21686,0,UNMATCHED,
3,21686,1,UNMATCHED,
3,21686,2,UNMATCHED,
3,21686,3,UNMATCHED,
3,21686,4,UNMATCHED,
3,21686,5,UNMATCHED,
3,21686,6,UNMATCHED,
3,21686,7,UNMATCHED,
3,21686,8,UNMATCHED,
3,21686,9,UNMATCHED,
4,21873,0,UNMATCHED,
4,21873,1,UNMATCHED,
4,21873,2,UNMATCHED,
5,23119,0,UNMATCHED,
5,23119,1,UNMATCHED,
5,23119,2,UNMATCHED,
6,21001,0,UNMATCHED,
6,21001,1,UNMATCHED,
6,21001,2,UNMATCHED,
6,21001,3,UNMATCHED,
6,21001,4,UNMATCHED,
7,22434,0,UNMATCHED,
7,22434,1,UNMATCHED,
7,22434,2,UNMATCHED,
7,22434,3,UNMATCHED,
7,22434,4,UNMATCHED,
7,22434,5,UNMATCHED,
7,22434,6,UNMATCHED,
8,19817,0,UNMATCHED,
8,19817,1,UNMATCHED,
8,19817,2,UNMATCHED,
8,19817,3,UNMATCHED,
8,19817,4,UNMATCHED,
8,19817,5,UNMATCHED,
8,19817,6,UNMATCHED,
8,19817,7,UNMATCHED,
8,19817,8,UNMATCHED,
9,20190,0,UNMATCHED,
9,20190,1,UNMATCHED,
10,21437,0,UNMATCHED,
10,21437,1,UNMATCHED,
10,21437,2,UNMATCHED,
10,21437,3,UNMATCHED,
10,21437,4,UNMATCHED,
10,21437,5,UNMATCHED,
11,22745,0,UNMATCHED,
11,22745,1,UNMATCHED,
11,22745,2,UNMATCHED,
11,22745,3,UNMATCHED,
12,21250,0,UNMATCHED,
12,21250,1,UNMATCHED,
12,21250,2,UNMATCHED,
12,21250,3,UNMATCHED,
13,21624,0,UNMATCHED,
13,21624,1,UNMATCHED,
13,21624,2,UNMATCHED,
13,21624,3,UNMATCHED,
13,21624,4,UNMATCHED,
13,21624,5,UNMATCHED,
13,21624,6,UNMATCHED,
15,22309,0,UNMATCHED,
15,22309,1,UNMATCHED,
15,22309,2,UNMATCHED,
15,22309,3,UNMATCHED,
15,22309,4,UNMATCHED,
15,22309,5,UNMATCHED,
16,20502,0,UNMATCHED,
16,20502,1,UNMATCHED,
16,20502,2,UNMATCHED,
16,20502,3,UNMATCHED,
16,20502,4,UNMATCHED,
16,20502,5,UNMATCHED,
16,20502,6,UNMATCHED,
16,20502,7,UNMATCHED,
16,20502,8,UNMATCHED,
18,21561,0,UNMATCHED,
18,21561,1,UNMATCHED,
18,21561,2,UNMATCHED,
18,21561,3,UNMATCHED,
18,21561,4,UNMATCHED,
18,21561,5,UNMATCHED,
18,21561,6,UNMATCHED,
18,21561,7,UNMATCHED,
18,21561,8,UNMATCHED,
18,21561,9,UNMATCHED,
19,22621,0,UNMATCHED,
19,22621,1,UNMATCHED,
19,22621,2,UNMATCHED,
19,22621,3,UNMATCHED,
19,22621,4,UNMATCHED,
19,22621,5,UNMATCHED,
19,22621,6,UNMATCHED,
19,22621,7,UNMATCHED,
20,21125,0,UNMATCHED,
20,21125,1,UNMATCHED,
20,21125,2,UNMATCHED,
20,21125,3,UNMATCHED,
20,21125,4,UNMATCHED,
20,21125,5,UNMATCHED,
21,22371,0,UNMATCHED,
21,22371,1,UNMATCHED,
21,22371,2,UNMATCHED,
22,23306,0,UNMATCHED,
22,23306,1,UNMATCHED,
22,23306,2,UNMATCHED,
22,23306,3,UNMATCHED,
22,23306,4,UNMATCHED,
22,23306,5,UNMATCHED,
23,22558,0,UNMATCHED,
23,22558,1,UNMATCHED,
23,22558,2,UNMATCHED,
23,22558,3,MATCHED,3
23,22558,4,MATCHED,5
23,22558,5,UNMATCHED,
23,22558,6,UNMATCHED,
23,22558,7,UNMATCHED,
23,22558,8,MATCHED,5
24,20066,0,UNMATCHED,
24,20066,1,UNMATCHED,
