opaque_id,adjudicator_visibility,note
G387_001,YES,wide game shot straight paint legible
G387_002,NO,coach close up no court surface
G387_003,UNKNOWN,shallow depth of field blurred floor only
G387_004,YES,baseline and lane straight paint legible
G387_005,YES,sideline and straight boundary legible
G387_006,YES,lane lines and free throw line legible
G387_007,YES,lane lines legible
G387_008,NO,player huddle close up no court surface
G387_009,YES,lane and boundary straight paint legible
G387_010,UNKNOWN,low angle floor mostly occluded by players
G387_011,YES,sideline and lane straight paint legible
G387_012,NO,bench area no court surface
G387_013,YES,baseline lane and free throw line legible
G387_014,YES,white straight lines legible on FIBA floor
G387_015,NO,official close up against LED wall
G387_016,NO,close up only curved arc visible
G387_017,YES,lane lines and free throw line legible
G387_018,YES,lane lines legible
G387_019,YES,sideline straight paint legible
G387_020,YES,centre line and sideline legible
G387_021,YES,lane and baseline straight paint legible
G387_022,YES,lane and baseline straight paint legible
G387_023,YES,centre line and sideline legible
G387_024,YES,white straight lines legible
G387_025,YES,white straight lines legible
G387_026,YES,straight boundary and lane legible
G387_027,YES,straight boundary legible
G387_028,YES,sideline and lane straight paint legible
G387_029,NO,coach bench close up no court surface
G387_030,YES,centre line legible
