clip,source_frame,ball_visible,review_basis,review_card
tennis_09,7034,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007034_temporal_tiles_2x.jpg
tennis_09,7124,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007124_temporal_tiles_2x.jpg
tennis_09,7160,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007160_temporal_tiles_2x.jpg
tennis_09,7178,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007178_temporal_tiles_2x.jpg
tennis_09,7190,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007190_temporal_tiles_2x.jpg
tennis_09,7202,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007202_temporal_tiles_2x.jpg
tennis_09,7214,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007214_temporal_tiles_2x.jpg
tennis_09,7244,true,three_frame_temporal_2x_clean_card,review_cards_blind/tennis_09_f007244_temporal_tiles_2x.jpg
nyyk_720p,34001,true,three_frame_temporal_2x_clean_card,review_cards_blind/nyyk_720p_f034001_temporal_tiles_2x.jpg
nyyk_720p,34079,true,three_frame_temporal_2x_clean_card,review_cards_blind/nyyk_720p_f034079_temporal_tiles_2x.jpg
nyyk_720p,34091,true,three_frame_temporal_2x_clean_card,review_cards_blind/nyyk_720p_f034091_temporal_tiles_2x.jpg
