case,kind,endpoint,endpoint_offset_s,pts,declared_reason,declared_admitted_indices,declared_unknown_reason,expected_reason,expected_admitted_indices,expected_unknown_reason,first_boundary_index,matches_declared
regular__before_start,regular,before_start,-1.0,"[0.0, 0.5, -1.0]",UNKNOWN,"[0, 1]",backwards_pts,UNKNOWN,"[0, 1]",backwards_pts,,True
regular__at_start,regular,at_start,0.0,"[0.0, 0.5, 0.0]",UNKNOWN,"[0, 1]",backwards_pts,UNKNOWN,"[0, 1]",backwards_pts,,True
regular__inside,regular,inside,50.0,"[0.0, 0.5, 50.0]",EOF_SHORT,"[0, 1, 2]",,EOF_SHORT,"[0, 1, 2]",,,True
regular__just_below_deadline,regular,just_below_deadline,99.999,"[0.0, 0.5, 99.999]",EOF_SHORT,"[0, 1, 2]",,EOF_SHORT,"[0, 1, 2]",,,True
regular__exact_deadline,regular,exact_deadline,100.0,"[0.0, 0.5, 100.0]",DEADLINE,"[0, 1]",,DEADLINE,"[0, 1]",,2,True
regular__above_deadline,regular,above_deadline,100.5,"[0.0, 0.5, 100.5]",DEADLINE,"[0, 1]",,DEADLINE,"[0, 1]",,2,True
duplicate__before_start,duplicate,before_start,-1.0,"[0.0, 0.5, 0.5, -1.0]",UNKNOWN,"[0, 1, 2]",backwards_pts,UNKNOWN,"[0, 1, 2]",backwards_pts,,True
duplicate__at_start,duplicate,at_start,0.0,"[0.0, 0.5, 0.5, 0.0]",UNKNOWN,"[0, 1, 2]",backwards_pts,UNKNOWN,"[0, 1, 2]",backwards_pts,,True
duplicate__inside,duplicate,inside,50.0,"[0.0, 0.5, 0.5, 50.0]",EOF_SHORT,"[0, 1, 2, 3]",,EOF_SHORT,"[0, 1, 2, 3]",,,True
duplicate__just_below_deadline,duplicate,just_below_deadline,99.999,"[0.0, 0.5, 0.5, 99.999]",EOF_SHORT,"[0, 1, 2, 3]",,EOF_SHORT,"[0, 1, 2, 3]",,,True
