"clip","sample_position","frame_index","tile_label","full_resolution_label","disagrees"
"soccer__soccer_cKXZysISV4w","91","8736","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_DdnvC6-PGYY","76","7296","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_EKhrdU9bVZA","60","5760","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","0","0","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_cKXZysISV4w","58","5568","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_EKhrdU9bVZA","84","8064","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","9","864","BOX_SOLVABLE","WIDE_NO_BOX","True"
"soccer__soccer_cKXZysISV4w","182","17472","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","18","1728","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_DdnvC6-PGYY","163","15648","BOX_SOLVABLE","WIDE_NO_BOX","True"
"soccer__soccer_DdnvC6-PGYY","53","5088","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","295","28320","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","163","15648","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","159","15264","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","35","3360","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_cKXZysISV4w","35","3360","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_DdnvC6-PGYY","52","4992","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_kSgNjoaqCpI_1080p","163","9780","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_AgspyOj5BPk","157","15072","BOX_SOLVABLE","BOX_SOLVABLE","False"
"soccer__soccer_DdnvC6-PGYY","78","7488","BOX_SOLVABLE","BOX_SOLVABLE","False"
