file,frame,kind,labels
even_000000.jpg,0,EVEN,"{""DETECTION"": 1, ""PREDICTION"": 1}"
even_000099.jpg,99,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_000198.jpg,198,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 3}"
even_000297.jpg,297,EVEN,"{""SUBPIXEL"": 2}"
even_000399.jpg,399,EVEN,"{""PREDICTION"": 2}"
even_000498.jpg,498,EVEN,"{""CLAMP"": 1, ""SUBPIXEL"": 1}"
even_000597.jpg,597,EVEN,"{""SUBPIXEL"": 1}"
even_000696.jpg,696,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_000798.jpg,798,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_000897.jpg,897,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1}"
even_000996.jpg,996,EVEN,"{""PREDICTION"": 2}"
even_001095.jpg,1095,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1}"
even_001197.jpg,1197,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 2}"
even_001296.jpg,1296,EVEN,"{""CLAMP"": 2, ""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_001395.jpg,1395,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_001497.jpg,1497,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_001596.jpg,1596,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_001695.jpg,1695,EVEN,"{""PREDICTION"": 1}"
even_001794.jpg,1794,EVEN,"{""SUBPIXEL"": 1}"
even_001896.jpg,1896,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1}"
even_001995.jpg,1995,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1}"
even_002094.jpg,2094,EVEN,"{""CLAMP"": 2}"
even_002193.jpg,2193,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_002295.jpg,2295,EVEN,"{""CLAMP"": 1, ""SUBPIXEL"": 1}"
even_002400.jpg,2400,EVEN,"{""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_002499.jpg,2499,EVEN,"{""PREDICTION"": 2}"
even_002598.jpg,2598,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1}"
even_002700.jpg,2700,EVEN,"{""CLAMP"": 2, ""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_002799.jpg,2799,EVEN,"{""CLAMP"": 1, ""PREDICTION"": 1, ""SUBPIXEL"": 1}"
even_002898.jpg,2898,EVEN,"{""CLAMP"": 2, ""PREDICTION"": 1}"
construct_coast_held_000101.jpg,101,CONSTRUCT,"{""HELD"": 1, ""PREDICTION"": 1}"
construct_held_only_000101.jpg,101,CONSTRUCT,"{""HELD"": 1}"
