order,blind_filename,category,detail
1,blind_032.jpg,B,
2,blind_070.jpg,D,
3,blind_022.jpg,C,
4,blind_054.jpg,D,
5,blind_051.jpg,B,
6,blind_057.jpg,C,
7,blind_040.jpg,C,
8,blind_058.jpg,B,
9,blind_023.jpg,F,basketball
10,blind_044.jpg,E,
11,blind_050.jpg,B,
12,blind_031.jpg,B,
13,blind_018.jpg,E,
14,blind_041.jpg,A,
15,blind_068.jpg,B,
16,blind_007.jpg,C,
17,blind_065.jpg,A,
18,blind_012.jpg,E,
19,blind_004.jpg,D,
20,blind_043.jpg,C,
21,blind_039.jpg,B,
22,blind_048.jpg,B,
23,blind_008.jpg,C,
24,blind_072.jpg,B,
25,blind_017.jpg,D,
26,blind_063.jpg,E,
27,blind_069.jpg,A,
28,blind_024.jpg,D,
29,blind_033.jpg,B,
30,blind_010.jpg,A,
31,blind_005.jpg,C,
32,blind_045.jpg,D,
33,blind_064.jpg,B,
34,blind_037.jpg,D,
35,blind_028.jpg,C,
36,blind_066.jpg,A,
37,blind_019.jpg,A,
38,blind_013.jpg,E,
39,blind_029.jpg,A,
40,blind_049.jpg,A,
41,blind_035.jpg,D,
42,blind_020.jpg,A,
43,blind_014.jpg,A,
44,blind_002.jpg,A,
45,blind_047.jpg,B,
46,blind_036.jpg,D,
47,blind_006.jpg,C,
48,blind_059.jpg,B,
49,blind_030.jpg,C,
50,blind_055.jpg,B,
51,blind_071.jpg,F,camera equipment
52,blind_062.jpg,A,
53,blind_025.jpg,E,
54,blind_026.jpg,C,
55,blind_067.jpg,E,
56,blind_052.jpg,B,
57,blind_042.jpg,B,
58,blind_053.jpg,C,
59,blind_001.jpg,E,
60,blind_011.jpg,C,
61,blind_021.jpg,B,
62,blind_027.jpg,D,
63,blind_038.jpg,D,
64,blind_016.jpg,A,
65,blind_034.jpg,C,
66,blind_009.jpg,A,
67,blind_056.jpg,C,
68,blind_015.jpg,C,
69,blind_003.jpg,A,
70,blind_061.jpg,D,
71,blind_060.jpg,C,
72,blind_046.jpg,D,
