game_id,possession_id,team,start_frame,end_frame,duration_frames,duration_sec,avg_spacing,avg_defensive_pressure,avg_vel_toward_basket,drive_attempts,shot_attempted,shot_frame,fast_break,play_type,result,outcome_score,pass_count,screen_count,drive_count,cut_count,lineup_id,max_paint_touches,avg_off_ball_distance,min_shot_clock_est,dominant_zone,transition_time_sec,offensive_rebound_poss,pbp_play_type,pbp_score_home,pbp_score_away,pbp_period,pbp_matched,score_diff,source
0022400909,2,DEN,138,1070,933,31.13,30.0,785.4,-12.63,2,1,345,0,spot_up,missed_shot,0,4,2,0,24,29,1,168.3,0.0,mid_range,,0,missed_2,,,1,True,,
0022400909,4,DEN,1122,1619,498,16.62,8.9,498.5,,0,1,1158,0,fast_break,scored,2,14,0,0,0,29,2,,7.5,mid_range,,0,made_2,2,2,1,True,2,
,,PHX,329,689,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,,pbp_fill
,,DEN,929,1288,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,,pbp_fill
,,DEN,989,1348,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,2,0,1,True,,pbp_fill
,,PHX,1378,1738,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,2,2,1,True,2,pbp_fill
,,DEN,1798,2157,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,5,2,1,True,0,pbp_fill
,,PHX,2367,2727,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,5,4,1,True,3,pbp_fill
,,DEN,3056,3416,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,7,4,1,True,1,pbp_fill
,,PHX,3596,3956,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,3,pbp_fill
,,PHX,3836,4195,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,7,6,1,True,3,pbp_fill
,,DEN,4495,4855,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,1,pbp_fill
,,PHX,4885,5244,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,7,8,1,True,1,pbp_fill
,,DEN,5274,5634,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,10,8,1,True,-1,pbp_fill
,,PHX,5694,6053,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,2,pbp_fill
,,DEN,5784,6143,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,12,8,1,True,2,pbp_fill
,,PHX,6203,6563,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,4,pbp_fill
,,PHX,6353,6713,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,4,pbp_fill
,,DEN,6593,6953,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,15,8,1,True,4,pbp_fill
,,PHX,7042,7402,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,15,10,1,True,7,pbp_fill
,,DEN,7342,7702,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,18,10,1,True,5,pbp_fill
,,PHX,7942,8301,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,18,13,1,True,8,pbp_fill
,,DEN,8241,8601,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,5,pbp_fill
,,PHX,8931,9290,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,5,pbp_fill
,,DEN,9110,9470,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,21,13,1,True,5,pbp_fill
,,PHX,9950,10309,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,21,15,1,True,8,pbp_fill
,,DEN,10669,11028,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,6,pbp_fill
,,PHX,11058,11418,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,6,pbp_fill
,,DEN,11538,11898,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,6,pbp_fill
,,PHX,12017,12377,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,6,pbp_fill
,,DEN,12557,12917,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,6,pbp_fill
,,DEN,12917,13276,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,24,15,1,True,6,pbp_fill
,,PHX,13726,14085,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,9,pbp_fill
,,DEN,13936,14295,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,9,pbp_fill
,,PHX,14355,14715,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,24,18,1,True,9,pbp_fill
,,DEN,14685,15044,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,27,18,1,True,6,pbp_fill
,,PHX,14895,15254,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,9,pbp_fill
,,DEN,14955,15314,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,29,18,1,True,9,pbp_fill
,,DEN,15914,16273,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,11,pbp_fill
,,PHX,16183,16543,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_2,,,1,True,11,pbp_fill
,,DEN,16992,17352,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,11,pbp_fill
,,PHX,17112,17472,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,29,23,1,True,11,pbp_fill
,,DEN,17502,17862,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,31,23,1,True,6,pbp_fill
,,PHX,18041,18401,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,8,pbp_fill
,,DEN,18311,18671,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,33,23,1,True,8,pbp_fill
,,PHX,18551,18911,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,10,pbp_fill
,,DEN,18641,19000,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,35,23,1,True,10,pbp_fill
,,,19480,19840,,12.0,,,,,,,,,turnover,0,,,,,,,,,,,,turnover,,,1,True,12,pbp_fill
,,DEN,19810,20169,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,12,pbp_fill
,,PHX,20349,20709,,12.0,,,,,,,,,scored,3,,,,,,,,,,,,made_3,35,26,1,True,12,pbp_fill
,,DEN,20979,21338,,12.0,,,,,,,,,scored,2,,,,,,,,,,,,made_2,37,26,1,True,9,pbp_fill
,,PHX,21158,21518,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,11,pbp_fill
,,PHX,21188,21548,,12.0,,,,,,,,,missed_shot,0,,,,,,,,,,,,missed_3,,,1,True,11,pbp_fill
