metric,n,share_of_denominator
ledger_rows_total,000274,000274/000274
ledger_rows_parsed,000274,000274/000274
ledger_rows_unparsable,000000,000000/000274
rows_all_null_timebase,000000,000000/000274
rows_every_timebase_field_present,000274,000274/000274
rows_null_source_fps,000000,000000/000274
rows_null_source_height,000000,000000/000274
rows_null_source_duration,000000,000000/000274
rows_null_source_resolution,000000,000000/000274
rows_carrying_probe_status_today,000000,000000/000274
rows_status_thin,000034,000034/000274
rows_status_timeout,000001,000001/000274
rows_status_tracked,000239,000239/000274
reread_r1_source_absent,000000,000000/000000
reread_r2_source_present_unprobeable,000000,000000/000000
reread_r3_source_present_probeable,000000,000000/000000
reread_r4_unknown,000000,000000/000000
pod_ffprobe_calls_used,000000,000000/000020
pod_ffprobe_calls_budget,000020,000020/000020
