sheet,label
5aee10f6a8e1c6ba2e2bf1dee3bad9a08cfc71a165727238bd96c4e24e25e89d__50pp-OqYVok_s2750__002783,USABLE_COURT
5aee10f6a8e1c6ba2e2bf1dee3bad9a08cfc71a165727238bd96c4e24e25e89d__50pp-OqYVok_s2750__003092,CLOSEUP
5aee10f6a8e1c6ba2e2bf1dee3bad9a08cfc71a165727238bd96c4e24e25e89d__50pp-OqYVok_s2750__003401,CLOSEUP
5aee10f6a8e1c6ba2e2bf1dee3bad9a08cfc71a165727238bd96c4e24e25e89d__50pp-OqYVok_s2750__003710,CLOSEUP
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__000255,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__000511,CLOSEUP
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__000767,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__001023,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__001278,CLOSEUP
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__001534,CLOSEUP
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__001790,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__002046,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__002301,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__002557,USABLE_COURT
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__002813,CLOSEUP
64c7e8d23d0ee6857d23ed8505218d5a7d0de0aab503e4d2a93da8ac142b374d__euroleague-HkwnT6jwtNs_s90__003069,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__000304,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__000608,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__000912,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__001217,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__001521,USABLE_COURT
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__001825,CLOSEUP
8a3b31ed250bf964eec83c4569a0cff7500ffc8ad8dc51f31629f2f8226332c3__3fT6aYz2N9w_s90__002130,USABLE_COURT
