blind_index,verdict
1,NOT A PERSON
2,NOT A PERSON
3,PLAYER
4,NOT A PERSON
5,PLAYER
6,NOT A PERSON
7,PLAYER
8,PLAYER
9,PLAYER
10,PLAYER
11,PLAYER
12,PERSON NOT PLAYER IN PLAY
13,PERSON NOT PLAYER IN PLAY
14,PLAYER
15,PLAYER
16,PLAYER
17,PLAYER
18,NOT A PERSON
19,PLAYER
20,PLAYER
21,PLAYER
22,PLAYER
23,PLAYER
24,NOT A PERSON
25,PERSON NOT PLAYER IN PLAY
26,PLAYER
27,NOT A PERSON
28,PLAYER
29,PLAYER
30,PERSON NOT PLAYER IN PLAY
31,PLAYER
32,PLAYER
33,PLAYER
34,NOT A PERSON
35,PERSON NOT PLAYER IN PLAY
36,NOT A PERSON
37,NOT A PERSON
38,NOT A PERSON
39,PLAYER
40,PLAYER
41,PLAYER
42,CANNOT JUDGE
43,NOT A PERSON
44,PERSON NOT PLAYER IN PLAY
45,NOT A PERSON
46,PLAYER
47,PLAYER
48,PLAYER
49,PLAYER
50,PLAYER
51,PLAYER
52,PLAYER
53,NOT A PERSON
54,PERSON NOT PLAYER IN PLAY
55,PLAYER
56,PLAYER
57,PLAYER
58,PLAYER
59,PLAYER
60,PLAYER
61,NOT A PERSON
62,PLAYER
63,PERSON NOT PLAYER IN PLAY
64,PLAYER
65,PLAYER
66,PLAYER
67,PERSON NOT PLAYER IN PLAY
68,CANNOT JUDGE
69,CANNOT JUDGE
70,CANNOT JUDGE
71,CANNOT JUDGE
72,PLAYER
