clip_ordinal,clip_id,frame,content,sideline_visible,goal_line_visible,end_line_visible,yard_line_stripes_visible,yard_line_stripe_count,hash_marks_visible,painted_number_visible,legible_yard_number,render
1,football__football_20pezoC5jRQ.mp4,5168,football,0,0,0,0,0,0,0,,renders/clip_01_group_1.jpg
1,football__football_20pezoC5jRQ.mp4,6378,football,0,0,0,0,0,0,0,,renders/clip_01_group_1.jpg
1,football__football_20pezoC5jRQ.mp4,6399,football,0,0,0,0,0,0,0,,renders/clip_01_group_1.jpg
1,football__football_20pezoC5jRQ.mp4,6738,football,0,0,0,0,0,0,0,,renders/clip_01_group_1.jpg
1,football__football_20pezoC5jRQ.mp4,7485,football,0,0,0,0,0,0,0,,renders/clip_01_group_2.jpg
1,football__football_20pezoC5jRQ.mp4,7560,football,0,0,0,0,0,0,0,,renders/clip_01_group_2.jpg
1,football__football_20pezoC5jRQ.mp4,8069,football,1,0,0,1,4,1,1,40|50,renders/clip_01_group_2.jpg
1,football__football_20pezoC5jRQ.mp4,12756,football,0,0,0,0,0,0,0,,renders/clip_01_group_2.jpg
1,football__football_20pezoC5jRQ.mp4,15778,football,1,0,0,1,3,1,1,20|30,renders/clip_01_group_3.jpg
1,football__football_20pezoC5jRQ.mp4,16875,football,1,0,0,1,4,1,1,20|30|40,renders/clip_01_group_3.jpg
1,football__football_20pezoC5jRQ.mp4,25330,football,0,0,0,0,0,0,0,,renders/clip_01_group_3.jpg
1,football__football_20pezoC5jRQ.mp4,25438,football,0,0,0,0,0,0,0,,renders/clip_01_group_3.jpg
2,football__football_34GmmlakBYU.mp4,3627,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_1.jpg
2,football__football_34GmmlakBYU.mp4,5548,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_1.jpg
2,football__football_34GmmlakBYU.mp4,7045,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_1.jpg
2,football__football_34GmmlakBYU.mp4,7805,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_1.jpg
2,football__football_34GmmlakBYU.mp4,10934,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_2.jpg
2,football__football_34GmmlakBYU.mp4,11129,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_2.jpg
2,football__football_34GmmlakBYU.mp4,16340,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_2.jpg
2,football__football_34GmmlakBYU.mp4,16991,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_2.jpg
2,football__football_34GmmlakBYU.mp4,17034,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_3.jpg
2,football__football_34GmmlakBYU.mp4,20161,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_3.jpg
2,football__football_34GmmlakBYU.mp4,20903,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_3.jpg
2,football__football_34GmmlakBYU.mp4,24702,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_02_group_3.jpg
3,football__football_5x9vPq9HsTI.mp4,4880,football,0,0,0,1,2,1,0,,renders/clip_03_group_1.jpg
3,football__football_5x9vPq9HsTI.mp4,10256,football,1,0,0,1,4,1,1,40,renders/clip_03_group_1.jpg
3,football__football_5x9vPq9HsTI.mp4,10715,football,0,0,0,0,0,0,0,,renders/clip_03_group_1.jpg
3,football__football_5x9vPq9HsTI.mp4,15298,football,1,0,0,1,5,1,1,20|30|40,renders/clip_03_group_1.jpg
3,football__football_5x9vPq9HsTI.mp4,18313,football,0,0,0,1,2,1,0,,renders/clip_03_group_2.jpg
3,football__football_5x9vPq9HsTI.mp4,18461,football,0,0,0,1,4,1,1,30|40,renders/clip_03_group_2.jpg
3,football__football_5x9vPq9HsTI.mp4,19318,football,1,0,0,1,3,1,1,30|40,renders/clip_03_group_2.jpg
3,football__football_5x9vPq9HsTI.mp4,21208,football,0,0,0,1,2,1,0,,renders/clip_03_group_2.jpg
3,football__football_5x9vPq9HsTI.mp4,23842,football,0,0,0,1,3,1,1,20|30,renders/clip_03_group_3.jpg
3,football__football_5x9vPq9HsTI.mp4,24763,football,1,0,0,1,2,1,1,20,renders/clip_03_group_3.jpg
3,football__football_5x9vPq9HsTI.mp4,26000,football,0,0,0,0,0,0,0,,renders/clip_03_group_3.jpg
3,football__football_5x9vPq9HsTI.mp4,26256,football,0,0,0,0,0,0,0,,renders/clip_03_group_3.jpg
4,football__football_B7znSVfBnM4.mp4,3944,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_1.jpg
4,football__football_B7znSVfBnM4.mp4,4120,non_football_soccer,0,0,0,0,0,0,0,,renders/clip_04_group_1.jpg
