player,opp,venue,stat,line,over_odds,under_odds,book
Shai Gilgeous-Alexander,SAS,home,pts,30.5,-110,-110,DraftKings
Shai Gilgeous-Alexander,SAS,home,pts,30.5,-115,-105,FanDuel
Shai Gilgeous-Alexander,SAS,home,pts,30.5,-120,+100,BetMGM
Shai Gilgeous-Alexander,SAS,home,ast,7.5,-115,-105,FanDuel
Shai Gilgeous-Alexander,SAS,home,ast,7.5,-110,-110,DraftKings
Shai Gilgeous-Alexander,SAS,home,reb,4.5,-105,-115,DraftKings
Shai Gilgeous-Alexander,SAS,home,reb,4.5,+100,-120,FanDuel
Chet Holmgren,SAS,home,pts,17.5,-110,-110,DraftKings
Chet Holmgren,SAS,home,reb,8.5,-110,-110,FanDuel
Chet Holmgren,SAS,home,reb,8.5,-105,-115,DraftKings
Chet Holmgren,SAS,home,blk,1.5,+105,-125,DraftKings
Chet Holmgren,SAS,home,blk,1.5,+115,-135,FanDuel
Chet Holmgren,SAS,home,blk,1.5,-110,-110,BetMGM
Jalen Williams,SAS,home,pts,21.5,+100,-120,FanDuel
Jalen Williams,SAS,home,fg3m,1.5,-110,-110,DraftKings
Jalen Williams,SAS,home,fg3m,1.5,-115,-105,FanDuel
Victor Wembanyama,OKC,away,pts,21.5,-110,-110,DraftKings
Victor Wembanyama,OKC,away,pts,21.5,-115,-105,FanDuel
Victor Wembanyama,OKC,away,reb,10.5,-115,-105,FanDuel
Victor Wembanyama,OKC,away,reb,10.5,-110,-110,DraftKings
Victor Wembanyama,OKC,away,reb,10.5,+100,-120,BetMGM
Victor Wembanyama,OKC,away,blk,2.5,-115,-105,DraftKings
Victor Wembanyama,OKC,away,blk,2.5,-105,-115,FanDuel
Victor Wembanyama,OKC,away,blk,2.5,+105,-125,BetMGM
Victor Wembanyama,OKC,away,fg3m,1.5,-110,-110,DraftKings
De'Aaron Fox,OKC,away,pts,19.5,-110,-110,FanDuel
De'Aaron Fox,OKC,away,ast,5.5,-110,-110,DraftKings
Devin Vassell,OKC,away,pts,13.5,-110,-110,DraftKings
Devin Vassell,OKC,away,fg3m,2.5,-115,-105,FanDuel
Devin Vassell,OKC,away,fg3m,2.5,-105,-115,DraftKings
Isaiah Joe,OKC,away,fg3m,1.5,-105,-115,DraftKings
Isaiah Joe,OKC,away,fg3m,1.5,-110,-110,FanDuel
Aaron Wiggins,OKC,away,pts,7.5,-115,-105,FanDuel
Lu Dort,OKC,away,fg3m,1.5,-110,-110,DraftKings
Cason Wallace,OKC,away,fg3m,1.5,-110,-110,DraftKings
Cason Wallace,OKC,away,fg3m,1.5,-105,-115,FanDuel
