source_frame,marker_index,track_id,foot_x_px,foot_y_px,player_id,located_foot_x_px,located_foot_y_px,offset_direction,blind_index,verdict,free_text
21686,4,46,716.25,864.0,p03,600.0,545.0,BELOW,1,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
19879,6,16,1452.75,392.25,p09,1260.0,557.0,RIGHT,2,BARE_COURT_OR_FLOOR,
21499,3,46,987.0,480.75,p04,923.0,422.0,RIGHT,3,BARE_COURT_OR_FLOOR,
21935,0,49,834.0,338.0625,p03,809.0,555.0,ABOVE,4,LOCATED_BODY_NOT_FEET,
19630,6,6,771.0,865.5,p04,796.0,651.0,BELOW,5,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22994,3,69,739.5,692.25,p01,610.0,554.0,BELOW,6,BARE_COURT_OR_FLOOR,
22247,1,45,1416.0,457.125,p06,1200.0,596.0,RIGHT,7,BARE_COURT_OR_FLOOR,
23368,5,91,1349.25,336.0,p07,1330.0,400.0,ABOVE,8,LOCATED_BODY_NOT_FEET,
21935,2,46,985.5,580.5,p03,809.0,555.0,RIGHT,9,BARE_COURT_OR_FLOOR,
19879,0,18,1206.75,586.5,p09,1260.0,557.0,LEFT,10,BARE_COURT_OR_FLOOR,
19630,3,2,391.875,876.0,p01,170.0,679.0,RIGHT,11,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20938,4,7,1100.25,384.375,p06,1154.0,392.0,LEFT,12,BARE_COURT_OR_FLOOR,
21935,1,45,617.25,462.75,p01,625.0,566.0,ABOVE,13,LOCATED_BODY_NOT_FEET,
20689,7,1,1241.25,466.5,p08,1343.0,479.0,LEFT,14,BARE_COURT_OR_FLOOR,
21499,6,44,554.25,658.5,p02,425.0,428.0,BELOW,15,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22994,0,81,1791.0,970.5,p07,1580.0,705.0,BELOW,16,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
20689,2,34,945.0,514.125,p05,981.0,490.0,LEFT,17,BARE_COURT_OR_FLOOR,
21935,3,42,729.75,676.875,p10,697.0,577.0,BELOW,18,DIFFERENT_PERSON,
22994,2,83,1011.0,855.0,p09,1050.0,740.0,BELOW,19,SOMETHING_ELSE,BROADCAST_GRAPHIC_OR_SCORE_TICKER
22496,0,42,666.75,713.25,p03,795.0,505.0,BELOW,20,BARE_COURT_OR_FLOOR,
21686,8,48,997.5,656.625,p08,998.0,677.0,ABOVE,21,BARE_COURT_OR_FLOOR,
21187,3,25,628.5,477.75,p03,590.0,476.0,RIGHT,22,BARE_COURT_OR_FLOOR,
21935,7,55,1378.5,685.5,p05,1496.0,751.0,LEFT,23,BARE_COURT_OR_FLOOR,
20689,0,35,1079.25,476.25,p05,981.0,490.0,RIGHT,24,DIFFERENT_PERSON,
21187,0,33,815.25,744.75,p07,760.0,620.0,BELOW,25,BARE_COURT_OR_FLOOR,
