geometry,sigma_px,draw,seed,baseline_gap_px,refined_gap_px,improvement_px,n_supports,n_assigned,n_fev,status,base_val_px,ref_val_px
G1_SYNTH_QUAD,0.00,0,3596694440,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,1,1586159706,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,2,2260129235,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,3,3057395456,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,4,4071276677,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,5,3557700400,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,6,552259528,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,7,1142654117,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,8,482329075,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,9,606311932,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,10,3247962108,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,11,960740791,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,12,2977720340,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,13,148324597,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,14,4273258455,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,15,1112608975,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,16,1988044891,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,17,757077921,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,18,3248226982,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,19,745605316,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,20,3850031121,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,21,3689624225,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,22,179157687,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,23,3967804891,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,24,1945455138,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,25,3930436298,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,26,3519306942,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,27,873956022,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,28,4087001878,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,29,4013053687,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,30,4132225738,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,31,3037178037,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,32,1543878051,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,33,3557866660,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,34,804359569,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,35,2761468966,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,36,1475799957,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
G1_SYNTH_QUAD,0.00,37,1674042524,0.000000,0.000000,0.000000,546,546,2,ok,0.000000,0.000000
