source_id,draw_j,source,format_id,ext,resolution,height,fps,protocol,vcodec
0pKftc-Z0_k,0,listing,sb3,mhtml,48x27,27,0.0,mhtml,images
0pKftc-Z0_k,0,listing,sb2,mhtml,80x45,45,0.0,mhtml,images
0pKftc-Z0_k,0,listing,sb1,mhtml,160x90,90,0.0,mhtml,images
0pKftc-Z0_k,0,listing,sb0,mhtml,320x180,180,0.0,mhtml,images
0pKftc-Z0_k,0,listing,269,mp4,256x144,144,30.0,m3u8,avc1.4D400C
0pKftc-Z0_k,0,listing,160,mp4,256x144,144,30.0,https,avc1.4d400c
0pKftc-Z0_k,0,listing,230,mp4,640x360,360,30.0,m3u8,avc1.4D401E
0pKftc-Z0_k,0,listing,134,mp4,640x360,360,30.0,https,avc1.4d401e
0pKftc-Z0_k,0,listing,605,mp4,640x360,360,30.0,m3u8,vp09.00.21.08
0pKftc-Z0_k,0,listing,243,webm,640x360,360,30.0,https,vp9
0pKftc-Z0_k,0,listing,232,mp4,1280x720,720,30.0,m3u8,avc1.64001F
0pKftc-Z0_k,0,listing,136,mp4,1280x720,720,30.0,https,avc1.64001f
0pKftc-Z0_k,0,listing,270,mp4,1920x1080,1080,30.0,m3u8,avc1.640028
0pKftc-Z0_k,0,listing,137,mp4,1920x1080,1080,30.0,https,avc1.640028
0pKftc-Z0_k,0,metadata,sb3,mhtml,48x27,27,0.014074595355383532,mhtml,none
0pKftc-Z0_k,0,metadata,sb2,mhtml,80x45,45,0.10021111893033076,mhtml,none
0pKftc-Z0_k,0,metadata,sb1,mhtml,160x90,90,0.10021111893033076,mhtml,none
0pKftc-Z0_k,0,metadata,sb0,mhtml,320x180,180,0.10021111893033076,mhtml,none
0pKftc-Z0_k,0,metadata,233,mp4,audio only,,,m3u8_native,none
0pKftc-Z0_k,0,metadata,234,mp4,audio only,,,m3u8_native,none
0pKftc-Z0_k,0,metadata,139,m4a,audio only,,,https,none
0pKftc-Z0_k,0,metadata,140,m4a,audio only,,,https,none
0pKftc-Z0_k,0,metadata,251,webm,audio only,,,https,none
0pKftc-Z0_k,0,metadata,269,mp4,256x144,144,30.0,m3u8_native,avc1.4D400C
0pKftc-Z0_k,0,metadata,160,mp4,256x144,144,30,https,avc1.4d400c
0pKftc-Z0_k,0,metadata,230,mp4,640x360,360,30.0,m3u8_native,avc1.4D401E
0pKftc-Z0_k,0,metadata,134,mp4,640x360,360,30,https,avc1.4d401e
0pKftc-Z0_k,0,metadata,605,mp4,640x360,360,30.0,m3u8_native,vp09.00.21.08
0pKftc-Z0_k,0,metadata,243,webm,640x360,360,30,https,vp9
0pKftc-Z0_k,0,metadata,232,mp4,1280x720,720,30.0,m3u8_native,avc1.64001F
0pKftc-Z0_k,0,metadata,136,mp4,1280x720,720,30,https,avc1.64001f
0pKftc-Z0_k,0,metadata,270,mp4,1920x1080,1080,30.0,m3u8_native,avc1.640028
0pKftc-Z0_k,0,metadata,137,mp4,1920x1080,1080,30,https,avc1.640028
UPlzuJyGLX0,1,listing,sb2,mhtml,48x27,27,0.0,mhtml,images
UPlzuJyGLX0,1,listing,sb1,mhtml,79x45,45,0.0,mhtml,images
UPlzuJyGLX0,1,listing,sb0,mhtml,159x90,90,0.0,mhtml,images
UPlzuJyGLX0,1,listing,602,mp4,256x144,144,15.0,m3u8,vp09.00.10.08
UPlzuJyGLX0,1,listing,269,mp4,256x144,144,30.0,m3u8,avc1.4D400C
UPlzuJyGLX0,1,listing,160,mp4,256x144,144,30.0,https,avc1.4d400c
UPlzuJyGLX0,1,listing,603,mp4,256x144,144,30.0,m3u8,vp09.00.11.08
UPlzuJyGLX0,1,listing,278,webm,256x144,144,30.0,https,vp9
UPlzuJyGLX0,1,listing,394,mp4,256x144,144,30.0,https,av01.0.00M.08
UPlzuJyGLX0,1,listing,229,mp4,426x240,240,30.0,m3u8,avc1.4D4015
UPlzuJyGLX0,1,listing,133,mp4,426x240,240,30.0,https,avc1.4d4015
UPlzuJyGLX0,1,listing,604,mp4,426x240,240,30.0,m3u8,vp09.00.20.08
UPlzuJyGLX0,1,listing,242,webm,426x240,240,30.0,https,vp9
UPlzuJyGLX0,1,listing,395,mp4,426x240,240,30.0,https,av01.0.00M.08
UPlzuJyGLX0,1,listing,230,mp4,640x360,360,30.0,m3u8,avc1.4D401E
UPlzuJyGLX0,1,listing,134,mp4,640x360,360,30.0,https,avc1.4d401e
UPlzuJyGLX0,1,listing,605,mp4,640x360,360,30.0,m3u8,vp09.00.21.08
UPlzuJyGLX0,1,listing,243,webm,640x360,360,30.0,https,vp9
UPlzuJyGLX0,1,listing,396,mp4,640x360,360,30.0,https,av01.0.01M.08
UPlzuJyGLX0,1,listing,231,mp4,854x480,480,30.0,m3u8,avc1.4D401F
UPlzuJyGLX0,1,listing,135,mp4,854x480,480,30.0,https,avc1.4d401f
