closure,path,source,git_oid_expected,git_oid_restored,sha256_source,sha256_restored,sha256_pod,bytes,verdict
G363,docs/evidence/tracking/G363_ADJUDICATION_2026-09-10.md,S1:master,b3e6b70e2278783415b3b23b79fb917f98078dac,b3e6b70e2278783415b3b23b79fb917f98078dac,052a3de7c39253e9acb09964bf85dd7fbeea509d3cba39dec0c35650244fcd5e,052a3de7c39253e9acb09964bf85dd7fbeea509d3cba39dec0c35650244fcd5e,052a3de7c39253e9acb09964bf85dd7fbeea509d3cba39dec0c35650244fcd5e,4887,VERIFIED
G363,docs/evidence/tracking/VERIFIER_CONTRACT.md,S1:master,0b2f16470009fac0a6dfbe1a11432974509b13e7,0b2f16470009fac0a6dfbe1a11432974509b13e7,63d8d126ea26492a12ecab2e74b48d736d30fc626c1162a338acaae6ddb2c341,63d8d126ea26492a12ecab2e74b48d736d30fc626c1162a338acaae6ddb2c341,63d8d126ea26492a12ecab2e74b48d736d30fc626c1162a338acaae6ddb2c341,12392,VERIFIED
G363,docs/evidence/tracking/g357_ball_ownership_px_attempt2_2026-09-08.md,S1:master,25ab92f7140c395b30a0b1f288fc033d1a30e28a,25ab92f7140c395b30a0b1f288fc033d1a30e28a,dc7d735a4d252f18afcf5a068618e3084d1e5ed152f2cd3d4c5249f0d4e8e56d,dc7d735a4d252f18afcf5a068618e3084d1e5ed152f2cd3d4c5249f0d4e8e56d,dc7d735a4d252f18afcf5a068618e3084d1e5ed152f2cd3d4c5249f0d4e8e56d,6847,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/adjudication_summary.json,S1:master,9b88e5f53a565c6f0569e1164ea55fbf7c460662,9b88e5f53a565c6f0569e1164ea55fbf7c460662,be8efdbe84c135daba451135ade90c8854c651c52ffbec8d7fd31b6479ad70fd,be8efdbe84c135daba451135ade90c8854c651c52ffbec8d7fd31b6479ad70fd,be8efdbe84c135daba451135ade90c8854c651c52ffbec8d7fd31b6479ad70fd,1493,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/arms.csv,S1:master,7739155d76b6cdeca24cf32030136a95fbbc066c,7739155d76b6cdeca24cf32030136a95fbbc066c,246e5c8b4bc5e90a8c0e5034f3a0eecee1a9c6fda2f79297930719e4e83284e0,246e5c8b4bc5e90a8c0e5034f3a0eecee1a9c6fda2f79297930719e4e83284e0,246e5c8b4bc5e90a8c0e5034f3a0eecee1a9c6fda2f79297930719e4e83284e0,2126,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/c0_baseline.txt,S1:master,e767aa7fd2cfaff71fe4b721426ba9d2e8f73e3a,e767aa7fd2cfaff71fe4b721426ba9d2e8f73e3a,19d79d87139e6c5d2856301a54bd1ddb7825985ca2c86005f8e879132db55f45,19d79d87139e6c5d2856301a54bd1ddb7825985ca2c86005f8e879132db55f45,19d79d87139e6c5d2856301a54bd1ddb7825985ca2c86005f8e879132db55f45,1986,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/cache_manifest.csv,S1:master,5b368b2497abec58360c098643763a22c984917f,5b368b2497abec58360c098643763a22c984917f,3e715daa3c2b8fe4fd0d6cf6055bfd0bc12c99f817c76e143495667e799330cd,3e715daa3c2b8fe4fd0d6cf6055bfd0bc12c99f817c76e143495667e799330cd,3e715daa3c2b8fe4fd0d6cf6055bfd0bc12c99f817c76e143495667e799330cd,547135,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/census.csv,S1:master,00fe6db1bc4a69ff42d09812c8e405eaa1fc638b,00fe6db1bc4a69ff42d09812c8e405eaa1fc638b,b259ef71ff6e3ec8af8d6ef869638e1f85da6a9646f7bbef40f2717c1d177b54,b259ef71ff6e3ec8af8d6ef869638e1f85da6a9646f7bbef40f2717c1d177b54,b259ef71ff6e3ec8af8d6ef869638e1f85da6a9646f7bbef40f2717c1d177b54,94716,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/centre_diagnostic.json,S1:master,cb3a2f6dc8529076da568a798eeb6da66aa07b60,cb3a2f6dc8529076da568a798eeb6da66aa07b60,2234ef9fd02071de7d33d043041ce83b089c68fc650aaccadbbab4fa7a7c8b71,2234ef9fd02071de7d33d043041ce83b089c68fc650aaccadbbab4fa7a7c8b71,2234ef9fd02071de7d33d043041ce83b089c68fc650aaccadbbab4fa7a7c8b71,446,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_00_a7e94a21efb9.jpg,S1:master,3d095177f8a0192bbc75c8ae4529b431be613afb,3d095177f8a0192bbc75c8ae4529b431be613afb,3db8b3146272a71a59b0467d5ac7c55b6ae27c4531f1468d6ab64a66dc41c8c0,3db8b3146272a71a59b0467d5ac7c55b6ae27c4531f1468d6ab64a66dc41c8c0,3db8b3146272a71a59b0467d5ac7c55b6ae27c4531f1468d6ab64a66dc41c8c0,171121,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_01_9d795f66257b.jpg,S1:master,47f4d2a64d32da978f5029ba0d8a3c13eb8f04ab,47f4d2a64d32da978f5029ba0d8a3c13eb8f04ab,a5947a79bf5cbc7c43937cbaa7f6ad5b510802bab86219ba20921b6e4f08a77e,a5947a79bf5cbc7c43937cbaa7f6ad5b510802bab86219ba20921b6e4f08a77e,a5947a79bf5cbc7c43937cbaa7f6ad5b510802bab86219ba20921b6e4f08a77e,183532,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_02_588c42315e4e.jpg,S1:master,bcb11a82556365d111c354c80ae3898de4d153ef,bcb11a82556365d111c354c80ae3898de4d153ef,8509c5cf6a111a08394c219e69fb6647b998a2ea8d5ba6d862ab95d8218f2193,8509c5cf6a111a08394c219e69fb6647b998a2ea8d5ba6d862ab95d8218f2193,8509c5cf6a111a08394c219e69fb6647b998a2ea8d5ba6d862ab95d8218f2193,194873,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_03_98d9b066d866.jpg,S1:master,28d9fa7df5f71241503a342f811224bb6ca75835,28d9fa7df5f71241503a342f811224bb6ca75835,6d3d2064ac7c21c84c88614ab2ea2512ed558e1166c0cb9b7e01069e3bbb60e2,6d3d2064ac7c21c84c88614ab2ea2512ed558e1166c0cb9b7e01069e3bbb60e2,6d3d2064ac7c21c84c88614ab2ea2512ed558e1166c0cb9b7e01069e3bbb60e2,189727,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_04_a9b8c4b4cd72.jpg,S1:master,702d8a3599fc28d462832f941d22d6ccf3856005,702d8a3599fc28d462832f941d22d6ccf3856005,dc555e70ecad6734d9b7edcb9f686aba777bdfa1076f6fb5fe50413cf2bbbb9d,dc555e70ecad6734d9b7edcb9f686aba777bdfa1076f6fb5fe50413cf2bbbb9d,dc555e70ecad6734d9b7edcb9f686aba777bdfa1076f6fb5fe50413cf2bbbb9d,189586,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_05_24fd0a97b8dd.jpg,S1:master,b36d4f8375a7adfe77cfcbe767a9ec7ec1111649,b36d4f8375a7adfe77cfcbe767a9ec7ec1111649,ac0b3872f8dbf6a62f47bc4aa0848b73932d942a437361bcd7c8858a1bcd6613,ac0b3872f8dbf6a62f47bc4aa0848b73932d942a437361bcd7c8858a1bcd6613,ac0b3872f8dbf6a62f47bc4aa0848b73932d942a437361bcd7c8858a1bcd6613,183146,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_06_98fd5ff88f79.jpg,S1:master,de0379f0160c6aae55229060f6532b0862b21a65,de0379f0160c6aae55229060f6532b0862b21a65,1759cbc4d40c52b06c192bcf39a406d5f9f09c79a7e59146221c915933d54728,1759cbc4d40c52b06c192bcf39a406d5f9f09c79a7e59146221c915933d54728,1759cbc4d40c52b06c192bcf39a406d5f9f09c79a7e59146221c915933d54728,186262,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_07_82fbbc268e44.jpg,S1:master,9f3d3bdee6dabe9d78d1593c87fd0646f57a7e79,9f3d3bdee6dabe9d78d1593c87fd0646f57a7e79,cc9b229b7d220a8fce5e0a27421c56ef05f91194ac058eb56e53d386c3dccea2,cc9b229b7d220a8fce5e0a27421c56ef05f91194ac058eb56e53d386c3dccea2,cc9b229b7d220a8fce5e0a27421c56ef05f91194ac058eb56e53d386c3dccea2,184152,VERIFIED
G363,docs/evidence/tracking/g363_ball_coverage_2026-09-09/eye_check/eye_08_dd6672ddb657.jpg,S1:master,150ca499573ef168e4794cec54078726880f1411,150ca499573ef168e4794cec54078726880f1411,6111ab2fa431ec722f777e50a2501bb4e384e4106213cded6dffa18cc963f08f,6111ab2fa431ec722f777e50a2501bb4e384e4106213cded6dffa18cc963f08f,6111ab2fa431ec722f777e50a2501bb4e384e4106213cded6dffa18cc963f08f,197218,VERIFIED
