clip,source_frame,ball_visible,center_x_image_px,center_y_image_px,frame_width_image_px,frame_height_image_px,ball_radius_image_px,uncertain,uncertain_reason,render
tennis__tennis_10.mp4,4058,true,1125,430,1920,1080,4,false,,renders/courtband_tiles_2x/tennis__tennis_10_004058_mid_tile2x.jpg
tennis__tennis_10.mp4,4063,true,1110,442,1920,1080,4,false,,renders/courtband_tiles_2x/tennis__tennis_10_004063_mid_tile2x.jpg
tennis__tennis_10.mp4,4068,true,1080,500,1920,1080,4,false,,renders/courtband_tiles_2x/tennis__tennis_10_004068_mid_tile2x.jpg
tennis__tennis_10.mp4,4073,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004073_mid_tile2x.jpg
tennis__tennis_10.mp4,4078,true,888,463,1920,1080,3,false,,renders/courtband_tiles_2x/tennis__tennis_10_004078_mid_tile2x.jpg
tennis__tennis_10.mp4,4083,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004083_mid_tile2x.jpg
tennis__tennis_10.mp4,4088,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004088_mid_tile2x.jpg
tennis__tennis_10.mp4,4093,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004093_mid_tile2x.jpg
tennis__tennis_10.mp4,4098,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004098_mid_tile2x.jpg
tennis__tennis_10.mp4,4103,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004103_mid_tile2x.jpg
tennis__tennis_10.mp4,4108,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004108_mid_tile2x.jpg
tennis__tennis_10.mp4,4113,true,1110,530,1920,1080,3,false,,renders/courtband_tiles_2x/tennis__tennis_10_004113_mid_tile2x.jpg
tennis__tennis_10.mp4,4118,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004118_mid_tile2x.jpg
tennis__tennis_10.mp4,4123,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004123_mid_tile2x.jpg
tennis__tennis_10.mp4,4128,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004128_mid_tile2x.jpg
tennis__tennis_10.mp4,4133,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004133_mid_tile2x.jpg
tennis__tennis_10.mp4,4138,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004138_mid_tile2x.jpg
tennis__tennis_10.mp4,4143,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004143_mid_tile2x.jpg
tennis__tennis_10.mp4,4148,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004148_mid_tile2x.jpg
tennis__tennis_10.mp4,4153,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004153_mid_tile2x.jpg
tennis__tennis_10.mp4,4158,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004158_mid_tile2x.jpg
tennis__tennis_10.mp4,4163,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004163_mid_tile2x.jpg
tennis__tennis_10.mp4,4168,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004168_mid_tile2x.jpg
tennis__tennis_10.mp4,4173,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004173_mid_tile2x.jpg
tennis__tennis_10.mp4,4178,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004178_mid_tile2x.jpg
tennis__tennis_10.mp4,4183,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004183_mid_tile2x.jpg
tennis__tennis_10.mp4,4188,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004188_mid_tile2x.jpg
tennis__tennis_10.mp4,4193,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004193_mid_tile2x.jpg
tennis__tennis_10.mp4,4198,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004198_mid_tile2x.jpg
tennis__tennis_10.mp4,4203,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004203_mid_tile2x.jpg
tennis__tennis_10.mp4,4208,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004208_mid_tile2x.jpg
tennis__tennis_10.mp4,4213,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004213_mid_tile2x.jpg
tennis__tennis_10.mp4,4218,,,,1920,1080,,true,motion blur after tiled 2x review,renders/courtband_tiles_2x/tennis__tennis_10_004218_mid_tile2x.jpg
