clip,slot,source_frame,render,visible_count,visible_landmarks_or_family,basis
soccer__soccer_AgspyOj5BPk.mp4,1,1392,renders/soccer__soccer_AgspyOj5BPk_f001392.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_AgspyOj5BPk.mp4,2,2375,renders/soccer__soccer_AgspyOj5BPk_f002375.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,3,2997,renders/soccer__soccer_AgspyOj5BPk_f002997.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_AgspyOj5BPk.mp4,4,4458,renders/soccer__soccer_AgspyOj5BPk_f004458.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,5,6013,renders/soccer__soccer_AgspyOj5BPk_f006013.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,6,7890,renders/soccer__soccer_AgspyOj5BPk_f007890.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,7,8858,renders/soccer__soccer_AgspyOj5BPk_f008858.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_AgspyOj5BPk.mp4,8,10430,renders/soccer__soccer_AgspyOj5BPk_f010430.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,9,12536,renders/soccer__soccer_AgspyOj5BPk_f012536.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,10,13579,renders/soccer__soccer_AgspyOj5BPk_f013579.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_AgspyOj5BPk.mp4,11,14628,renders/soccer__soccer_AgspyOj5BPk_f014628.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,12,16705,renders/soccer__soccer_AgspyOj5BPk_f016705.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,13,17635,renders/soccer__soccer_AgspyOj5BPk_f017635.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,14,19874,renders/soccer__soccer_AgspyOj5BPk_f019874.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,15,21055,renders/soccer__soccer_AgspyOj5BPk_f021055.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,16,22850,renders/soccer__soccer_AgspyOj5BPk_f022850.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,17,23181,renders/soccer__soccer_AgspyOj5BPk_f023181.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_AgspyOj5BPk.mp4,18,25193,renders/soccer__soccer_AgspyOj5BPk_f025193.jpg,2,penalty_box_front_corner_a;penalty_box_front_corner_b,two front-line penalty-box corners visible; goal-line endpoints are off-frame or indiscernible
soccer__soccer_AgspyOj5BPk.mp4,19,26033,renders/soccer__soccer_AgspyOj5BPk_f026033.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_AgspyOj5BPk.mp4,20,28718,renders/soccer__soccer_AgspyOj5BPk_f028718.jpg,3,center_circle;center_circle_top;center_circle_bottom,full centre-circle and halfway-line intersection visible
soccer__soccer_cKXZysISV4w.mp4,1,8,renders/soccer__soccer_cKXZysISV4w_f000008.jpg,0,,fewer than three canonical landmarks visibly discernible
soccer__soccer_cKXZysISV4w.mp4,2,2880,renders/soccer__soccer_cKXZysISV4w_f002880.jpg,0,,fewer than three canonical landmarks visibly discernible
