game_id,video_id,requested_start_s,run_start_utc,table_sha256,ball_table_sha256,deploy_manifest_sha256,source_sha256,join_class,reason
-5l407QKuVk_s284,-5l407QKuVk,284,2026-09-08T15:05:11Z,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,table_unreadable
-5l407QKuVk_s478,-5l407QKuVk,478,2026-09-08T15:05:30Z,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,table_unreadable
-5l407QKuVk_s90,-5l407QKuVk,90,2026-09-08T15:05:52Z,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,table_unreadable
0022400909_s1015,UNKNOWN,UNKNOWN,2026-09-08T01:04:22Z,34d07939c5d2f7e33a1680596ad2ed2b4061527196f82a72b8a23981bf8d4d3c,9651e7ef33d891cff3b27d8ec8a2aa19150e4122d952b85a5a35eadb353860ac,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s1206,UNKNOWN,UNKNOWN,2026-09-08T01:07:47Z,ef058e0e8fe127988a7352231ece5aa5785f21d34a43ed26e9051daf135c0d72,2d228e15cce199ccf87b273e9b8832d490c168f0b0d9ab8b4ba76265f152e01c,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s1397,UNKNOWN,UNKNOWN,2026-09-08T01:29:51Z,9eba7dfafa748874f148ec2d7a04c06250fef875cd548ea24025fbb5439d60ae,943a8a38c0e6ba17bfe4a7fd22ebceb7ee370881fe1c9434a95b7156b35d19c8,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s1588,UNKNOWN,UNKNOWN,2026-09-08T01:33:29Z,ec555ba307502e9139abdcbf6459b2b9965ce2c77da32e59e694667213bb12e4,ba3ea5ef3a35c7b9808707f014e698b2fdd6e7f7428e3e980e1626ec6f8a7afb,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s1779,UNKNOWN,UNKNOWN,2026-09-08T01:34:23Z,37eebd7d2bb3402979501a3e4d4fce4f4e6aaf9b3a3d9356c584845a73db5426,0751b3a10e232c4349469cd2563c40daecda6c1acf4456d96843b56418886b65,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s1970,UNKNOWN,UNKNOWN,2026-09-08T01:37:47Z,9c9945555168810533183322a06cd975d06758cdd2bd22a8df797f254b69d143,1a7185d7fb29026124d7c9d6ab78c684d323cbe2e70e4d5aea8e6aa92fd0bc21,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s2161,UNKNOWN,UNKNOWN,2026-09-08T01:37:47Z,735c19f335f6b72a16f1f5c2051318801be526fb3b0de16f51e897007ee78a81,e50e0ed61a9a1e28e646bc94156a1d42a03299ca2e9863bd550e869a0e9a78ce,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s2352,UNKNOWN,UNKNOWN,2026-09-08T01:38:13Z,3fe19d44e542cf92dc2237cc9b0f0ed6b877a9d34827747898530c844776c09b,ae1e219c4bba58338c878a4f4dbf137e8358e22ee523cfedb2ee2a07802c5212,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s2400,UNKNOWN,UNKNOWN,2026-09-08T00:36:50Z,UNKNOWN,abc2c770a0e9f83d515acc67442519cbd37d56289db2135c7664e8960b2630ed,UNKNOWN,UNKNOWN,UNKNOWN,table_unreadable
0022400909_s251,UNKNOWN,UNKNOWN,2026-09-08T01:01:32Z,5971de7aa6f288f49a95884699902da36ec489f59b11e218834aebd0f3c2b406,21671758ecf4fea07b872967bac1b6966c900eb55fb71f61f54704cc2d22c97f,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s2543,UNKNOWN,UNKNOWN,2026-09-08T01:39:35Z,UNKNOWN,abc2c770a0e9f83d515acc67442519cbd37d56289db2135c7664e8960b2630ed,UNKNOWN,UNKNOWN,UNKNOWN,table_unreadable
0022400909_s2734,UNKNOWN,UNKNOWN,2026-09-08T01:40:32Z,349c2c9c8611042cd7279c47216bdb92b34ab9b189b03a0ce2d7d2676a387b2e,10f6f5d2b6b6dd05dd96bd734aa4e9d1f3e7bf2241d6504defd3122c0236db0d,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s2925,UNKNOWN,UNKNOWN,2026-09-08T01:40:34Z,9f8b67eee871ea24eb62ff12c7a9bd828ef7498407dc1dd052b85be1f432f0df,6e4a53077aa33bf4c63825dac511bf71bdaca6acfb25658bdce499306dc35acb,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s3116,UNKNOWN,UNKNOWN,2026-09-08T01:50:11Z,1d67b6a37caac9220a62dfdc393277a79a3b50dee170aac035cc249a029eb238,31013908124e5fbb9f26699762a4d58e73eab332c652e760e04ad2c8bf0a38e6,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s3307,UNKNOWN,UNKNOWN,2026-09-08T01:53:37Z,fa8cfc9e8d29855505f4e5999c9a8eae6aac8b8c00814b627e4034847f0c9106,e2a718c161bcf5a85d0c45ec95d93eb34b702e5f7c9ef3105887d37dc3f9c744,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
0022400909_s3498,UNKNOWN,UNKNOWN,2026-09-08T01:59:24Z,a2842502a485d289d68ad48fc25e8954960ac2e8cdf51f49a9f91fcd970be585,bbb6ae94378fc98bf9fd86d8b3d3c5850db796fc4e2c3f244f01b691018e9b37,UNKNOWN,UNKNOWN,UNKNOWN,no_source_bytes_and_no_alignment
