video_id,frame_index,pts
y8UQxPOVdbE,0,0.000000
y8UQxPOVdbE,1,0.033333
y8UQxPOVdbE,2,0.066667
y8UQxPOVdbE,3,0.100000
y8UQxPOVdbE,4,0.133333
y8UQxPOVdbE,5,0.166667
y8UQxPOVdbE,6,0.200000
y8UQxPOVdbE,7,0.233333
y8UQxPOVdbE,8,0.266667
y8UQxPOVdbE,9,0.300000
y8UQxPOVdbE,10,0.333333
y8UQxPOVdbE,11,0.366667
y8UQxPOVdbE,12,0.400000
y8UQxPOVdbE,13,0.433333
y8UQxPOVdbE,14,0.466667
y8UQxPOVdbE,15,0.500000
y8UQxPOVdbE,16,0.533333
y8UQxPOVdbE,17,0.566667
y8UQxPOVdbE,18,0.600000
y8UQxPOVdbE,19,0.633333
y8UQxPOVdbE,20,0.666667
y8UQxPOVdbE,21,0.700000
y8UQxPOVdbE,22,0.733333
y8UQxPOVdbE,23,0.766667
y8UQxPOVdbE,24,0.800000
y8UQxPOVdbE,25,0.833333
y8UQxPOVdbE,26,0.866667
y8UQxPOVdbE,27,0.900000
y8UQxPOVdbE,28,0.933333
y8UQxPOVdbE,29,0.966667
y8UQxPOVdbE,30,1.000000
y8UQxPOVdbE,31,1.033333
y8UQxPOVdbE,32,1.066667
y8UQxPOVdbE,33,1.100000
y8UQxPOVdbE,34,1.133333
y8UQxPOVdbE,35,1.166667
y8UQxPOVdbE,36,1.200000
y8UQxPOVdbE,37,1.233333
y8UQxPOVdbE,38,1.266667
y8UQxPOVdbE,39,1.300000
y8UQxPOVdbE,40,1.333333
y8UQxPOVdbE,41,1.366667
y8UQxPOVdbE,42,1.400000
y8UQxPOVdbE,43,1.433333
y8UQxPOVdbE,44,1.466667
y8UQxPOVdbE,45,1.500000
y8UQxPOVdbE,46,1.533333
y8UQxPOVdbE,47,1.566667
y8UQxPOVdbE,48,1.600000
y8UQxPOVdbE,49,1.633333
y8UQxPOVdbE,50,1.666667
y8UQxPOVdbE,51,1.700000
y8UQxPOVdbE,52,1.733333
y8UQxPOVdbE,53,1.766667
y8UQxPOVdbE,54,1.800000
y8UQxPOVdbE,55,1.833333
y8UQxPOVdbE,56,1.866667
y8UQxPOVdbE,57,1.900000
y8UQxPOVdbE,58,1.933333
y8UQxPOVdbE,59,1.966667
y8UQxPOVdbE,60,2.000000
y8UQxPOVdbE,61,2.033333
y8UQxPOVdbE,62,2.066667
y8UQxPOVdbE,63,2.100000
y8UQxPOVdbE,64,2.133333
y8UQxPOVdbE,65,2.166667
y8UQxPOVdbE,66,2.200000
y8UQxPOVdbE,67,2.233333
y8UQxPOVdbE,68,2.266667
y8UQxPOVdbE,69,2.300000
y8UQxPOVdbE,70,2.333333
y8UQxPOVdbE,71,2.366667
y8UQxPOVdbE,72,2.400000
y8UQxPOVdbE,73,2.433333
y8UQxPOVdbE,74,2.466667
y8UQxPOVdbE,75,2.500000
y8UQxPOVdbE,76,2.533333
y8UQxPOVdbE,77,2.566667
y8UQxPOVdbE,78,2.600000
y8UQxPOVdbE,79,2.633333
y8UQxPOVdbE,80,2.666667
y8UQxPOVdbE,81,2.700000
y8UQxPOVdbE,82,2.733333
y8UQxPOVdbE,83,2.766667
y8UQxPOVdbE,84,2.800000
y8UQxPOVdbE,85,2.833333
y8UQxPOVdbE,86,2.866667
y8UQxPOVdbE,87,2.900000
y8UQxPOVdbE,88,2.933333
y8UQxPOVdbE,89,2.966667
y8UQxPOVdbE,90,3.000000
y8UQxPOVdbE,91,3.033333
y8UQxPOVdbE,92,3.066667
y8UQxPOVdbE,93,3.100000
y8UQxPOVdbE,94,3.133333
y8UQxPOVdbE,95,3.166667
y8UQxPOVdbE,96,3.200000
y8UQxPOVdbE,97,3.233333
y8UQxPOVdbE,98,3.266667
y8UQxPOVdbE,99,3.300000
y8UQxPOVdbE,100,3.333333
y8UQxPOVdbE,101,3.366667
y8UQxPOVdbE,102,3.400000
y8UQxPOVdbE,103,3.433333
y8UQxPOVdbE,104,3.466667
y8UQxPOVdbE,105,3.500000
y8UQxPOVdbE,106,3.533333
y8UQxPOVdbE,107,3.566667
y8UQxPOVdbE,108,3.600000
y8UQxPOVdbE,109,3.633333
y8UQxPOVdbE,110,3.666667
y8UQxPOVdbE,111,3.700000
y8UQxPOVdbE,112,3.733333
y8UQxPOVdbE,113,3.766667
y8UQxPOVdbE,114,3.800000
y8UQxPOVdbE,115,3.833333
y8UQxPOVdbE,116,3.866667
y8UQxPOVdbE,117,3.900000
y8UQxPOVdbE,118,3.933333
y8UQxPOVdbE,119,3.966667
y8UQxPOVdbE,120,4.000000
y8UQxPOVdbE,121,4.033333
y8UQxPOVdbE,122,4.066667
y8UQxPOVdbE,123,4.100000
y8UQxPOVdbE,124,4.133333
y8UQxPOVdbE,125,4.166667
y8UQxPOVdbE,126,4.200000
y8UQxPOVdbE,127,4.233333
y8UQxPOVdbE,128,4.266667
y8UQxPOVdbE,129,4.300000
y8UQxPOVdbE,130,4.333333
y8UQxPOVdbE,131,4.366667
y8UQxPOVdbE,132,4.400000
y8UQxPOVdbE,133,4.433333
y8UQxPOVdbE,134,4.466667
y8UQxPOVdbE,135,4.500000
y8UQxPOVdbE,136,4.533333
y8UQxPOVdbE,137,4.566667
y8UQxPOVdbE,138,4.600000
y8UQxPOVdbE,139,4.633333
y8UQxPOVdbE,140,4.666667
y8UQxPOVdbE,141,4.700000
y8UQxPOVdbE,142,4.733333
y8UQxPOVdbE,143,4.766667
y8UQxPOVdbE,144,4.800000
y8UQxPOVdbE,145,4.833333
y8UQxPOVdbE,146,4.866667
y8UQxPOVdbE,147,4.900000
y8UQxPOVdbE,148,4.933333
y8UQxPOVdbE,149,4.966667
y8UQxPOVdbE,150,5.000000
y8UQxPOVdbE,151,5.033333
y8UQxPOVdbE,152,5.066667
y8UQxPOVdbE,153,5.100000
y8UQxPOVdbE,154,5.133333
y8UQxPOVdbE,155,5.166667
y8UQxPOVdbE,156,5.200000
y8UQxPOVdbE,157,5.233333
y8UQxPOVdbE,158,5.266667
y8UQxPOVdbE,159,5.300000
y8UQxPOVdbE,160,5.333333
y8UQxPOVdbE,161,5.366667
y8UQxPOVdbE,162,5.400000
y8UQxPOVdbE,163,5.433333
y8UQxPOVdbE,164,5.466667
y8UQxPOVdbE,165,5.500000
y8UQxPOVdbE,166,5.533333
y8UQxPOVdbE,167,5.566667
y8UQxPOVdbE,168,5.600000
y8UQxPOVdbE,169,5.633333
y8UQxPOVdbE,170,5.666667
y8UQxPOVdbE,171,5.700000
y8UQxPOVdbE,172,5.733333
y8UQxPOVdbE,173,5.766667
y8UQxPOVdbE,174,5.800000
y8UQxPOVdbE,175,5.833333
y8UQxPOVdbE,176,5.866667
y8UQxPOVdbE,177,5.900000
y8UQxPOVdbE,178,5.933333
y8UQxPOVdbE,179,5.966667
y8UQxPOVdbE,180,6.000000
y8UQxPOVdbE,181,6.033333
y8UQxPOVdbE,182,6.066667
y8UQxPOVdbE,183,6.100000
y8UQxPOVdbE,184,6.133333
y8UQxPOVdbE,185,6.166667
y8UQxPOVdbE,186,6.200000
y8UQxPOVdbE,187,6.233333
y8UQxPOVdbE,188,6.266667
y8UQxPOVdbE,189,6.300000
y8UQxPOVdbE,190,6.333333
y8UQxPOVdbE,191,6.366667
y8UQxPOVdbE,192,6.400000
y8UQxPOVdbE,193,6.433333
y8UQxPOVdbE,194,6.466667
y8UQxPOVdbE,195,6.500000
y8UQxPOVdbE,196,6.533333
y8UQxPOVdbE,197,6.566667
y8UQxPOVdbE,198,6.600000
y8UQxPOVdbE,199,6.633333
y8UQxPOVdbE,200,6.666667
y8UQxPOVdbE,201,6.700000
y8UQxPOVdbE,202,6.733333
y8UQxPOVdbE,203,6.766667
y8UQxPOVdbE,204,6.800000
y8UQxPOVdbE,205,6.833333
y8UQxPOVdbE,206,6.866667
y8UQxPOVdbE,207,6.900000
y8UQxPOVdbE,208,6.933333
y8UQxPOVdbE,209,6.966667
y8UQxPOVdbE,210,7.000000
y8UQxPOVdbE,211,7.033333
y8UQxPOVdbE,212,7.066667
y8UQxPOVdbE,213,7.100000
y8UQxPOVdbE,214,7.133333
y8UQxPOVdbE,215,7.166667
y8UQxPOVdbE,216,7.200000
y8UQxPOVdbE,217,7.233333
y8UQxPOVdbE,218,7.266667
y8UQxPOVdbE,219,7.300000
y8UQxPOVdbE,220,7.333333
y8UQxPOVdbE,221,7.366667
y8UQxPOVdbE,222,7.400000
y8UQxPOVdbE,223,7.433333
y8UQxPOVdbE,224,7.466667
y8UQxPOVdbE,225,7.500000
y8UQxPOVdbE,226,7.533333
y8UQxPOVdbE,227,7.566667
y8UQxPOVdbE,228,7.600000
y8UQxPOVdbE,229,7.633333
y8UQxPOVdbE,230,7.666667
y8UQxPOVdbE,231,7.700000
y8UQxPOVdbE,232,7.733333
y8UQxPOVdbE,233,7.766667
y8UQxPOVdbE,234,7.800000
y8UQxPOVdbE,235,7.833333
y8UQxPOVdbE,236,7.866667
y8UQxPOVdbE,237,7.900000
y8UQxPOVdbE,238,7.933333
y8UQxPOVdbE,239,7.966667
y8UQxPOVdbE,240,8.000000
y8UQxPOVdbE,241,8.033333
y8UQxPOVdbE,242,8.066667
y8UQxPOVdbE,243,8.100000
y8UQxPOVdbE,244,8.133333
y8UQxPOVdbE,245,8.166667
y8UQxPOVdbE,246,8.200000
y8UQxPOVdbE,247,8.233333
y8UQxPOVdbE,248,8.266667
y8UQxPOVdbE,249,8.300000
y8UQxPOVdbE,250,8.333333
y8UQxPOVdbE,251,8.366667
y8UQxPOVdbE,252,8.400000
y8UQxPOVdbE,253,8.433333
y8UQxPOVdbE,254,8.466667
y8UQxPOVdbE,255,8.500000
y8UQxPOVdbE,256,8.533333
y8UQxPOVdbE,257,8.566667
y8UQxPOVdbE,258,8.600000
y8UQxPOVdbE,259,8.633333
y8UQxPOVdbE,260,8.666667
y8UQxPOVdbE,261,8.700000
y8UQxPOVdbE,262,8.733333
y8UQxPOVdbE,263,8.766667
y8UQxPOVdbE,264,8.800000
y8UQxPOVdbE,265,8.833333
y8UQxPOVdbE,266,8.866667
y8UQxPOVdbE,267,8.900000
y8UQxPOVdbE,268,8.933333
y8UQxPOVdbE,269,8.966667
y8UQxPOVdbE,270,9.000000
y8UQxPOVdbE,271,9.033333
y8UQxPOVdbE,272,9.066667
y8UQxPOVdbE,273,9.100000
y8UQxPOVdbE,274,9.133333
y8UQxPOVdbE,275,9.166667
y8UQxPOVdbE,276,9.200000
y8UQxPOVdbE,277,9.233333
y8UQxPOVdbE,278,9.266667
y8UQxPOVdbE,279,9.300000
y8UQxPOVdbE,280,9.333333
y8UQxPOVdbE,281,9.366667
y8UQxPOVdbE,282,9.400000
y8UQxPOVdbE,283,9.433333
y8UQxPOVdbE,284,9.466667
y8UQxPOVdbE,285,9.500000
