frame_key,video_id,canonical_game,competition,target_s,pts,frame_index,pixel_sha256,width,height,status,nearest_class,cosine_distance,gate_admitted
07be1bb2c44a8b594ae5d295d869ad28a382425b04ad9f1183f14e04639d46fc,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,2.000,2.000000,60,e0f3acdd6522f85c1b8f9ea6f4257c317180dab232b808bb0089d6d19e19a584,1920,1080,DECODED,USABLE_COURT,0.124485,1
b85c08b6d1822f4d97853066bdc320d0e77b9e8b92c7ccaa8fe2d244e07a3bd3,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,4.000,4.000000,120,2cb6c7aade99fc7374a1948a33afb15e6b86e48907eec76a8f68cae62f753d82,1920,1080,DECODED,USABLE_COURT,0.123555,1
2598426c92806fab11c13bcb462e897833ed4a2802974213d4426deefe99d49f,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,6.000,6.000000,180,46615c47da5607792a3edd5d721efb14f3f792286a045a31ab3fa548cc7c57a8,1920,1080,DECODED,CLOSEUP,0.216912,0
ab46cdd23978a94d66b1e5c62540c6e144a97194b7b86865f57c0e3131ba6c3a,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,8.000,8.000000,240,68e5e45b724f8b9bd692c42c96699a0f1fbb35cc2cc5076ddad79c5a63067b87,1920,1080,DECODED,CLOSEUP,0.225707,0
3cebed2925fec7ff54224bccbfde0efd60e2a18ab902c25600349ee894022c49,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,10.000,10.000000,300,370ea0d8435c7601666ad2be286f76d59fc962f2743cfb6f924b8da5338c1c15,1920,1080,DECODED,CLOSEUP,0.152117,0
46902e280218a2277b42423d363a3eb0a90535fdca2857ec7cd9f5b1847b44ce,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,12.000,12.000000,360,1c80e22769451c26d2aed6ca788899781e70660d3956ae4319f8ae1d5d501f36,1920,1080,DECODED,CLOSEUP,0.139816,0
5d63062685f7df1fbeb7611b309c749ce7559d74db85d4f29a8284be5c14b355,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,14.000,14.000000,420,38a3a9886185ea93646f9904f55393bbe81c0b5ed85bcc15961e8f41253328a4,1920,1080,DECODED,CLOSEUP,0.234264,0
d7d4ed2332a6b022d554d19c90517f6fa5a8c317e45665836f0ab95519013b98,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,16.000,16.000000,480,17edfc94608ed12c4af098ad9a8a8d5de992705f737643fb32f1afce3d709fd8,1920,1080,DECODED,USABLE_COURT,0.209998,1
40c1575185e1759635f181b9e72339c77e451c4a76dccc277b1feb07bd65b5f5,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,18.000,18.000000,540,6e1c95aff9acd7ed3d33110ed0cab3f40640b6d181354f2b02934baab3e5ad84,1920,1080,DECODED,CLOSEUP,0.167477,0
0f93c79fa40fe0fe71b191d72e058ddf2008bc5b02569524b24f4f18f72e2b55,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,20.000,20.000000,600,b9397de96588d2923661c39ae6e89d8f6ccfa5140944f65119a8067d06ccfff2,1920,1080,DECODED,CROWD_GRAPHICS,0.301102,0
de06b629fa46cc84c3b350b175a9dd16fc3006f579618da19dd12ec0bc5c3907,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,22.000,22.000000,660,cd1445cc6f76f803286cdb60905b9deeef5ede30ef9a1f93f4a7131a26802db2,1920,1080,DECODED,CLOSEUP,0.177858,0
8bc59769e8f9215095c70b5cf658297c5aa3054ff111d0f1b314e5ef34c562cf,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,24.000,24.000000,720,87c26f2794ae36703618e8ede30529ed4bd9a7c8ca5d85047edefb2055c1f71f,1920,1080,DECODED,USABLE_COURT,0.118461,1
a799142751bfde635297a061419ede2c194481148c24ca3382088f954f4404a7,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,26.000,26.000000,780,e50a697c2d291b358de3ae86882c040b96c8c6bf3c8eebe69772c22b07f5de5c,1920,1080,DECODED,USABLE_COURT,0.107767,1
b5d084dd79058e9db1f4da0584c1740674df82c666d896e5751402856a52dd0d,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,28.000,28.000000,840,f7faf3931852ddd837f041215acdcf11bda6f82d61548d66827841e6f5df881c,1920,1080,DECODED,USABLE_COURT,0.146393,1
31fb9ce8f25d83ed7d6fb991d98ae789ba64d70b0612e88d9605b867d99fb8cc,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,30.000,30.000000,900,16acf92d7f0a19f4bdadddf0f92a4164dc3773c43993e3187e7d64d97377defc,1920,1080,DECODED,USABLE_COURT,0.134742,1
342c5d6c02eae5da4dd2bd5dd98267ba1afe86308593c5428c03400b19e28e8a,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,32.000,32.000000,960,c8a027865022fcca9eb53d0a2c625cbc18d96a8b798e6292cc6379ecd86ed9e2,1920,1080,DECODED,USABLE_COURT,0.151593,1
4ca310883380f637c7718aa1a92f2d2e5a5ed6a7e3a507a88616deb8d043083f,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,34.000,34.000000,1020,6038b53492f00ab5554d56634b8330a72b223d3c366f5d1cfb3bede46a667e49,1920,1080,DECODED,USABLE_COURT,0.136710,1
39ed45b15be14e3d99f9db646b854ba90d2991d61e55ca73bc49ba6f94cf86bf,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,36.000,36.000000,1080,e538ee8e3797a81aa58e3e187a598cdb73d90550ee40d7a8bc8c435f7ad9cb51,1920,1080,DECODED,USABLE_COURT,0.140027,1
59ee8f5287b85de28de35f1369c38e18bdb62bff57f829d8179fea65a2c2e31e,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,38.000,38.000000,1140,563b017da4320160504870686515de36c24541a703c0f4b7f6bf1f1c45f4193d,1920,1080,DECODED,USABLE_COURT,0.126107,1
8dc7e8a5455582ffc152e964d14599ca2e954385c7c26f6f170bc6331eac64a3,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,40.000,40.000000,1200,8b65e79ca6439a00d6aab0c515992c3fb8422ad317054db66737b85a09f8f956,1920,1080,DECODED,USABLE_COURT,0.129051,1
2194a37cfb58f77d8618082ed808bcea5c0d8f15a2bb350d67a15bec70d6176c,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,42.000,42.000000,1260,92a017de9c0e9458b304d181019cf4d4ec4459b4db5780ce033f8f9176bc2266,1920,1080,DECODED,CLOSEUP,0.146721,0
7b48253bf7fe1b7e02b307947fc7818cf2dcfb2c90d790867e8512054ccd2722,y8UQxPOVdbE,bcl|baxi manresa v dar ssafaka full game basketball champion,bcl,44.000,44.000000,1320,94d3c83af9d3c171dae78bfd349bafa596ea15048077ca82c545121b57ba4bb9,1920,1080,DECODED,USABLE_COURT,0.135362,1
