blind_id,source_frame,frame_file,status,players_visible_on_court,other_people_on_court
0,22060,part_a_039.jpg,CANNOT_COUNT,,
1,21935,part_a_037.jpg,COUNTED,10,1
2,20128,part_a_008.jpg,COUNTED,10,1
3,21686,part_a_033.jpg,COUNTED,10,1
4,21873,part_a_036.jpg,COUNTED,10,1
5,23119,part_a_056.jpg,COUNTED,10,1
6,21001,part_a_022.jpg,COUNTED,10,0
7,22434,part_a_045.jpg,COUNTED,10,1
8,19817,part_a_003.jpg,COUNTED,10,1
9,20190,part_a_009.jpg,COUNTED,10,1
10,21437,part_a_029.jpg,COUNTED,10,0
11,22745,part_a_050.jpg,COUNTED,10,0
12,21250,part_a_026.jpg,COUNTED,6,0
13,21624,part_a_032.jpg,COUNTED,7,0
14,19941,part_a_005.jpg,CANNOT_COUNT,,
15,22309,part_a_043.jpg,COUNTED,10,2
16,20502,part_a_014.jpg,COUNTED,10,1
17,20315,part_a_011.jpg,CANNOT_COUNT,,
18,21561,part_a_031.jpg,COUNTED,10,1
19,22621,part_a_048.jpg,COUNTED,10,1
20,21125,part_a_024.jpg,COUNTED,10,1
21,22371,part_a_044.jpg,COUNTED,10,1
22,23306,part_a_059.jpg,COUNTED,5,0
23,22558,part_a_047.jpg,COUNTED,10,1
24,20066,part_a_007.jpg,COUNTED,10,1
25,21748,part_a_034.jpg,COUNTED,10,1
26,23057,part_a_055.jpg,CANNOT_COUNT,,
27,22932,part_a_053.jpg,CANNOT_COUNT,,
28,20938,part_a_021.jpg,COUNTED,10,1
29,23368,part_a_060.jpg,COUNTED,10,1
30,21312,part_a_027.jpg,COUNTED,6,0
31,20751,part_a_018.jpg,COUNTED,10,2
32,23181,part_a_057.jpg,CANNOT_COUNT,,
33,21811,part_a_035.jpg,COUNTED,10,1
34,19879,part_a_004.jpg,COUNTED,10,1
35,22247,part_a_042.jpg,COUNTED,10,1
36,22184,part_a_041.jpg,COUNTED,10,1
37,19630,part_a_000.jpg,COUNTED,10,0
38,20253,part_a_010.jpg,COUNTED,10,1
39,22808,part_a_051.jpg,COUNTED,10,1
40,20876,part_a_020.jpg,COUNTED,10,0
41,21187,part_a_025.jpg,COUNTED,10,1
42,21499,part_a_030.jpg,COUNTED,10,0
43,22496,part_a_046.jpg,COUNTED,10,0
44,22994,part_a_054.jpg,COUNTED,10,1
45,20814,part_a_019.jpg,COUNTED,10,1
46,21374,part_a_028.jpg,CANNOT_COUNT,,
47,20004,part_a_006.jpg,COUNTED,10,1
48,20564,part_a_015.jpg,COUNTED,10,1
49,20440,part_a_013.jpg,COUNTED,10,1
50,22870,part_a_052.jpg,COUNTED,10,2
51,20689,part_a_017.jpg,COUNTED,10,1
52,21997,part_a_038.jpg,COUNTED,10,1
53,21063,part_a_023.jpg,COUNTED,10,1
54,20377,part_a_012.jpg,COUNTED,10,1
55,23244,part_a_058.jpg,COUNTED,10,1
56,19754,part_a_002.jpg,COUNTED,10,1
57,22683,part_a_049.jpg,COUNTED,10,1
58,19692,part_a_001.jpg,COUNTED,10,1
59,20627,part_a_016.jpg,COUNTED,10,1
60,22122,part_a_040.jpg,COUNTED,10,2
