blind_index,blind_filename,category,detail
1,blind_001.jpg,B,Centre cross is on a player torso in the playing image.
2,blind_002.jpg,A,Centre cross is on a player's shoe at court level.
3,blind_003.jpg,D,Centre cross is on the lower ESPN score and ticker overlay.
4,blind_004.jpg,E,Centre cross is on a seated spectator behind the court.
5,blind_005.jpg,C,Centre cross is on bare dark playing-court floor.
6,blind_006.jpg,E,Centre cross is on a courtside spectator's head.
7,blind_007.jpg,D,Centre cross is on the ESPN promotional lower-third.
8,blind_008.jpg,E,Centre cross is on a spectator in the crowd.
9,blind_009.jpg,D,Centre cross is on the lower ESPN baseball ticker.
10,blind_010.jpg,E,Centre cross is on an on-court official rather than a player.
11,blind_011.jpg,C,Centre cross is on unmarked court floor.
12,blind_012.jpg,D,Centre cross is on the lower broadcast score graphic.
13,blind_013.jpg,D,Centre cross is on the ESPN ticker band.
14,blind_014.jpg,B,Centre cross is on a player's lower body rather than a shoe.
15,blind_015.jpg,E,Centre cross is on a courtside spectator's face.
16,blind_016.jpg,D,Centre cross is on the ESPN score-and-ticker overlay.
17,blind_017.jpg,B,Centre cross is on a player in the playing image.
18,blind_018.jpg,B,Centre cross is on a player's body in the playing image.
19,blind_019.jpg,C,Centre cross is on bare court floor.
20,blind_020.jpg,C,Centre cross is on painted court surface rather than a person.
21,blind_021.jpg,D,Centre cross is on the lower ESPN graphic.
22,blind_022.jpg,A,Centre cross is on a player's shoe at floor level.
23,blind_023.jpg,C,Centre cross is on bare grey court floor.
24,blind_024.jpg,A,Centre cross is on a player's yellow shoe.
25,blind_025.jpg,D,Centre cross is on the lower ticker overlay.
26,blind_026.jpg,A,Centre cross is on a player's foot at court level.
27,blind_027.jpg,D,Centre cross is on the ESPN promotional band.
28,blind_028.jpg,B,Centre cross is on a player's leg in play.
29,blind_029.jpg,C,Centre cross is on court floor beside the action.
30,blind_030.jpg,B,Centre cross is on a player in the playing image.
31,blind_031.jpg,B,Centre cross is on a player's body in play.
32,blind_032.jpg,D,Centre cross is on the lower ESPN ticker.
33,blind_033.jpg,C,Centre cross is on bare court floor.
34,blind_034.jpg,B,Centre cross is on a player's uniformed body.
35,blind_035.jpg,D,Centre cross is on the broadcast score bar.
36,blind_036.jpg,B,Centre cross is on a player in the playing image.
37,blind_037.jpg,F,Centre cross is on broadcast camera equipment at courtside.
38,blind_038.jpg,A,Centre cross is on a player's shoe at court level.
39,blind_039.jpg,C,Centre cross is on bare court floor.
40,blind_040.jpg,E,Centre cross is on an official rather than a player in play.
41,blind_041.jpg,B,Centre cross is on a player in the playing image.
42,blind_042.jpg,D,Centre cross is on the lower ESPN ticker band.
43,blind_043.jpg,E,Centre cross is on a courtside person rather than a player in play.
44,blind_044.jpg,D,Centre cross is on the broadcast score overlay.
45,blind_045.jpg,C,Centre cross is on unmarked court surface.
46,blind_046.jpg,B,Centre cross is on a player's body in play.
47,blind_047.jpg,B,Centre cross is on a player's uniformed body.
48,blind_048.jpg,E,Centre cross is on a courtside person outside play.
49,blind_049.jpg,E,Centre cross is on an on-court official rather than a player.
50,blind_050.jpg,A,Centre cross is on a player's foot at court level.
51,blind_051.jpg,B,Centre cross is on a player in the playing image.
52,blind_052.jpg,B,Centre cross is on a player's body in play.
53,blind_053.jpg,E,Centre cross is on a spectator's face.
54,blind_054.jpg,C,Centre cross is on painted floor logo and court surface.
55,blind_055.jpg,B,Centre cross is on a player in play.
56,blind_056.jpg,D,Centre cross is on the lower ESPN graphic.
57,blind_057.jpg,B,Centre cross is on a player's body in the playing image.
58,blind_058.jpg,D,Centre cross is on the ESPN ticker overlay.
59,blind_059.jpg,A,Centre cross is on a player's foot at court level.
60,blind_060.jpg,E,Centre cross is on an official or courtside person.
61,blind_061.jpg,A,Centre cross is on a player's yellow shoe.
62,blind_062.jpg,C,Centre cross is on bare court floor.
63,blind_063.jpg,E,Centre cross is on a seated spectator.
64,blind_064.jpg,B,Centre cross is on a player in the playing image.
65,blind_065.jpg,D,Centre cross is on the broadcast ticker band.
66,blind_066.jpg,E,Centre cross is on a courtside spectator.
67,blind_067.jpg,B,Centre cross is on a player in play.
68,blind_068.jpg,E,Centre cross is on an official rather than a player.
69,blind_069.jpg,D,Centre cross is on the lower ESPN graphic.
70,blind_070.jpg,B,Centre cross is on a player in the playing image.
71,blind_071.jpg,B,Centre cross is on a player's body in play.
72,blind_072.jpg,B,Centre cross is on a player in the playing image.
