audit_id,source_visible_paint_corners,g111_label_paint_corners,committed_render_visible_paint_corners
G126_01,0,0,0
G126_02,0,2,0
G126_03,0,4,0
G126_04,0,2,0
G126_05,0,0,0
G126_06,0,2,0
G126_07,4,4,4
G126_08,0,0,0
G126_09,0,0,0
G126_10,0,4,0
G126_11,4,4,4
G126_12,2,4,2
G126_13,0,0,0
G126_14,0,4,0
G126_15,0,0,0
G126_16,0,4,0
G126_17,0,2,0
G126_18,0,0,0
G126_19,0,0,0
G126_20,0,2,0
G126_21,0,0,0
G126_22,0,0,0
G126_23,0,0,0
G126_24,2,2,2
G126_25,4,4,4
G126_26,0,2,0
G126_27,4,0,4
G126_28,0,0,0
G126_29,4,2,4
G126_30,4,4,4
G126_31,2,0,2
G126_32,0,4,0
G126_33,0,2,0
G126_34,4,4,4
G126_35,4,4,4
G126_36,0,2,0
G126_37,0,2,0
G126_38,4,2,4
G126_39,0,0,0
G126_40,0,0,0
G126_41,4,4,4
G126_42,0,2,0
G126_43,0,4,0
G126_44,0,4,0
G126_45,0,2,0
