blind_index,verdict
1,SAME PERSON
2,SAME PERSON
3,SAME PERSON
4,SAME PERSON
5,SAME PERSON
6,CANNOT JUDGE
7,SAME PERSON
8,SAME PERSON
9,SAME PERSON
10,SAME PERSON
11,SAME PERSON
12,SAME PERSON
13,SAME PERSON
14,SAME PERSON
15,CANNOT JUDGE
16,SAME PERSON
17,SAME PERSON
18,SAME PERSON
19,SAME PERSON
20,SAME PERSON
21,CANNOT JUDGE
22,DIFFERENT PERSON
23,CANNOT JUDGE
24,SAME PERSON
25,SAME PERSON
26,SAME PERSON
27,SAME PERSON
28,DIFFERENT PERSON
29,CANNOT JUDGE
30,CANNOT JUDGE
31,SAME PERSON
32,SAME PERSON
33,SAME PERSON
34,SAME PERSON
35,SAME PERSON
36,SAME PERSON
37,SAME PERSON
38,CANNOT JUDGE
39,SAME PERSON
40,SAME PERSON
41,SAME PERSON
42,SAME PERSON
43,CANNOT JUDGE
44,SAME PERSON
45,SAME PERSON
46,CANNOT JUDGE
47,SAME PERSON
48,SAME PERSON
49,CANNOT JUDGE
50,SAME PERSON
51,SAME PERSON
52,CANNOT JUDGE
53,CANNOT JUDGE
54,CANNOT JUDGE
55,CANNOT JUDGE
56,CANNOT JUDGE
57,SAME PERSON
58,SAME PERSON
59,SAME PERSON
60,DIFFERENT PERSON
61,CANNOT JUDGE
62,SAME PERSON
