ordinal,frame_key,split,source,why,status,in_manifest,settled_reference,settled_adjudication,primary_raters,allocation,allocation_g384
1,0d2ba648eac22051a8ab8cfc6d58f4acd4743d600cd7d81cf27886be5e7a1e4a,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
2,01624a78bbc487d9602526cfe4540a4fe96c753bc7e126774fc5c604335e2917,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
3,0e28ec60437d97badf30bfeebc4bfefd2af91be56c178e38903ba8e81356707e,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
4,02a8ebb076270a5e8156d01dd9351034a2358f6c799902ea671c86bf3bf6d635,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
5,0f5be93bb3489c3bd006eaad1f46de00e9964a77bbb8f3756cd7f5b9f7ec58da,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
6,043421998afdec270096c172f35f200dde5d1f723fe1132a02a567d1efedec98,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
7,1026ad7863539feb258bc12c3ea8c21c4d1adfba574f89f0c01a2784468b55b4,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
8,054db0ba29fc8e4ded1791cd9cf25f22812f33c60f74080c78cf35f4f69e10f8,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
9,1040d086c38221cb0682df1ccbf787ab00ddf8c41f26e45a9b214a7212566482,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
10,06b61a76a7ed92f4e227015c169b53e2bd2699dd8c7c5fe8fb0f38d92c9527a6,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
11,105128881d24d61dd16bfad9759f7d33ac00960c65d7b033c037f21526744d9b,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
12,06b7146c14f12cbd722f89b4164cc1c10ab99530456e6615fa38a5107f7643a3,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
13,11490e40048bdff582ba91dfef0f49a5d65e64e3240f2837ec3b4d697d91d1b8,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
14,0714d445d447cd121675c903f4e6b79a77bf4fa7d4a9f0abb53fe142698754b8,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
15,12fae7c643419925b0a63d4c7d30afc1a04c1a565d5ce9068fb177a8f9c525c4,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
16,0716d136adb43568d2a75382627391a0cbf7145f5e409edc998c9f8732245ffb,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
17,139142e42c9d159d8a8fb24d669124ced9c67f1c9f21db24493cdaf84b8c35c3,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
18,080b4ae24d37915b8a352eccbef7306919a4520c6c07ff4cef75fc397e5e62b7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
19,13fe9b95f2baa8247ef5b480db021592c1f1b12bbfbfce4ae710f4b67a61ac29,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
20,088c361670696e6a29f5f5ea6f0009a47928be5e093fd13f6d48e27c83176f71,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
21,13ff1900748f2486706891d974958874b20273b5a4672b254c4fcf85d8decc39,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
22,09a4d0d36e4889f9edcb88f707e82e15af5d84f8e1af5769f4346d2b5fc4fd8e,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
23,147fa3791fb1d77fcc9592d6c70f2a3773fbd9df4dc68b795387bf4852dfe67a,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
24,0b0efe5807b194b9bab3e6f262ff9a0ac6f07c73a08655dba70840d85db064c5,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
25,155bc49efcbe441d87bdfae6564605959ed84229bf34d2c2fc6731ff14bd9b52,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
26,0b241fe2e28c13757d751c8df6bf0dc9808ec56f08b1725c5c354396b7f826a2,heldout,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
27,159ec8146872d132315e5f3f5bccd1ba5472b1ae121958363530870db08f140f,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
28,0b3f308131cbbd453856325831312cba0ee41b607e376f5a6bb7fa3845eec80b,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
29,167958b50c68c4e4a66e3a490eda19b440264c9845ca2909291cd357e741ad9f,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
30,0bd4386adf802886b9b44360e518cb26ccaba0a6ad0250f497075e4e2f0acbb7,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
31,171ccd76427d46b36945a39241cc9cab358c95c8570aec46c8bbf65b004c0afb,development,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
32,0cd4a064a09a5aef1b0a15bf646ad3462b57c51d326009f471d0e1de9e417f56,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
33,1778a54bcacad278319e75544646c916d4a1695a32acdd75d145530384b822a8,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
34,0db71514d7adcb20ac39ded1d0da68e41a75d4c0a51e9981f8dcc9e0345de487,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
35,17e6d839fc6bf897372105d62514a44b171717ebb5eeaad0bc854d342194b553,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
36,0e3b7e8661689213774c1287168ca73ac6945355d8efbfeef736625138e5b201,heldout,sealed,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
37,1857d246757a862a829d8d1446a84402b35a7d4a93bd454bd19071bff262ebdf,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
38,0f10333a93b690a10420bb8b30fb96f6699978f52fb28c1a25563c440a034495,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
39,1a1a5c6d446a2ef6bf07093214156f1023d53314952932e1938a1868210b9c26,development,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
40,0f1af2b34fe774fae42afebeb8f8d079b0e0d7eea52c96f3cb9516a1c875c899,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
41,1aa34231797bc6772c1bdf1cd1e0a277e103f9883952332c0fa4ff5e7497536a,development,extra,CENTRE-GAP,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
42,0fcb847654626ca47b1cea6a7c42470ec4bdb91e299b01c2b0bb442e1e315b72,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
43,1b295a87874298ae201d4cfe5ee4e545bb47e4bcf5cc4b7b049f66b7ee01873a,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
44,0fe4c8ddae336a282ae19bce206c65ec4a54eed69b2eb6303488544000d2c7a7,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
45,1bd46fb1547090b1bbe4da8f34cb9c4f516cac3978d13855d04fbeb27117d43d,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
46,106212c1ea74de3259854c30e0209c33616fb651c69e2d341fa56b7d3992c672,heldout,sealed,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
47,1bda1144f13c51902e27b29c0faae8004ed3bbb1523d6c124423f30dbb44a0c5,development,extra,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
48,10ad02178e7d11a79a1d4911a941be512f13e93fd6711324138085919e3a168d,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
49,1c8b42e646cb97ed346f4802fadf1988adc137bcaf843ea8ea632b8a07aaf725,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
50,10d786b6a025c8eeceff884b41b28a9acc1b459b8d71fdb613f2daf951d1d850,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
51,1cfcbb1e9d8f130372ac02126672f6af28d02f07a568563e4afe45e84f17b52a,development,extra,LABEL-DISAGREEMENT,SETTLED-G384,1,1,1,2,COMPLETE,COMPLETE
52,110f054be70cd154599e5f285465922b9fbf9a086b04f2a3d321912f5c1557c9,heldout,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
53,1e020a4bdc8924fa0053f68a60d1f7954eb5d78e887924970ecc0bc2bc710281,development,sealed,CENTRE-GAP,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
54,11ffdedbd9f04b6098ce0f03bd22b0f31745226dfd46e16388e88c91c6a3f823,heldout,sealed,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
55,1e37dbc9ff10abc234165e3f925fba54d99a35f7824171685aadafd30333660b,development,extra,LABEL-DISAGREEMENT,PENDING,1,0,0,2,FINISHER-ADJUDICATION,FINISHER-ADJUDICATION
