clip,frame_index,source_clip,source_sheet_row,tile_filename,tile_width,tile_height,header_height,header_text,header_origin_x,header_origin_y,header_font,header_font_scale,header_bgr,header_thickness,jpeg_quality,source_tile_pixel_sha256
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,16704,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,87,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f16704.jpg,640,384,24,f16704,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,1c93335cf4788b18039663fa7d9d03b93cc95588ccce6214746f9d4233f5d30d
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,19200,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,100,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f19200.jpg,640,384,24,f19200,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,aeb61b2b9ba966391aaf6c8b7685072222c824bd0ed39f2d42b1899257f3aa6d
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds,20160,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds.mp4,105,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds__f20160.jpg,640,384,24,f20160,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,e9add28a3a8092ccc98456507e43286a0b8a9afd92f5a7fa874dba12087c615f
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,1560,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,13,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__f1560.jpg,640,384,24,f1560,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,a420f0464979c0a6f8d42123f77b7537964342edcb848d5b7afba732cf32f6b6
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,5160,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,43,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__f5160.jpg,640,384,24,f5160,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,4210d4f56afd08fc1be6cef2aa03be1029a7f62ec9c4f8451910073616c530ad
ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p,11760,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p.mp4,98,ncaa_basketball__ncaa_basketball_IB-_u4gW3ds_1080p__f11760.jpg,640,384,24,f11760,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,0d42a3cd5c4a92e56cf2524581eb643c47f9230d2f3af54c19fc62c6728a8dea
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2483,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,13,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f2483.jpg,640,384,24,f2483,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,de488f72608044ce931919546cda63540e78176612fcde5ed7e229cde7c6d343
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,2865,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,15,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f2865.jpg,640,384,24,f2865,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,0d9e7c34ffb3d7ceadfc6e756f75d94733e75e5273baae3858163be2376e35a7
ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss,16235,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss.mp4,85,ncaa_basketball__ncaa_basketball_WFl3V7ZY4ss__f16235.jpg,640,384,24,f16235,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,5c4a567f1ab69ca2f4072305669a6daf6edc618d04ceba6c5ac79be77e2e4d57
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,5760,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,30,ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f5760.jpg,640,384,24,f5760,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,ab68811124cf92a5449af6cd945796e6e99adb21429e2e9a1980d39d22aff3ea
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,9408,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,49,ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f9408.jpg,640,384,24,f9408,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,c35e32272921eb391a508d602e49656b5edf45cf8b1d2b05e8e84e14cb5edc03
ncaa_basketball__ncaa_basketball_sRtHQbywiTE,21504,ncaa_basketball__ncaa_basketball_sRtHQbywiTE.mp4,112,ncaa_basketball__ncaa_basketball_sRtHQbywiTE__f21504.jpg,640,384,24,f21504,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,cd5c50531ecf74f17b3a34a97366f73cfa65bf1e09f2fb4a16dc910adc9dd442
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,192,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,1,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f192.jpg,640,384,24,f192,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,e56c53853e9e054ed8f8f131889211e294a31b1ecce4b7877c89828bdd46f940
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,5952,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,31,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f5952.jpg,640,384,24,f5952,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,d9c2aa8882e6509a13f0ce16ff470f70365cefa4368657f28ba2dba008c22559
ncaa_basketball__ncaa_basketball_tiUvyvWOCxo,25728,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo.mp4,134,ncaa_basketball__ncaa_basketball_tiUvyvWOCxo__f25728.jpg,640,384,24,f25728,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,cdfaf00184140262eec8c7911231dcfbf27701ed5b3faf3e634e6cdd8e2139ef
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,19200,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,100,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f19200.jpg,640,384,24,f19200,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,ad74bda8099c18331d2ca2da0634b58e484ea52ddb08aab56bee2c4ddc913ca1
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,22656,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,118,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f22656.jpg,640,384,24,f22656,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,92d89bf25b84bbafe9dbb4c3878f1aef82f1480cba56b9b5632aff62d6402d0a
ncaa_basketball__ncaa_basketball_zqBCKovJCQU,28032,ncaa_basketball__ncaa_basketball_zqBCKovJCQU.mp4,146,ncaa_basketball__ncaa_basketball_zqBCKovJCQU__f28032.jpg,640,384,24,f28032,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,29f88b63847e64ff6965977c99a7a810db6bcc7ffcd412912a49a9afa19ee5a3
wnba__wnba_01,8448,wnba__wnba_01.mp4,44,wnba__wnba_01__f8448.jpg,640,384,24,f8448,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,21df16d8400d40cadf6547e82d7194fec59500134103aa3e72669e6b41f18c56
wnba__wnba_01,11904,wnba__wnba_01.mp4,62,wnba__wnba_01__f11904.jpg,640,384,24,f11904,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,bfee2f56fed228a1fdcf68ef9cefbde969bc3ab31e624986c281076744a8ee1f
wnba__wnba_01,13632,wnba__wnba_01.mp4,71,wnba__wnba_01__f13632.jpg,640,384,24,f13632,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,435cdb655654516dac9b67fbfa08417bf8c7223c14e231c9da3de5ade0491e20
wnba__wnba_01_1080p,360,wnba__wnba_01_1080p.mp4,3,wnba__wnba_01_1080p__f360.jpg,640,384,24,f360,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,07403332e71f7afb96eab04a63f8dd8caad9d6c48009ac92cc86ce9303266641
wnba__wnba_01_1080p,12720,wnba__wnba_01_1080p.mp4,106,wnba__wnba_01_1080p__f12720.jpg,640,384,24,f12720,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,3de21c102689dc5afc4ef7c0195d56b91b1fe5ce39a6786062642f62cfadffda
wnba__wnba_01_1080p,17280,wnba__wnba_01_1080p.mp4,144,wnba__wnba_01_1080p__f17280.jpg,640,384,24,f17280,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,a0b8ff4a596fc597dc9d00b92066326f1b6c043d04cf2226c5de96fbb06fbea2
wnba__wnba_02,4416,wnba__wnba_02.mp4,23,wnba__wnba_02__f4416.jpg,640,384,24,f4416,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,ff9e6d46a8c931b6dbb6d4b4fd71534522cae9ffcc323c988339ecdbe832fa0f
wnba__wnba_02,18624,wnba__wnba_02.mp4,97,wnba__wnba_02__f18624.jpg,640,384,24,f18624,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,6ecfb0595a213142dc54e1d0673f4a4634daf809f58a0efd54987acad1770f62
wnba__wnba_02,20736,wnba__wnba_02.mp4,108,wnba__wnba_02__f20736.jpg,640,384,24,f20736,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,3fd24f8c6f3b4408676bf20396f9a9a0ffb6530a351eb5fbd33b6246aaccf508
wnba__wnba_04,1920,wnba__wnba_04.mp4,10,wnba__wnba_04__f1920.jpg,640,384,24,f1920,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,8b33bd1cbe99584215e598f5b6705288a1027b68141451c4ecb25ef9395092fb
wnba__wnba_04,3648,wnba__wnba_04.mp4,19,wnba__wnba_04__f3648.jpg,640,384,24,f3648,8,13,FONT_HERSHEY_SIMPLEX,0.3,"0,255,255",1,92,615f12bd9fde051b266e2e208817aaadf100f9f3a987aa46d078393464e6178f
