position,frame_key,label,case,n_predictions,distance_720p,a0_predictions,a8_predictions,render
0,00256fbe30cdbc6d29c9b1bbcb9c4c2c3662d87474a4b7f9d82502c79abee13e,ABSENT,NO_DETECTION,0,,0,0,render_00_00256fbe30cd.jpg
1,08037ac3f45254131d1151faa079a5588d3837fca39b1ef18eba470f3ae48096,VISIBLE,TP,1,7.12,0,1,render_01_08037ac3f452.jpg
2,10b7527d032113b5905db2fdb928363340fd21b44af451a2bcb7c0e72d1f9476,ABSENT,FP,1,,0,1,render_02_10b7527d0321.jpg
3,1d1cb65290784050f05e114de2d924c2417cf05d48ff636dde6c4822121b8a05,VISIBLE,FP/FN,1,,0,1,render_03_1d1cb6529078.jpg
4,24896f416885b7cc499029d081e869ebc69559396cb60cdfa62d03bc7007657c,VISIBLE,FP/FN,1,,0,1,render_04_24896f416885.jpg
5,2ce019929197f1f70f73d69b7ebee54395e3d9230d2112fa7b0479a8f0cd5e8c,VISIBLE,TP,1,1.3333,0,1,render_05_2ce019929197.jpg
6,3460c10d21ee16eaa06c2ae873e279e4fbba155b259be0c12f2494d06576eee1,ABSENT,NO_DETECTION,0,,0,0,render_06_3460c10d21ee.jpg
7,3ed0ff187412603e94dd18978285f9c601193f5ef98f2f19af10c56a4cde363b,ABSENT,NO_DETECTION,0,,0,0,render_07_3ed0ff187412.jpg
8,470cd9afd8c573a081402230c5fe6cc82945b6c54ab5c5de5ae158ff4aca2caa,VISIBLE,FP/FN,1,,0,1,render_08_470cd9afd8c5.jpg
9,4d4cfea838a047c54af112649205a1192f978b5179773030db3740d272430a68,VISIBLE,FP/FN,1,,0,1,render_09_4d4cfea838a0.jpg
10,55e1a59bf974c9b4f1da41425346100aebb5b3da7d9296a5bf6847686aadd7cb,VISIBLE,TP,1,1.1785,0,1,render_10_55e1a59bf974.jpg
11,5ddd9b25dd622cc5bc13075a68cd0d6a667f73cb764244580453f63371336bb7,VISIBLE,FP/FN,1,,0,1,render_11_5ddd9b25dd62.jpg
12,65082cf67f56023ddd2048dfb33d81456b925f95c8cf7fb5a691e4ede13dc50b,VISIBLE,NO_DETECTION/FN,0,,0,0,render_12_65082cf67f56.jpg
13,6e9a9606a37272072d57e2ba023017b5a1b19b113c5c2ecca9d116b759b40a8e,VISIBLE,TP,1,0.6009,0,1,render_13_6e9a9606a372.jpg
14,77f595ac7e96900a97da47e604df99289bf09e03a00255daba70a3138a307f1a,UNKNOWN,NO_DETECTION,0,,0,0,render_14_77f595ac7e96.jpg
15,805123a819feb614ff8ece08a134c61348f83b535649250024b349fdeb877234,VISIBLE,TP,1,1.9003,0,1,render_15_805123a819fe.jpg
16,87e899b0a0313af2eb471f4026a341d4744a1f3fc564c98e84f94cd8ff50b8e7,UNKNOWN,NO_DETECTION,0,,0,0,render_16_87e899b0a031.jpg
17,91237c714d311e4b716de96beedb2ee2da3bb41ea73a5ea15ed68175697e3622,VISIBLE,FP/FN,1,,0,1,render_17_91237c714d31.jpg
18,996c9c8a64da93139b3cd3a170374260408e7ebf9c02a3ead06f267be30f247d,ABSENT,NO_DETECTION,0,,0,0,render_18_996c9c8a64da.jpg
19,a45b83a13ce2a68bc5d60e23aeda2e7b1cfc0df45619f65f4cc9846a44971acf,UNKNOWN,FP,1,,0,1,render_19_a45b83a13ce2.jpg
20,af3d55f58e9ed3153b516ad4fbe21fb39ddafe0048d406f45ab383e613398362,VISIBLE,TP,1,2.7938,0,1,render_20_af3d55f58e9e.jpg
21,b716e12e42a764637e3398a5d33153cd8133d4532da6039e2fa5adf783802d04,VISIBLE,NO_DETECTION/FN,0,,0,0,render_21_b716e12e42a7.jpg
22,bfb8daf6db573ff44b5c3befaef6d864c7a3f20cfd0bfcc3a86d25a989bc1b23,VISIBLE,TP,1,2.1874,0,1,render_22_bfb8daf6db57.jpg
23,c8584a3adc7a13ed1dca39a2b55f3b733471de4a305e600c49d0421adc94c7c7,VISIBLE,FP/FN,1,,0,1,render_23_c8584a3adc7a.jpg
24,d20dae939d7d3441f7fad84c37cbd4bc728af92027181193b07d93cbc5d9e2a5,VISIBLE,NO_DETECTION/FN,0,,0,0,render_24_d20dae939d7d.jpg
25,def4b74088e9c27f98617d6a2ef784f1e5ed6e00196e0e3117a1c21675f4d624,VISIBLE,NO_DETECTION/FN,0,,0,0,render_25_def4b74088e9.jpg
26,e5883851f44861abf1f628edb05ff5e2ebb54094ae7a651ebf0bcfc77821cd0b,ABSENT,NO_DETECTION,0,,0,0,render_26_e5883851f448.jpg
27,ec8f5ca63a7b3c5ac9cd31fde027011333f0544f742d395269792c590fa69715,VISIBLE,TP,1,7.1802,0,1,render_27_ec8f5ca63a7b.jpg
28,f77c3f33f4d79a6d17f1ce3e9606d7c926895abefc2ad05aade2d5b079afece5,ABSENT,NO_DETECTION,0,,0,0,render_28_f77c3f33f4d7.jpg
29,ff4169c59f81bb3188d80864ba7eb8993ca011c8beb08d32de06952776be41f3,VISIBLE,FP/FN,1,,0,1,render_29_ff4169c59f81.jpg
