frame,team,momentum
90,green,0.2
93,green,0.2
96,green,0.2006
99,green,0.2013
102,green,0.2121
105,green,0.2238
105,white,0.1697
108,green,0.2261
108,white,0.1906
111,green,0.2296
111,white,0.1935
114,green,0.2319
114,white,0.1955
117,green,0.234
117,white,0.1962
120,green,0.2365
120,white,0.1952
123,green,0.238
123,white,0.1958
126,green,0.2386
126,white,0.1974
129,green,0.2407
129,white,0.1965
132,green,0.2416
132,white,0.1973
135,green,0.2391
135,white,0.2029
138,green,0.2379
138,white,0.2063
141,green,0.2386
141,white,0.2059
144,green,0.2394
144,white,0.2054
147,green,0.2406
147,white,0.2046
150,green,0.2404
150,white,0.2055
153,green,0.2405
153,white,0.2058
156,green,0.2388
156,white,0.2083
159,green,0.2388
159,white,0.2088
162,green,0.238
162,white,0.2102
165,green,0.2366
165,white,0.2124
168,green,0.236
168,white,0.2137
171,green,0.2361
171,white,0.2142
174,green,0.2387
174,white,0.2116
177,green,0.2397
177,white,0.211
180,green,0.243
180,white,0.2094
183,green,0.2444
183,white,0.2094
186,green,0.2461
186,white,0.2089
189,green,0.2472
189,white,0.2098
192,green,0.2474
192,white,0.2097
195,green,0.2454
195,white,0.2124
198,green,0.2458
198,white,0.2128
201,green,0.2459
201,white,0.2127
204,green,0.2459
204,white,0.2127
207,green,0.246
207,white,0.2127
210,green,0.2453
210,white,0.2136
213,green,0.2461
213,white,0.2129
216,white,0.2127
219,white,0.2131
222,white,0.213
225,white,0.2113
228,white,0.2098
231,white,0.21
234,white,0.2103
237,white,0.2109
240,white,0.2106
243,white,0.2108
246,white,0.2096
249,white,0.2096
252,white,0.209
255,white,0.2095
258,white,0.2106
261,white,0.2122
264,white,0.2163
267,white,0.2181
270,white,0.2218
273,white,0.2231
276,white,0.2249
279,white,0.2255
282,white,0.2279
285,white,0.2278
288,white,0.2288
291,white,0.2305
294,white,0.2322
297,white,0.2338
300,white,0.235
303,white,0.2373
306,white,0.2389
309,white,0.2405
312,white,0.2421
315,white,0.2436
318,white,0.2452
321,white,0.2477
324,white,0.2502
327,white,0.2527
330,white,0.2552
333,white,0.2577
336,white,0.2601
339,white,0.2626
342,white,0.2651
345,white,0.2644
348,white,0.2636
351,white,0.2628
354,white,0.262
357,white,0.262
900,white,0.261
903,green,0.2463
903,white,0.261
906,green,0.2458
906,white,0.261
909,green,0.2475
909,white,0.2594
912,green,0.2507
912,white,0.257
915,green,0.2507
915,white,0.2583
918,green,0.2509
918,white,0.2585
921,green,0.2514
921,white,0.2582
924,green,0.2531
924,white,0.2566
927,green,0.2535
927,white,0.2566
930,green,0.2541
930,white,0.2563
933,green,0.2557
933,white,0.2563
936,green,0.2565
936,white,0.2559
939,green,0.2575
939,white,0.2559
942,green,0.2572
942,white,0.2578
945,green,0.2584
945,white,0.2576
948,green,0.2588
948,white,0.2576
951,green,0.2559
