packet_id,frame_key,game,terra_state,terra_uncertainty,sol_state,sol_uncertainty,accepted,exclusion_reason
G394-000-d291088aa638ccfb,405f6ff09dd4cde149dcc93bf1a9fa543ddc1e955e6ab3abbd23f301b45a62a1,0SQ709_N0Yg,BALL_AT_MARKER,MEDIUM,NO_BALL_VISIBLE,LOW,0,terra_BALL_AT_MARKER
G394-001-3fb1e72a40dd9805,0996009510971daace753d9ad4ac50e072508cb7b32c81430bd4657683de2ccc,1zPhldjbJnU,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-002-b06ea70a3e0ed1a2,6e891db299c229a7369b450f8f6bff2e6d0dd73764f1c482c16ee2ab6595ab81,1zPhldjbJnU,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-003-6b06b54fac750cf8,154e06c69cec129fb39fa418879978049eeec120657c55cfbb52a84a3c8fe2f0,1zPhldjbJnU,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-004-b4d98c5b3adc1fa8,aa7d6fcc7b2b23c9d0778ac009580c247a7b175aa46b635e85f798571a0c5dd4,1zPhldjbJnU,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-005-6cd00e77ec82782b,23cca1abd53a7a1bb7dd13b7e6b754b9c78ba99cb28f1f8824d7a7cd6fc27f8f,3fT6aYz2N9w,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-006-f4e83bf83bf50a83,38c098db1bc3f3c5f71a4eb7c3c8bdc3760bc5f32fc28c216b8fcff5f250c1f8,5PNHcMafoX8,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-007-dc0387c22c618c60,bd522ba09d5864ab560900401fa0813f1470d08a34af3dff09f742798e8c3f57,5PNHcMafoX8,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-008-6d3a9d4708c86d5a,112ed4453b19cbf257ae9d93a4c0965633127ef7311469a98c06f961716493f1,9sq-YMlIo9Q,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-009-9809014dc47c711d,d0df4605c11f7e510cc307789366ac52fd7c800292e4bbadde985fc5dde8aedd,9sq-YMlIo9Q,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-010-e213c83f4772aed6,2643efedef7defc035734cf4ea032d9f4c78e21e93a7506423b386aaaba62890,9sq-YMlIo9Q,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-011-e9b33ecadbaae052,9cdc084bdcf0d22a9cde1351295db5a761e613229be52ffd008bf1f1bcb25649,EqseleqhpTk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-012-270828cd1875f934,b84917cdbf318586d4153d6dee73109728d82b3f872b867bd965d482bf79af2c,EqseleqhpTk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-013-5777f7091678cb1a,d3953152079b8c1095d9894e8d3947a49ee1c51dc1dbf350965345098bee35c7,EqseleqhpTk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-014-fbd21e54420b1867,bd9a83921c8dfef4367c58296f4b001d121c4a1148ad111b2a60371e13ee9dff,EqseleqhpTk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-015-69ca06983979f6b8,4bd2281bab76852367e2ab7c6b4d41e33758104e5839e832d47f0779f097e1ee,EqseleqhpTk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-016-b65ebb1b598f9466,b57d818efdfde800bdbbb5eca6e83debfb63cdcf32234408547cb9d6dfd91bac,GNjSxoeDT-E,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-017-396e285b22addc54,c61c2c62ab376ee4b57ae79e3331b908468103c5161c91b5cfd95ed389fce22e,GNjSxoeDT-E,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-018-4c16cc9738339ecc,67f48fec58a70f3d0fbb3416de6e606e2ffc4de18dd30c4bbbca1e723e0573b8,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-019-6807c7c515e08a9c,0e33060e2a2dc248c1d161dd627929a7ede989b82ce9b387a7b3f50a68f4bf55,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-020-0cc7d4f5851228c0,ed005cbfedb01cdfe905a888cdc21ca3cf7044888e9e763bca3a52a5adb165d0,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-021-65ac90c22275c229,f2d1b5c0bd14d7b8d71339d751c7d1ba8f6b1258a25d88170bde089ca8af64da,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-022-90df43aa233aae6f,4a66870b97d6f459546a8e225f48301e920d8f36a191f29921910408edaf1b54,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-023-8177f8c0a482ae0d,f031544fe2de2ff3ef9b6330d031be2c3c4fc9a3e8947b0b99a7c7ff879fd74b,QXFM3hlaDAk,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-024-00e8cb1d2da46d1a,78f2f0e4d8b4c85836cb54847f864d4e4be282ea7c4e63709ea1e2c3ae3aaa8a,X5w3V6rh26s,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-025-ec1e60391d6ac749,bfe99622258e7f15d81f925af8633467878eec36bde2aa72864f0bd8fa1f6cea,X5w3V6rh26s,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-026-0f11379d56743515,83e72190fee7868032aec58483542217af2d8085669ef7abde677199b44f795f,X5w3V6rh26s,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-027-f9023114fe45c890,50dce783ae7ae345214a010555d5d9d0b30790d484a84d0595c999a45c11eb09,X5w3V6rh26s,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-028-1a6fc28618e1425a,c319a3aa5fdb627dc5ed758fe5ae2ad22c610247deccb9cb5df43e42a8296c29,X5w3V6rh26s,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-029-6239a15e9a355621,1eeefb37ee64be56ca106e5c964e27a6a27b0e51c5ee4e8fad095bbfd712e140,XCaGht2GmPg,BALL_AT_MARKER,LOW,BALL_AT_MARKER,LOW,0,terra_BALL_AT_MARKER|sol_BALL_AT_MARKER
G394-030-0c6b60be205872f8,7ad5d791eb1ccce5f79f61ac6aa954fe2ae983ac741ece22b6f227007a89058b,XCaGht2GmPg,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-031-d979c6ac6f6203a6,bf39621876ffaf212dbdc1956cce4b0796494ccfec693096ad723eacc72b056e,XCaGht2GmPg,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-032-70df191939fee37e,0089acbec576065c10e019dff359c6607d7cf54a09560cfc42de9fa8a53b1cf6,XCaGht2GmPg,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-033-865ace608193c53f,3ff2c2140c264bc6a70a18d23564d6b9a101fc9a87ee698d3c27a57683f6dd73,XCaGht2GmPg,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-034-edb416ab944b4173,8d706f43a663969585a3927fb3aa54ab1b397f5128d0fd147c095ad5fca280c7,XCaGht2GmPg,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-035-31e65565a80d5aec,7d2ca3793b10f5ca3fb222f63eb90d2b5f188e5f3396aa66d8d42ec05bc821f5,bt3NwN7k8bY,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-036-b816b7170fec8b61,becfa0b9bdff7d9fe8835390d9d755dc5f9286a743ef5b58e8daf0a5eb14bbae,bt3NwN7k8bY,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-037-6837ff414b33dce7,bd3d3a2e1cb4fffec028928c8842ee7ed8a6e5bbbdad2de231c3f6e7fbbac1ca,bt3NwN7k8bY,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-038-74c1d42626900a45,6f6d7c2df9aefa1e8084ea92d6055f567678cc19f3be21b4389e91e409088151,h5pTl8fOM2U,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-039-bb40e80575de102f,934374068bfcf61e1be0c05a549bdb7ad22c9f76e7a74e77a28755991effc24f,h5pTl8fOM2U,BALL_ELSEWHERE,MEDIUM,NO_BALL_VISIBLE,LOW,0,terra_BALL_ELSEWHERE
G394-040-8a8c0b6548953cfa,2a9a710a92da095192e9795585a50a80d61c7f3471f09b3269df86592db3d0ba,h5pTl8fOM2U,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-041-8390f5a5e9e615c7,a10eb5b2664e32bef37d42cb57a34ceff34908a77d1b28b935aae12747272529,h5pTl8fOM2U,BALL_AT_MARKER,LOW,BALL_AT_MARKER,LOW,0,terra_BALL_AT_MARKER|sol_BALL_AT_MARKER
G394-042-4bda996e06822aa9,22fde2ad8dae19fe11bd842cdc77fa0f4dbe70df814483f6ccd4bf1d3d0aec7a,hLv8cwl0asQ,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-043-e4fcec365b40c0a0,b642c14dbf473cab6d186983a3cf8fc4a9302ee55d56aee5e142301121b44624,hLv8cwl0asQ,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-044-d3948163fa612e37,a67b4b75a3a0917c9b7a603effe91b7704f56ed26a85e84042eee57700bbfbdd,ql7kzzTRo4M,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-045-60cb43dc223f0851,839db258cd89c74955aa838f19d61d0de1412c5caacde5aa827f688bdb6c70ff,ql7kzzTRo4M,NO_BALL_VISIBLE,MEDIUM,NO_BALL_VISIBLE,LOW,1,
G394-046-a44cc34f8308278b,b3b02cc6ab153415109561e931892baf576f74fcaba037359835106e2dbfd9db,ql7kzzTRo4M,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-047-c8bcefbd85ef55d2,5e861f32c88b4ef18afcc5f4341dd1e351f1e711cb451d539739aa938b22b4dd,ql7kzzTRo4M,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-048-61e6983187daaeaf,966fc277e15622e5212657ad4d9559959244e0ebf1c85bce0f583038db478097,wJSOHbeQcg4,BALL_AT_MARKER,LOW,BALL_ELSEWHERE,LOW,0,terra_BALL_AT_MARKER|sol_BALL_ELSEWHERE
G394-049-a1d2a8f2cb3c7042,f79866f6cbfc5d7d4eb1e95248ca83154af4c2ffe30f1c7ac5e7ef39e23772e6,wJSOHbeQcg4,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-050-44fa61adc1e71071,e892aa96b996be147b3c28800f4a39f5c123d4a280ba876b818e8ea3b534af32,wJSOHbeQcg4,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-051-21492e3ae25939f1,d4e485dcc3506263ab151e8b77511b84a844c47a5c7904c710056285bcf15f7c,wJSOHbeQcg4,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-052-afdfc7de671ae64c,726d4d1ef621e20d2a29a9a488f4bd2f2aa3085830b278babd33d5e243fdecfa,wJSOHbeQcg4,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-053-48ae81e428203f41,303ac8d28eeb70d76f501c2db26c060116a2737673e2e628fe09f29d9abc4764,wptZj4SuFtE,NO_BALL_VISIBLE,LOW,NO_BALL_VISIBLE,LOW,1,
G394-054-a6c7741c2c54f8ad,b253295ef0df9c6f138d13eaa062354c00cd1f29d4c4631ffb72db04dfd5855b,wptZj4SuFtE,BALL_AT_MARKER,LOW,NO_BALL_VISIBLE,LOW,0,terra_BALL_AT_MARKER
