event_id,event_date,y,p_base,p_recalibrated_s05,standin_loss,loss_base,loss_recalibrated,paired_loss_differential,p1_id,p2_id,p1_id
20150104-atp-2015-339-105357-105733-1,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,105357,105733,105357
20150104-atp-2015-339-103813-106045-2,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103813,106045,103813
20150104-atp-2015-339-104468-105902-3,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104468,105902,104468
20150104-atp-2015-339-104871-104979-4,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,104871,104979,104871
20150104-atp-2015-339-103781-105373-5,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103781,105373,103781
20150104-atp-2015-339-104122-105238-6,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104122,105238,104122
20150104-atp-2015-339-103997-104731-7,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103997,104731,103997
20150104-atp-2015-339-103720-105032-8,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103720,105032,103720
20150104-atp-2015-339-105062-105657-9,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,105062,105657,105062
20150104-atp-2015-339-103898-106423-10,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103898,106423,103898
20150104-atp-2015-339-105023-106071-11,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,105023,106071,105023
20150104-atp-2015-339-104594-105449-12,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,104594,105449,104594
20150104-atp-2015-339-103819-105357-13,2015-01-04,1.0,0.4066123223156663,0.4066123223156663,0.3521089360276066,0.3521089360276066,0.3521089360276066,0.0,103819,105357,103819
20150104-atp-2015-339-103813-105902-14,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103813,105902,103813
20150104-atp-2015-339-104871-105777-15,2015-01-04,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,104871,105777,104871
20150104-atp-2015-339-105238-105373-16,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,105238,105373,105238
20150104-atp-2015-339-103997-105032-17,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,103997,105032,103997
20150104-atp-2015-339-105062-105683-18,2015-01-04,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,105062,105683,105062
20150104-atp-2015-339-106071-106423-19,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,106071,106423,106071
20150104-atp-2015-339-105449-105453-20,2015-01-04,0.0,0.5933876776843338,0.5933876776843338,0.3521089360276068,0.3521089360276068,0.3521089360276068,0.0,105449,105453,105449
20150104-atp-2015-339-103819-105902-21,2015-01-04,1.0,0.4302566756940916,0.4302566756940916,0.32460745559114756,0.32460745559114756,0.32460745559114756,0.0,103819,105902,103819
20150104-atp-2015-339-105373-105777-22,2015-01-04,0.0,0.5697433243059083,0.5697433243059083,0.32460745559114745,0.32460745559114745,0.32460745559114745,0.0,105373,105777,105373
20150104-atp-2015-339-105032-105683-23,2015-01-04,0.0,0.5697433243059083,0.5697433243059083,0.32460745559114745,0.32460745559114745,0.32460745559114745,0.0,105032,105683,105032
20150104-atp-2015-339-105453-106071-24,2015-01-04,1.0,0.4302566756940916,0.4302566756940916,0.32460745559114756,0.32460745559114756,0.32460745559114756,0.0,105453,106071,105453
20150104-atp-2015-339-103819-105777-25,2015-01-04,1.0,0.5,0.5,0.25,0.25,0.25,0.0,103819,105777,103819
20150104-atp-2015-339-105453-105683-26,2015-01-04,0.0,0.5,0.5,0.25,0.25,0.25,0.0,105453,105683,105453
