presentation_index,crop_id
1,blind_004.jpg
2,blind_043.jpg
3,blind_030.jpg
4,blind_017.jpg
5,blind_059.jpg
6,blind_036.jpg
7,blind_047.jpg
8,blind_027.jpg
9,blind_029.jpg
10,blind_020.jpg
11,blind_025.jpg
12,blind_054.jpg
13,blind_038.jpg
14,blind_023.jpg
15,blind_015.jpg
16,blind_061.jpg
17,blind_018.jpg
18,blind_071.jpg
19,blind_052.jpg
20,blind_021.jpg
21,blind_014.jpg
22,blind_049.jpg
23,blind_019.jpg
24,blind_009.jpg
25,blind_046.jpg
26,blind_031.jpg
27,blind_045.jpg
28,blind_070.jpg
29,blind_006.jpg
30,blind_065.jpg
31,blind_058.jpg
32,blind_064.jpg
33,blind_008.jpg
34,blind_032.jpg
35,blind_016.jpg
36,blind_007.jpg
37,blind_033.jpg
38,blind_044.jpg
39,blind_028.jpg
40,blind_022.jpg
41,blind_063.jpg
42,blind_001.jpg
43,blind_055.jpg
44,blind_060.jpg
45,blind_056.jpg
46,blind_024.jpg
47,blind_005.jpg
48,blind_013.jpg
49,blind_067.jpg
50,blind_050.jpg
51,blind_037.jpg
52,blind_003.jpg
53,blind_072.jpg
54,blind_042.jpg
55,blind_035.jpg
56,blind_010.jpg
57,blind_068.jpg
58,blind_026.jpg
59,blind_051.jpg
60,blind_040.jpg
61,blind_066.jpg
62,blind_034.jpg
63,blind_039.jpg
64,blind_012.jpg
65,blind_002.jpg
66,blind_069.jpg
67,blind_048.jpg
68,blind_062.jpg
69,blind_053.jpg
70,blind_057.jpg
71,blind_041.jpg
72,blind_011.jpg
