presentation_index,crop_id,category,free_text
1,blind_004.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the dark score-bar area around the Atlanta score.
2,blind_043.jpg,BARE COURT OR FLOOR,Cross is on open hardwood in front of the sideline personnel.
3,blind_030.jpg,PERSON not a player in play,Cross is on the head/hair of a seated courtside spectator or staff person.
4,blind_017.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the large lower-third score graphic.
5,blind_059.jpg,PLAYER'S BODY not feet,Cross is on the visible player's lower face.
6,blind_036.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the upper edge of the lower-third score graphic.
7,blind_047.jpg,PLAYER'S BODY not feet,Cross is on the torso/hip area of the foreground player in white.
8,blind_027.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the game-clock portion of the lower-third graphic.
9,blind_029.jpg,BARE COURT OR FLOOR,Cross is on open gray court between moving players.
10,blind_020.jpg,BARE COURT OR FLOOR,Cross is on gray court just beside the white lane boundary.
11,blind_025.jpg,PERSON not a player in play,Cross is on the head of a seated courtside person.
12,blind_054.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the white Indiana score panel.
13,blind_038.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the Atlanta score area of the lower-third.
14,blind_023.jpg,BARE COURT OR FLOOR,Cross is on open gray court below and away from the nearby player.
15,blind_015.jpg,BARE COURT OR FLOOR,Cross centre is on gray court immediately below the player's blue shoes.
16,blind_061.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the top edge of the white Indiana score panel.
17,blind_018.jpg,PERSON not a player in play,Cross is on the head/upper body of a seated courtside person in a light-blue shirt.
18,blind_071.jpg,SOMETHING ELSE,Cross is on dark courtside equipment or a seat back above the visible head.
19,blind_052.jpg,PLAYER'S FEET,Cross is on the lime-green shoe/foot of the player in white.
20,blind_021.jpg,BARE COURT OR FLOOR,Cross is on the painted court/line immediately below the players' feet.
21,blind_014.jpg,BARE COURT OR FLOOR,Cross is on gray court just left and below the player's purple shoes.
22,blind_049.jpg,BARE COURT OR FLOOR,Cross centre is on gray court immediately below the two players' shoes.
23,blind_019.jpg,BARE COURT OR FLOOR,Cross is on gray court below the nearby players' feet.
24,blind_009.jpg,BARE COURT OR FLOOR,Cross is on the black painted court beside the moving shoe.
25,blind_046.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the top border of the black ESPN promotional graphic.
26,blind_031.jpg,BARE COURT OR FLOOR,Cross is on open gray court below the running player's foot.
27,blind_045.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the right edge of the black ESPN promotional graphic.
28,blind_070.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the Atlanta label in the score graphic.
29,blind_006.jpg,BARE COURT OR FLOOR,Cross is on open hardwood in front of the sideline.
30,blind_065.jpg,PLAYER'S FEET,Cross is on the front/lower edge of the running player's dark shoe.
31,blind_058.jpg,PLAYER'S FEET,Cross overlaps the light-blue shoe of the player moving behind number 5.
32,blind_064.jpg,PLAYER'S FEET,Cross is on the turquoise shoes of the player in black.
33,blind_008.jpg,BARE COURT OR FLOOR,Cross is on open gray court between the players.
34,blind_032.jpg,BARE COURT OR FLOOR,Cross is on the painted arc immediately below the yellow shoe.
35,blind_016.jpg,BARE COURT OR FLOOR,Cross is on gray court below the cluster of players' shoes.
36,blind_007.jpg,BARE COURT OR FLOOR,Cross is on open gray court behind the running player's foot.
37,blind_033.jpg,BARE COURT OR FLOOR,Cross is on gray court just above the seated spectators and below the players.
38,blind_044.jpg,PERSON not a player in play,Cross is on the hair/head of a seated courtside person.
39,blind_028.jpg,BARE COURT OR FLOOR,Cross is on reflective gray court below the distant player's feet.
40,blind_022.jpg,BARE COURT OR FLOOR,Cross is on gray court immediately below the moving player's white shoe.
41,blind_063.jpg,BARE COURT OR FLOOR,Cross is on the white court logo just below the official's black shoe.
42,blind_001.jpg,PERSON not a player in play,Cross is on a sideline person's white/turquoise sneaker.
43,blind_055.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the Atlanta panel of the score graphic.
44,blind_060.jpg,BARE COURT OR FLOOR,Cross is on the black painted court over the WNBA logo.
45,blind_056.jpg,BARE COURT OR FLOOR,Cross is on gray court immediately below the player's blue shoes.
46,blind_024.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the top edge of the score graphic at the Indiana score.
47,blind_005.jpg,BARE COURT OR FLOOR,Cross is on open gray court below the running player's feet.
48,blind_013.jpg,PERSON not a player in play,Cross is on the black shirt/torso of an official or other non-player.
49,blind_067.jpg,PERSON not a player in play,Cross is on the head of a seated courtside person.
50,blind_050.jpg,BARE COURT OR FLOOR,Cross is on the black painted court over the WNBA logo.
51,blind_037.jpg,BROADCAST GRAPHIC OR SCORE TICKER,Cross is on the black WNBA programming ticker.
52,blind_003.jpg,PLAYER'S FEET,Cross is on the player's black shoe at court level.
