frame_key,why,gap_native_px
0d2ba648eac22051a8ab8cfc6d58f4acd4743d600cd7d81cf27886be5e7a1e4a,CENTRE-GAP,30.11
1040d086c38221cb0682df1ccbf787ab00ddf8c41f26e45a9b214a7212566482,CENTRE-GAP,33.86
105128881d24d61dd16bfad9759f7d33ac00960c65d7b033c037f21526744d9b,CENTRE-GAP,22.21
11490e40048bdff582ba91dfef0f49a5d65e64e3240f2837ec3b4d697d91d1b8,CENTRE-GAP,30.5
139142e42c9d159d8a8fb24d669124ced9c67f1c9f21db24493cdaf84b8c35c3,CENTRE-GAP,35.01
13ff1900748f2486706891d974958874b20273b5a4672b254c4fcf85d8decc39,CENTRE-GAP,39.43
147fa3791fb1d77fcc9592d6c70f2a3773fbd9df4dc68b795387bf4852dfe67a,LABEL-DISAGREEMENT,
155bc49efcbe441d87bdfae6564605959ed84229bf34d2c2fc6731ff14bd9b52,CENTRE-GAP,21.52
159ec8146872d132315e5f3f5bccd1ba5472b1ae121958363530870db08f140f,LABEL-DISAGREEMENT,
1778a54bcacad278319e75544646c916d4a1695a32acdd75d145530384b822a8,CENTRE-GAP,40.45
17e6d839fc6bf897372105d62514a44b171717ebb5eeaad0bc854d342194b553,CENTRE-GAP,206.52
1aa34231797bc6772c1bdf1cd1e0a277e103f9883952332c0fa4ff5e7497536a,CENTRE-GAP,32.22
1b295a87874298ae201d4cfe5ee4e545bb47e4bcf5cc4b7b049f66b7ee01873a,LABEL-DISAGREEMENT,
1bd46fb1547090b1bbe4da8f34cb9c4f516cac3978d13855d04fbeb27117d43d,CENTRE-GAP,50.62
1bda1144f13c51902e27b29c0faae8004ed3bbb1523d6c124423f30dbb44a0c5,CENTRE-GAP,72.71
1c8b42e646cb97ed346f4802fadf1988adc137bcaf843ea8ea632b8a07aaf725,LABEL-DISAGREEMENT,
1cfcbb1e9d8f130372ac02126672f6af28d02f07a568563e4afe45e84f17b52a,LABEL-DISAGREEMENT,
1e37dbc9ff10abc234165e3f925fba54d99a35f7824171685aadafd30333660b,LABEL-DISAGREEMENT,
1e63d1a8e8ddc1a2af1e39236a50aebb69dd25aa2209cbd68db06324a550ad45,LABEL-DISAGREEMENT,
1fafec2c985200986e1739e650e91ad59aa773f9fd0ea50d95327df09a4ddc39,CENTRE-GAP,41.05
20c7cbb969b611d2cc3c321ea90034970a6a170e3b191feddb03f41dc572bb45,CENTRE-GAP,49.5
20ea26903294e40b4c13c060e70bc0d662f403b4cc854b61116d71acc8f86ef7,LABEL-DISAGREEMENT,
211fa10e2341460440db8ae4572be85ef1ad51365304cb18458cf4ddb8572c25,CENTRE-GAP,382.96
2196e69d0c916df286e836ee1448f6a5c22d8a855786e3497cc489d13aa1b850,CENTRE-GAP,37.85
