frame_key,split,source,sheet,sheet_sha256,sheet_bytes,quality,width,height,over_cap
00088f2f70b5452bebcca594720d11f344ec849cd88e8972dac6257c104f9300,development,extra,00088f2f70b5.jpg,37a234b48897535fce363d72fa15a25fe1c1039b505859b718577310a9080ec2,192306,60,1920,1080,0
003818538c6d8a3ba39f7fcdd2e6eb3fa573e8bbbf80b8595a418344e3517374,development,extra,003818538c6d.jpg,a53bbf3448f1532f0329e294721dca6cdd9d7f5d39e74e0b5ff94049791961cc,189704,60,1920,1080,0
00670bf31703357800a00f3766e011bdb63eb300b5c53c2dee37f7ae7d54ef1c,development,extra,00670bf31703.jpg,335be1ba46340c5b6f7aa5d9c9bd177d5423ab64c7be43fec6931e73bc64b9e2,188068,65,1920,1080,0
008404a9932fe4be71fd414f2e8300b1ceb25933d574df5871d543f77ed9fbd7,development,extra,008404a9932f.jpg,b71568053fb389c74c148ae6d7ce4aa85950ce5fe47bdc2ae76cc74cf596a5e7,192599,40,1920,1080,0
01301367dd61f57f061177bc1000eb31942134069bad5d2cd59b7e75c7b4e077,development,extra,01301367dd61.jpg,9454729a836acb42deec33a461f0a3d5b02fe2fcbc6647e1606d02caa1cd848f,192313,65,1920,1080,0
01604bfb8b2630e2f518ec1f283527939e8863fb023c814df80301aeaa948baa,development,extra,01604bfb8b26.jpg,6210f154d10e4c968240fbcc422c3c04bbb61309f7d0a0d570cc33f4df7bc382,198265,60,1920,1080,0
01d29616002771ad3f5d29743c29f3df60b4b17bfbbf5a99d1b10c74cf7cc2df,development,extra,01d296160027.jpg,87796b5dc570c5ceb7447285886f53bca615798c9ed0c439232d62222aa274d7,190918,85,1920,1080,0
0225e903ba5721cfcac4503d77dd80f9427c51cc85af60863d645082c096aa20,development,extra,0225e903ba57.jpg,56cc36b8b01157510f479e93fcb552fa569cf0e8820bd47f7db7cc7c37a07d0e,176023,85,1920,1080,0
025a7448186c76c1c09865db76e371474dc1b8ec2b3c26a9a934f60e8410de95,development,extra,025a7448186c.jpg,b622f190c0784e9eceaf1e788ad63effe3c5c8372fc44b46d0d9518e7be28707,169307,85,1920,1080,0
02638c6dd88a72199c0395c8f20f419eb51517506b46cbed304de2012aaa8d9d,development,extra,02638c6dd88a.jpg,7b7ff94eb4c0c4fedb5a35ef796070f7765ac394fb930bf1788847dd650a3dfb,184721,80,1920,1080,0
0292b9f00e5358e4f47c06116eababc1f6d4e0b3b4545121f19af57cc3513639,development,extra,0292b9f00e53.jpg,8dbffbecf57487335aa49ef43415242486c1268cb28650b73e2194457b6339dc,191189,80,1920,1080,0
