frame_key,rater,label,cx,cy,box_w,box_h,reason
00256fbe30cdbc6d29c9b1bbcb9c4c2c3662d87474a4b7f9d82502c79abee13e,sol,ABSENT,,,,,interview closeup with no ball
002c2ca7a3c0bcba004ff1761736e8d4f4a5f29f8fb196d38f4226007610785b,sol,ABSENT,,,,,player closeup with no ball
004dfb194535143b158e2d9be51ecd2b418db9e245983615f657b3c29116dbe5,sol,VISIBLE,589.0,114.0,20.0,19.0,airborne ball near basket
0089acbec576065c10e019dff359c6607d7cf54a09560cfc42de9fa8a53b1cf6,sol,ABSENT,,,,,sideline closeup with no ball
0161bc9aad42061efbe69ad57cd6cdf3a0cf1b83109cc99762bae9d9a9f74031,sol,ABSENT,,,,,player closeup with no ball
01624a78bbc487d9602526cfe4540a4fe96c753bc7e126774fc5c604335e2917,sol,ABSENT,,,,,wide court with no ball visible
01ce08140eff3b64b4971ca44c434016601f1fa298dc7d5b2836ac2e50bed778,sol,VISIBLE,322.0,116.0,24.0,26.0,ball above rim through glass
025a8aaacfd84806f60343d16889f1b70fbbb3352db38619a859583c607ce7f0,sol,ABSENT,,,,,player closeup with no ball
02a8ebb076270a5e8156d01dd9351034a2358f6c799902ea671c86bf3bf6d635,sol,VISIBLE,379.0,323.0,17.0,17.0,ball near dribblers feet
0382ec91fd1d2da780e67b48b0add10c7a76837b570dac8b22e60c7098e4bfb7,sol,ABSENT,,,,,player closeup with no ball
04256d900e0462c0fb412259b2c1fd7917c094982fe15a25621afbdd2943a3e9,sol,VISIBLE,247.0,24.0,33.0,32.0,ball held near top edge
043421998afdec270096c172f35f200dde5d1f723fe1132a02a567d1efedec98,sol,VISIBLE,733.0,265.0,27.0,24.0,referee holding ball
04c33a2ba3c86c408e325c463d68da8e8d46b843b3136257e3370800df9fadda,sol,VISIBLE,490.0,218.0,23.0,22.0,ball cradled above head
054db0ba29fc8e4ded1791cd9cf25f22812f33c60f74080c78cf35f4f69e10f8,sol,UNKNOWN,,,,,possible ball obscured at hip
0560ba4573e3fbd7c7945660a3476cd07a986a689e8200743c4de19c481c5281,sol,VISIBLE,388.0,214.0,18.0,17.0,ball held at runners waist
059f61cfb0f7f317bb995f10741559cf3b6b5150b0d7cceaa5a5909cf7c2d975,sol,ABSENT,,,,,player closeup with no ball
05cbce45bbb85d4cd2a1fc61d2246d67799f687299f6a52c0cb837aec010cf4e,sol,ABSENT,,,,,ceremony wide shot with no ball
060e54341df9b6ddc705b8cb5d961bcec09c739c266d965a8e793b02c8c3f32a,sol,ABSENT,,,,,bench closeup with no ball
060ffbe2c29ddbd2129bcd0c31a4283ed000ebbd10378c1736f21cab9a85e28d,sol,VISIBLE,593.0,175.0,68.0,74.0,ball gripped by player
0678b8bdbcee81549712edcab7773594ab55b8211d3a77232bf66af50547918f,sol,ABSENT,,,,,transition frame with no ball visible
068d095b39c71754f062e92ea196aa17f6764e08ad7b0053237dd14ef4d5a1ea,sol,ABSENT,,,,,no basketball visible
06b15ae77e149b1c1ab1e83f3fa9eac0ccd7eaa78dc6ccc8f628d6ac529cf65d,sol,ABSENT,,,,,no basketball visible
06b61a76a7ed92f4e227015c169b53e2bd2699dd8c7c5fe8fb0f38d92c9527a6,sol,ABSENT,,,,,no basketball visible
06b7146c14f12cbd722f89b4164cc1c10ab99530456e6615fa38a5107f7643a3,sol,ABSENT,,,,,no basketball visible
0714d445d447cd121675c903f4e6b79a77bf4fa7d4a9f0abb53fe142698754b8,sol,ABSENT,,,,,no basketball visible
0716d136adb43568d2a75382627391a0cbf7145f5e409edc998c9f8732245ffb,sol,ABSENT,,,,,no basketball visible
07663802c0296b89e792475d24663fd02261514fbe6ea86cb7df11563a9de53f,sol,ABSENT,,,,,empty shooting hands
077503ec977dee0bade6e66673ed011259f3257ca46d469441c7f03b37c42c6f,sol,ABSENT,,,,,no basketball visible
078b67d10e8d352cb836eb095e4d3b7e8962cafb312eebb9fa57b34a0d97cdb6,sol,ABSENT,,,,,no basketball visible
08037ac3f45254131d1151faa079a5588d3837fca39b1ef18eba470f3ae48096,sol,VISIBLE,113.0,251.0,29.0,26.0,ball held at left wing
080b4ae24d37915b8a352eccbef7306919a4520c6c07ff4cef75fc397e5e62b7,sol,VISIBLE,466.0,75.0,28.0,25.0,ball airborne above players
088c361670696e6a29f5f5ea6f0009a47928be5e093fd13f6d48e27c83176f71,sol,ABSENT,,,,,no basketball visible
0996009510971daace753d9ad4ac50e072508cb7b32c81430bd4657683de2ccc,sol,ABSENT,,,,,no basketball visible
09a4d0d36e4889f9edcb88f707e82e15af5d84f8e1af5769f4346d2b5fc4fd8e,sol,ABSENT,,,,,no basketball visible
0a6565dfbcddaef56b56582099b31117fea20682cefe1c2c949467e518004210,sol,ABSENT,,,,,empty rim and net
0a8431fe20e09972aa2278fb7c06501abaee90d8ce1b8e76211ba80117be76ff,sol,ABSENT,,,,,crowd shot without ball
0af26b42387635bd56de521cc5ddcbaea224a3acd03eda91359305c1f7877595,sol,VISIBLE,96.0,316.0,62.0,60.0,ball beside the rim
