memo,line,artifact,token,length,landing_commit,class,reason,candidates
docs/evidence/tracking/G296_VERIFY_2026-09-07.md,20,NONE,dcfa4d4be8f735dd1832bbe499991d88e3c34ef25654ae7819d96439c321b5d5,64,ef3269572c03e84158f1f4bfd139f9913b984d04,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=6e989de97406183a3c6d350335f00da05ad2a1b95aa2c06dcb554475828c2f69|6e989de97406183a3c6d350335f00da05ad2a1b95aa2c06dcb554475828c2f69
docs/evidence/tracking/G302_VERIFY_ATTEMPT1_2026-09-07.md,6,NONE,0dfe034e,8,e286cd4daffde653862a62bff4cefcfc55edeeea,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=b5391827196aa3762f94187c1126a093a75264c82b3b9b7322f857851a7920ed|b5391827196aa3762f94187c1126a093a75264c82b3b9b7322f857851a7920ed
docs/evidence/tracking/G303_VERIFY_2026-09-07.md,31,NONE,0f4ee0f6d56bfe6b,16,b27d8902845580084beb92d1db00169bd7e4f7f9,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=d51cddb8cf90b501091d91b7244c65eaf7f4c39c574a7ae0f48979b0dd30e07f|d51cddb8cf90b501091d91b7244c65eaf7f4c39c574a7ae0f48979b0dd30e07f
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,2841750689,10,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e|d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,f2421bc24e5cbb28f41fa79f9ea755b2eeff4daebd48dc5496cc97e5617cf9d3,64,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e|d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,1114349874,10,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e|d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e
docs/evidence/tracking/G304_VERIFY_2026-09-07.md,4,NONE,1331fba8c2544e3ef3f44ceb7ff2886d67faa3027cc07c4d6f1919d4d53dc166,64,f6d9dcda7b93716c5c135b5c9dfe850fbf47c8d9,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e|d51748c074dab72f25bb229c1caec5c005e567cfa6a8fa768aa662a273deb54e
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,2841750689,10,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc|969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,f2421bc24e5cbb28f41fa79f9ea755b2eeff4daebd48dc5496cc97e5617cf9d3,64,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc|969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc
docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,5,NONE,1114349874,10,656723694cb235cfcb2e4c83384dd4fcc0e5600d,UNRESOLVED,artifact never committed,tried=NONE;landing=;head=;crlf_landing=;crlf_head=;unnamed=969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc|969e0a829e4a172308f06804f317511a1f94b8dbc52fc05027197e83536285bc
