g_id,memo,resolved,tokens,register_verdict
296,docs/evidence/tracking/G296_VERIFY_2026-09-07.md,0,1,"| G296 | wnba | the two-locator merge: pass A and pass B adjudicated into one ground-truth set at the sealed 50 px radius | `g296_merge_prereg_2026-09-07.md` (sealed 84f156223 = master 39be6c1e9); `g296_merge_2026-09-07.md`; `g296_ground_truth_2026-09-07.csv`; `g296_merge_artifact/`; `G296_VERIFY_2026-09-07.md` | DONE 2026-09-07 ef3269572 -- ACCEPT (verified: codex-sol, contract A/B/Q; memo G296_VERIFY): the 24 formula frames are the same pictures (paired MAD <= 0.891 vs >= 34.79 adjacent-index control); 75/131 and 75/130 agreement at the sealed 50 px radius; 113 adjudicated on-court points over 16 of 24 frames; fix 1b resolved 10 Q6 standalone tokens. |"
302,docs/evidence/tracking/G302_VERIFY_ATTEMPT1_2026-09-07.md,0,1,"| G302 | wnba + amateur basketball | **ALLOCATED 2026-09-07, SPEC WRITTEN, NOT DISPATCHED.** The narrowed survivor of G283b: amateur-vs-resolution ATTRIBUTION only. G280b's 0.347 PLAYER / 0.514 NOT A PERSON on a 720p amateur clip against G273's 0.597 / 0.208 on the 1080p broadcast is confounded with 720p-vs-1080p (verifier note 7f1ddfc04), and G298 (ace539619) has since measured resolution to be the DOMINANT detector defect. Three arms in ONE interleaved blind pool rated by ONE rater (216 crops): broadcast native 1080p, the same broadcast downscaled to 720p, and the amateur 720p clip. | `specs/G302_spec.md` | **DONE 2026-09-07 -- 4e0ba78ca.** Attempt 2 on the RECOVERED ORIGINAL populations: G280 is byte-identical and G273 reproduces all 72 of the prior row's committed checks frame for frame. PLAYER 34/72 broadcast 1080 native, 33/72 the same frames downscaled to 720, 33/72 amateur 720 native; the 0.250 prior gap DOES NOT DECOMPOSE -- resolution +0.014, amateur-at-matched-resolution 0.000, 0.236 UNRESOLVED and attributed to nothing. Leading unmeasured candidate for the remainder is RATER DIFFERENCE (G291 kappa 0.283); n=72 per arm, one MODEL rater, no human. NULL; ACCEPT WITH CORRECTIONS (verified: codex-sol, contract A/B/Q), both corrections applied at landing. Attempt 1 was REJECTED on substitute sources -- see `G302_VERIFY_ATTEMPT1_2026-09-07.md`. |"
303,docs/evidence/tracking/G303_VERIFY_2026-09-07.md,0,1,## G300-G303 allocation register (2026-09-07)
304,docs/evidence/tracking/G304_VERIFY_2026-09-07.md,0,4,"| G301 | all | **REGISTER RECONCILIATION, DONE.** G193-G197 still read `OPEN -- allocated 2026-09-03` although all five landed (G193/G194/G196 also carried a second, correct result row, so the register contradicted itself); and 111 ids in G198-G299 with a landing commit and/or a memo on disk had no row at all. Five status cells rewritten in place, 111 rows added in id order in a new block at the end of the file, `NEXT_GAP_ID` G300 -> G304. Diff 129 insertions / 6 deletions. | `G301_register_reconciliation_2026-09-07.md` | **DONE 5de09ddee.** Orchestrator lane, no worktree, no pod. Every added Status cell is TRANSCRIBED from the landing commit subject and the memo filename; **no memo body was read and nothing was re-verified.** Ids with neither a commit nor a memo were left untouched. |"
304,docs/evidence/tracking/G304_VERIFY_ATTEMPT2_2026-09-07.md,0,4,"| G301 | all | **REGISTER RECONCILIATION, DONE.** G193-G197 still read `OPEN -- allocated 2026-09-03` although all five landed (G193/G194/G196 also carried a second, correct result row, so the register contradicted itself); and 111 ids in G198-G299 with a landing commit and/or a memo on disk had no row at all. Five status cells rewritten in place, 111 rows added in id order in a new block at the end of the file, `NEXT_GAP_ID` G300 -> G304. Diff 129 insertions / 6 deletions. | `G301_register_reconciliation_2026-09-07.md` | **DONE 5de09ddee.** Orchestrator lane, no worktree, no pod. Every added Status cell is TRANSCRIBED from the landing commit subject and the memo filename; **no memo body was read and nothing was re-verified.** Ids with neither a commit nor a memo were left untouched. |"
305,docs/evidence/tracking/G305_VERIFY_2026-09-07.md,0,4,"| G305 | basketball | **ALLOCATED 2026-09-07, SPEC WRITTEN, NOT DISPATCHED.** ADDITIVE REGISTRATION VERDICT + INSTRUMENT FALSIFIER, from the memo's criteria critique. Three deliverables: **(a)** a per-file test that reflects a passing canonical table with **x' = 94 - x** and shows the existing harness still passes it -- bounds, coverage, track lengths and pairwise distances survive while absolute court-end identity is wrong; **the test asserts the CURRENT behaviour, so it is a MEASUREMENT, not a break**, and it also pins that `self_consistency_only=True` survives `passed=True`. **(b)** an ADDITIVE `registration_passed` / `player_tracking_passed` / `ball_tracking_passed` triple emitted ALONGSIDE the existing verdict (never replacing it), computed from the E1 frame-good rule with named held-out geometry, court-end identity, finite rank, uncensored per-frame errors, a declared mode block and a sealed attempted-frame manifest, with harness/schema/liveness/producer hashes stored on every row, and carrying `q`, `r` and the `q*r >= 0.60` necessary condition as REPORTED FIELDS, never as a pass. **(c)** the axis-convention boundary transform (`domains/basketball/tracking/geometry.py:28` x<=50,y<=94 against the harness's x<=94,y<=50) tested on all four NAMED court corners plus an asymmetric interior point. `scripts/platformkit` is not human-gated (additive only, <=300 LOC/file), but **`tracking_harness.py` is a SHARED MODULE and must be BYTE-IDENTICAL after this row** -- the new module wraps it, does not edit it, and does not take the token. | `specs/G305_spec.md` | DONE 2026-09-07 4db5e8b13 -- ACCEPT WITH CORRECTIONS attempt 2 (verified: Opus, contract A/B/Q; memo G305_VERIFY): reflection falsifier x'=94-x: a passing canonical table still passes the current harness (SHA c5a86154..., self_consistency_only True) = the instrument measures self-consistency, not registration; additive registration_passed / player_tracking_passed / ball_tracking_passed record via a new wrapper (harness byte-identical) with harness/schema/liveness/producer hashes; axis boundary round-trip worst 0.0 ft; 8/8 construct byte-identical across runs; E1 p90 checks 11.60/23.30/13.00 -> T/F/F; attempt 1 (68fa15009) PREMISE FALSE was rejected; 4 NEW GAPs per memo |"
309,docs/evidence/tracking/G309_VERIFY_2026-09-07.md,0,1,## G309-G310 allocation register (2026-09-07) -- the reallocated pod's first multi-game output
311,docs/evidence/tracking/G311_VERIFY_ATTEMPT1_2026-09-07.md,0,2,"| G311 | all | **ALLOCATED 2026-09-07, SPEC WRITTEN, BUILT BY THE ORCHESTRATOR (codex lanes cannot reach the pod today).** APACHE-STACK DETECTOR ARM -- a SCREENING row, and the FIRST time the 2026-08-31 licence decision is actually executed against footage. Production detection is Ultralytics `yolov8n`, **AGPL-3.0, whose author asserts weights and fine-tunes inherit that licence** (`scripts/platformkit/detection/MODEL_LICENSES.md`: ""yolov8n.pt is not approved for commercial use""). The seam exists -- `scripts/platformkit/detection/shim.py`, `CV_DETECTOR` -- but **its only non-AGPL backend today is `YoloxOnnxBackend`; there is NO RTMDet backend and no RTMDet artifact has ever been run in this repo.** Two arms on IDENTICAL decoded frames of 3 ffprobe-confirmed native 1920x1080 already-tracked pod games (`wnba_01_1080p`, `ncaa_basketball_IB-_u4gW3ds_1080p`, `wnba_06`; 40 evenly spaced frames each): **ARM Y** = the gated `player_detection.py` route unedited (`yolov8n`, its own `_infer_imgsz`, `classes=[0]`, `conf=0.3`), **ARM R** = the Apache RTMDet arm through the shim. **The arms differ in model AND input size -- a DETECTOR-STACK comparison, NOT a single-variable ablation.** Proxies, each with its decoded-frame denominator: person boxes per frame (zero-box frames stay in the denominator), **both-way IoU >= 0.5 greedy one-to-one agreement** (Y-in-R and R-in-Y, which differ whenever the box counts differ), distinct ids and median track length after the SAME tracker on both arms, inference ms/frame (warm-up excluded) and peak VRAM. **PREMISE (binding, 30-MINUTE CLOCK): the shim imports AND an Apache-2.0 RTMDet artifact is obtainable and runnable on the pod** -- route (i) `mmdet`/`mmengine`/`mmcv` under `--break-system-packages` with a constraints file pinning `opencv-python-headless<5` (cv2 5 silently empties every tracking table, 2026-09-02) against torch 2.8.0+cu128 / Python 3.12, route (ii) an ONNX RTMDet export served by onnxruntime if and only if artifact and serving library are Apache-2.0 or MIT. **Exact resolved versions, checkpoint URL, SHA-256 and licence URL printed; if neither route runs within 30 minutes the row is PREMISE FALSE with the failing versions and error, which is a VALID RESULT and a FULL SUCCESS.** The mmyolo RTMDet copy is GPL-3.0 and FORBIDDEN; TVCalib, Sportlight and KaliCalib are BLOCKED; no new AGPL dependency. **NO ground truth of any kind: no labels, no renders, no eye check. More boxes can mean more players found OR more false boxes and this row cannot tell them apart; low agreement says the two stacks disagree and says nothing about which is right. G303 and G296 are the rows that score recall against labelled frames. NO recall, precision, registration, accuracy or pass claim, and NEITHER ARM MAY BE DECLARED BETTER.** | `specs/G311_spec.md`; `g311_prereg_2026-09-07.md` (sealed `df8cfa89e7`); `g311_apache_detector_arm_2026-09-07.md` | **CLOSED AT LIMIT 2026-09-07 8f7fd1f0f -- the sealed 1,800 s install premise elapsed (mmcv 2.1.0 CUDA ops compiled in 1,898 s; import gate 3,103 s); attempt 1's PREMISE FALSE at 1,736 s was a killed build (corrected in the ledger); 3 games x 40 frames x 2 arms proxies (RTMDet-m 13-19 boxes/frame vs yolov8n 8-9; 2,142-2,513 ms/frame vs 137-160) are OUT-OF-CONTRACT diagnostics; re-registered budget = G324.** |"
312,docs/evidence/tracking/G312_VERIFY_2026-09-07.md,0,1,## G312-G315 allocation register (2026-09-07) -- the four rows the G309 census opened
313,docs/evidence/tracking/G313_VERIFY_2026-09-07.md,0,1,"| G313 | all | **ALLOCATED 2026-09-07, SPEC WRITTEN.** TEN-ID CAP. G309 measured that **every one of the 13 completed games reports EXACTLY 10 distinct `player_id` values** -- across five sports and two source resolutions, over row counts from 1,653 to 6,623 and emitted-frame counts from 482 to 1,000. A uniform id count invariant to sport, resolution, clip length and row count is a CAP or a re-use policy, not a measurement of how many people were on screen; until the cause is named, `distinct_track_ids`, `id_churn_per_detection` and `median_track_len_rows` are all reading a constant. **PREMISE (binding): print the distinct-id count on 3 pod games; any count that is not exactly 10 is PREMISE FALSE and STOP.** Traces the id assignment path read-only from `run_clip.py` through `unified_pipeline.py` into `src/tracking/` -- fixed track budget, OSNet gallery size, top-N detection cut, constant-sized cost matrix or explicit re-use policy -- and **NAMES THE CAUSE AS `file:line`**, proven by a synthetic construct in `scripts/platformkit/` that saturates at 10 given more than ten unambiguous detections. **If the fix is in `src/` the deliverable is a PROPOSED diff under `docs/research/organization-sprint/` and the row STOPS -- a human applies it.** **Naming the cause is NOT fixing it and lifting the ceiling is NOT improving tracking: no recall, precision, identity-accuracy or registration claim is made.** | `specs/G313_spec.md`; `g313_ten_id_cap_2026-09-07.md` | **DONE 2026-09-07 9c87fb34f -- ACCEPT WITH CORRECTIONS (verified: codex-sol, contract A/B/Q; memo G313_VERIFY):** Cause: the fixed 5 green + 5 white + 1 referee slot pool at src/pipeline/unified_pipeline.py:821 (_build_players), bounded per team at advanced_tracker.py:908/:1047, silent terminal drop at :1604-1609. Construct: 3/team -> 6 ids, 5 -> 10, 8 -> 10 (6 matcher-unmatched), 12 -> 10 (14 unmatched). PROPOSED diff docs/research/organization-sprint/PROPOSED-slot-pool-saturation-counter-2026-09-07.md (count the drops, do NOT widen the pool) -- human-gated, NOT applied; no src/ file changed. Tests in master: test_g313_ten_id_cap.py 3 passed on the conda basketball_ai interpreter, LOC rail 3. |"
