packet_id,game,section,frame_index,native_path,crop_path
G391-001-ff3aa42486a4c709,0KIBu1jQBL8,0KIBu1jQBL8_s5665,179,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/a7e94a21efb9.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-001-ff3aa42486a4c709.jpg
G391-002-b502642f589e14fb,1E5Rw89keTg,1E5Rw89keTg_s312,1376,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/0f10333a93b6.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-002-b502642f589e14fb.jpg
G391-003-22de936de7013eae,50pp-OqYVok,50pp-OqYVok_s1500,955,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/c504b83daeba.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-003-22de936de7013eae.jpg
G391-004-8a8aac6ec223539c,50pp-OqYVok,50pp-OqYVok_s1500,3661,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/311dcabd8fc0.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-004-8a8aac6ec223539c.jpg
G391-005-31a9a81e0d91527e,5U9k1U6nN-g,5U9k1U6nN-g_s1207,3639,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/0161bc9aad42.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-005-31a9a81e0d91527e.jpg
G391-006-fbce037656b7476a,7WBKNCu3NLU,7WBKNCu3NLU_s90,3222,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/88a603090bfc.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-006-fbce037656b7476a.jpg
G391-007-28bb6b34613c6de8,8kHt2bFTK6g,8kHt2bFTK6g_s90,2738,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/68157217b961.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-007-28bb6b34613c6de8.jpg
G391-008-083f13856ff2cfde,9F5q5jCbrMI,9F5q5jCbrMI_s3630,5923,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/3f21f1ddaf0b.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-008-083f13856ff2cfde.jpg
G391-009-fae1c6906765c6f4,AIMOY6CoQKI,AIMOY6CoQKI_s4438,3155,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/25de3240f18a.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-009-fae1c6906765c6f4.jpg
G391-010-5a247b3f6929f184,G8bPOW37Sp0,G8bPOW37Sp0_s90,3134,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/700e6aa694bb.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-010-5a247b3f6929f184.jpg
G391-011-de5a42e337ac4782,HUSo3PzP7lo,HUSo3PzP7lo_s402,6428,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/1de680a0b818.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-011-de5a42e337ac4782.jpg
G391-012-6c235afe2bf5c807,N-eE7ZwTuno,N-eE7ZwTuno_s2365,719,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/eba8c3908739.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-012-6c235afe2bf5c807.jpg
G391-013-7f66205901accdd8,RIrGQJ_jsGQ,RIrGQJ_jsGQ_s90,1808,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/79e19c5ef2c3.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-013-7f66205901accdd8.jpg
G391-014-97c6ae293ba4724d,UHJ90jJmCYw,UHJ90jJmCYw_s90,2010,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/9a7fd86aca89.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-014-97c6ae293ba4724d.jpg
G391-015-5d9f3f31a9993a33,UPco-jzOoEg,UPco-jzOoEg_s2796,2009,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/4d5ff17b43bd.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-015-5d9f3f31a9993a33.jpg
G391-016-751b0e73b0db6c11,UzaYBYy3GZg,UzaYBYy3GZg_s5242,1065,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/369640d8f3c1.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-016-751b0e73b0db6c11.jpg
G391-017-5fb2a9d7198b04e4,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,2986,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/350458ba9fee.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-017-5fb2a9d7198b04e4.jpg
G391-018-bdf40c459fe6c87d,WeheQidCPXI,WeheQidCPXI_s1389,3039,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/f7a84e2f89d6.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-018-bdf40c459fe6c87d.jpg
G391-019-a9fb52a5966b1a5d,XzIzQZBrPBY,XzIzQZBrPBY_s398,5099,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/ee311d78fabf.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-019-a9fb52a5966b1a5d.jpg
G391-020-8321c97b32f685ee,Ze8frxZxNyk,Ze8frxZxNyk_s2646,2172,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/c09e17b5ace9.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-020-8321c97b32f685ee.jpg
G391-021-e0ebd92ef6ce8ce8,Ze8frxZxNyk,Ze8frxZxNyk_s3924,2850,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/c1bbbb7f318c.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-021-e0ebd92ef6ce8ce8.jpg
G391-022-7be0c3a180038105,h6j_iLYRx8U,h6j_iLYRx8U_s90,51,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/8168d1d83bea.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-022-7be0c3a180038105.jpg
G391-023-cf23f73f0b714540,hOtf1-DI88w,hOtf1-DI88w_s90,565,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/4680eba1cd06.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-023-cf23f73f0b714540.jpg
G391-024-cb3b5d4034a47d91,mJRz1DoW6VU,mJRz1DoW6VU_s5530,5619,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/87a426f02ac1.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-024-cb3b5d4034a47d91.jpg
G391-025-88fc83de50cb4e9e,myAuD3DmJMY,myAuD3DmJMY_s3957,3689,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/f8df04ea06fa.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-025-88fc83de50cb4e9e.jpg
G391-026-72e615f14260c49c,myAuD3DmJMY,myAuD3DmJMY_s6535,3192,docs/evidence/tracking/g373_ball_detector_v2_2026-09-10/sheets/ee801423da41.jpg,docs/evidence/tracking/g391_ball_false_call_audit_2026-09-11/cards/G391-026-72e615f14260c49c.jpg
