sample,position,packet_id,duplicate_of_earlier_pick,outcome,reference_label,audit_class,object,ball_state,resolution,game,section,frame_index,render
fp,0,G391-001-ff3aa42486a4c709,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,0KIBu1jQBL8,0KIBu1jQBL8_s5665,179,renders/fp_00_G391-001-ff3aa42486a4c709.jpg
fp,1,G391-008-083f13856ff2cfde,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,9F5q5jCbrMI,9F5q5jCbrMI_s3630,5923,renders/fp_01_G391-008-083f13856ff2cfde.jpg
fp,2,G391-017-5fb2a9d7198b04e4,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,2986,renders/fp_02_G391-017-5fb2a9d7198b04e4.jpg
fp,3,G391-025-88fc83de50cb4e9e,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,myAuD3DmJMY,myAuD3DmJMY_s3957,3689,renders/fp_03_G391-025-88fc83de50cb4e9e.jpg
fp,4,G391-032-6e10c14f63b49908,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,1E5Rw89keTg,1E5Rw89keTg_s312,1627,renders/fp_04_G391-032-6e10c14f63b49908.jpg
fp,5,G391-038-7f653b4ee7f38d87,0,FALSE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,9F5q5jCbrMI,9F5q5jCbrMI_s3630,6421,renders/fp_05_G391-038-7f653b4ee7f38d87.jpg
fp,6,G391-048-9402389115e3afde,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_UNCERTAIN,ADJUDICATED,XzIzQZBrPBY,XzIzQZBrPBY_s398,219,renders/fp_06_G391-048-9402389115e3afde.jpg
fp,7,G391-057-2d160eb7df241dce,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,SIGNAGE_OR_GRAPHIC,BALL_ELSEWHERE,AGREED,uZkAbRqeGrc,uZkAbRqeGrc_s1607,80,renders/fp_07_G391-057-2d160eb7df241dce.jpg
fp,8,G391-065-fc8c2f51b3e09060,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,7WBKNCu3NLU,7WBKNCu3NLU_s90,150,renders/fp_08_G391-065-fc8c2f51b3e09060.jpg
fp,9,G391-074-bfce8b8a680c2972,0,FALSE_CALL,UNKNOWN,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,UHJ90jJmCYw,UHJ90jJmCYw_s90,2763,renders/fp_09_G391-074-bfce8b8a680c2972.jpg
fp,10,G391-079-7fed64ff5b7d1b7b,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,XzIzQZBrPBY,XzIzQZBrPBY_s398,6075,renders/fp_10_G391-079-7fed64ff5b7d1b7b.jpg
fp,11,G391-091-8e29e54bcc341d9d,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,0KIBu1jQBL8,0KIBu1jQBL8_s5665,1643,renders/fp_11_G391-091-8e29e54bcc341d9d.jpg
fp,12,G391-101-c6d8c8cd63f738f7,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,LPDnemFoqVk,LPDnemFoqVk_s3306,994,renders/fp_12_G391-101-c6d8c8cd63f738f7.jpg
fp,13,G391-109-c35f397ea93eeccd,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,NO_BALL_VISIBLE,AGREED,XzIzQZBrPBY,XzIzQZBrPBY_s398,6563,renders/fp_13_G391-109-c35f397ea93eeccd.jpg
fp,14,G391-119-c6f9f1f31362fe55,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,AGREED,wHs1OssEcAw,wHs1OssEcAw_s1183,1252,renders/fp_14_G391-119-c6f9f1f31362fe55.jpg
fp,15,G391-126-de53d496a6822841,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,8kHt2bFTK6g,8kHt2bFTK6g_s90,278,renders/fp_15_G391-126-de53d496a6822841.jpg
fp,16,G391-137-fe1d3dbf55c70e60,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,WeheQidCPXI,WeheQidCPXI_s1389,807,renders/fp_16_G391-137-fe1d3dbf55c70e60.jpg
fp,17,G391-143-edc3c2cbb27a1e10,0,FALSE_CALL,UNKNOWN,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,hOtf1-DI88w,hOtf1-DI88w_s90,3571,renders/fp_17_G391-143-edc3c2cbb27a1e10.jpg
fp,18,G391-148-c942d3c106784e2f,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,ADJUDICATED,uZkAbRqeGrc,uZkAbRqeGrc_s3124,371,renders/fp_18_G391-148-c942d3c106784e2f.jpg
fp,19,G391-155-b1a6155291d5a026,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,NO_BALL_VISIBLE,ADJUDICATED,7WBKNCu3NLU,7WBKNCu3NLU_s90,1430,renders/fp_19_G391-155-b1a6155291d5a026.jpg
fp,20,G391-168-a7ac087e9911147f,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,XzIzQZBrPBY,XzIzQZBrPBY_s398,3147,renders/fp_20_G391-168-a7ac087e9911147f.jpg
fp,21,G391-175-68d23803535d7f29,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_CROWD,CROWD,NO_BALL_VISIBLE,ADJUDICATED,myAuD3DmJMY,myAuD3DmJMY_s6535,1442,renders/fp_21_G391-175-68d23803535d7f29.jpg
fp,22,G391-185-33b8bbc510868246,0,FALSE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,7WBKNCu3NLU,7WBKNCu3NLU_s90,1942,renders/fp_22_G391-185-33b8bbc510868246.jpg
fp,23,G391-194-95bd0e338fceacb1,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,UPco-jzOoEg,UPco-jzOoEg_s2796,1013,renders/fp_23_G391-194-95bd0e338fceacb1.jpg
fp,24,G391-204-2beabcc33a7176bf,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,ADJUDICATED,myAuD3DmJMY,myAuD3DmJMY_s3957,2439,renders/fp_24_G391-204-2beabcc33a7176bf.jpg
fp,25,G391-211-287cc19f836ba1e4,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,1E5Rw89keTg,1E5Rw89keTg_s312,1125,renders/fp_25_G391-211-287cc19f836ba1e4.jpg
fp,26,G391-217-aa3674c2d0965e44,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,9F5q5jCbrMI,9F5q5jCbrMI_s3630,3931,renders/fp_26_G391-217-aa3674c2d0965e44.jpg
fp,27,G391-228-dea5991fc6620f0e,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_UNCERTAIN,ADJUDICATED,XzIzQZBrPBY,XzIzQZBrPBY_s398,4123,renders/fp_27_G391-228-dea5991fc6620f0e.jpg
fp,28,G391-240-7dde087ce5de25ca,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_CROWD,CROWD,BALL_ELSEWHERE,ADJUDICATED,wd08fix8q3Q,wd08fix8q3Q_s5830,3433,renders/fp_28_G391-240-7dde087ce5de25ca.jpg
fp,29,G391-250-1bc948825de0a595,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,NO_BALL_VISIBLE,AGREED,Vm0FqeGo-8g,Vm0FqeGo-8g_s4998,2488,renders/fp_29_G391-250-1bc948825de0a595.jpg
all,0,G391-001-ff3aa42486a4c709,0,FALSE_CALL,ABSENT,BACKGROUND_CONFUSION_SIGNAGE_OR_GRAPHIC,SIGNAGE_OR_GRAPHIC,NO_BALL_VISIBLE,AGREED,0KIBu1jQBL8,0KIBu1jQBL8_s5665,179,renders/all_00_G391-001-ff3aa42486a4c709.jpg
all,1,G391-010-5a247b3f6929f184,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,G8bPOW37Sp0,G8bPOW37Sp0_s90,3134,renders/all_01_G391-010-5a247b3f6929f184.jpg
all,2,G391-018-bdf40c459fe6c87d,0,TRUE_CALL,VISIBLE,NEAR_MISS_LOCALISATION,BALL,BALL_AT_MARKER,AGREED,WeheQidCPXI,WeheQidCPXI_s1389,3039,renders/all_02_G391-018-bdf40c459fe6c87d.jpg
all,3,G391-027-a396b20d33d6c21e,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,tDpmV777-IQ,tDpmV777-IQ_s90,2609,renders/all_03_G391-027-a396b20d33d6c21e.jpg
all,4,G391-036-2d70fa69edad1e6a,0,FALSE_CALL,VISIBLE,BACKGROUND_CONFUSION_PERSON_OR_APPAREL,PERSON_OR_APPAREL,BALL_ELSEWHERE,AGREED,7WBKNCu3NLU,7WBKNCu3NLU_s90,3478,renders/all_04_G391-036-2d70fa69edad1e6a.jpg
