frame_key,source_path,frame_index,section_id,game_id,source_sha256,tick_rank
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:188,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,188,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,0
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:376,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,376,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,1
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:564,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,564,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,2
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:752,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,752,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,3
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:940,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,940,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,4
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1128,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,1128,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,5
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1316,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,1316,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,6
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1504,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,1504,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,7
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1692,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,1692,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,8
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1880,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,1880,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,9
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:2068,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,2068,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,10
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:2256,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,2256,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,11
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:2444,/workspace/data/footage_corpus/basketball__fiba-7HQqWMaKxpA_s6980.mp4,2444,basketball__fiba-7HQqWMaKxpA_s6980,basketball__fiba-7HQqWMaKxpA,393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c,12
