frame_key,label,note
18b43039b92d38f12495c66ba4b6c60c6798ccdc8b5236546b07482e76b3a311:nba__cRqEjm_OF1E_s3309:2480,CLOSEUP,overhead backboard camera; only slivers of floor, no measurable markings
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:1692,CLOSEUP,tight free-throw line-up; floor visible but no measurable markings
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:2632,CROWD_GRAPHICS,full-screen promotional graphic with a cut-out player
393a426efc3eb67b5ac344fc3af4b8dd631783db2f038100b2358b3c4ff9e57c:basketball__fiba-7HQqWMaKxpA_s6980:2820,CROWD_GRAPHICS,full-screen promotional graphic with a cut-out player
4bf0387f7cc4641c38fe031fe544ee5f5f2b6822b55e93ad8319c23ed28f04cb:basketball__fiba-fyp4VsE-8Fc_s90:4589,USABLE_COURT,dimmed introduction wide shot but lane and arc are visible and measurable
5bc76ecbd99e6f48104661b9695c4683b133542ef51fb04201b34f1d329b0e11:nba__pPHOlLVyjQc_s1603:2712,CLOSEUP,bench and sideline medium shot; no court markings
5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572:basketball__fiba-tZeqmc_-_sA_s6365:1299,CROWD_GRAPHICS,empty-arena establishing shot; arena is the named class
5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572:basketball__fiba-tZeqmc_-_sA_s6365:1485,CROWD_GRAPHICS,empty-arena establishing shot; arena is the named class
5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572:basketball__fiba-tZeqmc_-_sA_s6365:1671,CROWD_GRAPHICS,empty-arena establishing shot; arena is the named class
5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572:basketball__fiba-tZeqmc_-_sA_s6365:3156,CROWD_GRAPHICS,empty-arena establishing shot; arena is the named class
5e9e47c913e7457df4c1770d276aa233d5e0b26c19fc5fdb064dc29c04acb572:basketball__fiba-tZeqmc_-_sA_s6365:3713,CROWD_GRAPHICS,empty-arena establishing shot; arena is the named class
7b22998cb1926e22f77072267742588c41e8940a5c59089d0c5907ec28b265f0:nba__J6RT3BHHvPU_s5138:3385,CLOSEUP,commentators at the desk under a graphic transition
a2cedf0732ddb2dbcf53995553297021883e7cb5cf7119278323cda48147148a:nba__7DT_8xZwDRU_s3423:1867,CLOSEUP,courtside bench medium shot; no court markings
aa03a46fdbabdd1d1b765e313564e40cb73f982d83d782b5b209f400a87ed343:nba__7DT_8xZwDRU_s5645:2814,CROWD_GRAPHICS,spectators in the stands fill the frame
adf137f42a156729d18d8f461d93950eaae3c7426d5fad0a731ed41404fc382a:nba__KO5gQVMZlrw_s12702:3406,CLOSEUP,tight two-player replay; one arc fragment only, not measurable
e37ab889c655861364dcf65cc4785122ae9c073f2080fd02ab1bd6d8ea3007fb:nba__7DT_8xZwDRU_s4534:3226,CROWD_GRAPHICS,spectators behind the baseline fill the frame
