frame,track_id,cls,x,y,coordinate_space,observation,calibration
0,pitcher,player,-9.00,540.0,metric_local,observed,mound_lateral_px_per_ft
0,batter,player,9.00,560.0,metric_local,observed,mound_lateral_px_per_ft
0,ball,ball,0.00,550.0,metric_local,observed,mound_lateral_px_per_ft
1,pitcher,player,-8.90,540.1,metric_local,observed,mound_lateral_px_per_ft
1,batter,player,9.10,560.1,metric_local,observed,mound_lateral_px_per_ft
1,ball,ball,0.10,550.1,metric_local,observed,mound_lateral_px_per_ft
2,pitcher,player,-8.80,540.2,metric_local,observed,mound_lateral_px_per_ft
2,batter,player,9.20,560.2,metric_local,observed,mound_lateral_px_per_ft
2,ball,ball,0.20,550.2,metric_local,observed,mound_lateral_px_per_ft
3,pitcher,player,-8.70,540.3,metric_local,observed,mound_lateral_px_per_ft
3,batter,player,9.30,560.3,metric_local,observed,mound_lateral_px_per_ft
3,ball,ball,0.30,550.3,metric_local,observed,mound_lateral_px_per_ft
4,pitcher,player,-8.60,540.4,metric_local,observed,mound_lateral_px_per_ft
4,batter,player,9.40,560.4,metric_local,observed,mound_lateral_px_per_ft
4,ball,ball,0.40,550.4,metric_local,observed,mound_lateral_px_per_ft
5,pitcher,player,-8.50,540.5,metric_local,observed,mound_lateral_px_per_ft
5,batter,player,9.50,560.5,metric_local,observed,mound_lateral_px_per_ft
5,ball,ball,0.50,550.5,metric_local,observed,mound_lateral_px_per_ft
6,pitcher,player,-8.40,540.6,metric_local,observed,mound_lateral_px_per_ft
6,batter,player,9.60,560.6,metric_local,observed,mound_lateral_px_per_ft
6,ball,ball,0.60,550.6,metric_local,observed,mound_lateral_px_per_ft
7,pitcher,player,-8.30,540.7,metric_local,observed,mound_lateral_px_per_ft
7,batter,player,9.70,560.7,metric_local,observed,mound_lateral_px_per_ft
7,ball,ball,0.70,550.7,metric_local,observed,mound_lateral_px_per_ft
8,pitcher,player,-8.20,540.8,metric_local,observed,mound_lateral_px_per_ft
8,batter,player,9.80,560.8,metric_local,observed,mound_lateral_px_per_ft
8,ball,ball,0.80,550.8,metric_local,observed,mound_lateral_px_per_ft
9,pitcher,player,-8.10,540.9,metric_local,observed,mound_lateral_px_per_ft
9,batter,player,9.90,560.9,metric_local,observed,mound_lateral_px_per_ft
9,ball,ball,0.90,550.9,metric_local,observed,mound_lateral_px_per_ft
10,pitcher,player,-8.00,541.0,metric_local,observed,mound_lateral_px_per_ft
10,batter,player,10.00,561.0,metric_local,observed,mound_lateral_px_per_ft
10,ball,ball,1.00,551.0,metric_local,observed,mound_lateral_px_per_ft
11,pitcher,player,-7.90,541.1,metric_local,observed,mound_lateral_px_per_ft
11,batter,player,10.10,561.1,metric_local,observed,mound_lateral_px_per_ft
11,ball,ball,1.10,551.1,metric_local,observed,mound_lateral_px_per_ft
12,pitcher,player,-7.80,541.2,metric_local,observed,mound_lateral_px_per_ft
12,batter,player,10.20,561.2,metric_local,observed,mound_lateral_px_per_ft
12,ball,ball,1.20,551.2,metric_local,observed,mound_lateral_px_per_ft
13,pitcher,player,-7.70,541.3,metric_local,observed,mound_lateral_px_per_ft
13,batter,player,10.30,561.3,metric_local,observed,mound_lateral_px_per_ft
13,ball,ball,1.30,551.3,metric_local,observed,mound_lateral_px_per_ft
14,pitcher,player,-7.60,541.4,metric_local,observed,mound_lateral_px_per_ft
14,batter,player,10.40,561.4,metric_local,observed,mound_lateral_px_per_ft
14,ball,ball,1.40,551.4,metric_local,observed,mound_lateral_px_per_ft
15,pitcher,player,-7.50,541.5,metric_local,observed,mound_lateral_px_per_ft
15,batter,player,10.50,561.5,metric_local,observed,mound_lateral_px_per_ft
15,ball,ball,1.50,551.5,metric_local,observed,mound_lateral_px_per_ft
16,pitcher,player,-7.40,541.6,metric_local,observed,mound_lateral_px_per_ft
16,batter,player,10.60,561.6,metric_local,observed,mound_lateral_px_per_ft
16,ball,ball,1.60,551.6,metric_local,observed,mound_lateral_px_per_ft
17,pitcher,player,-7.30,541.7,metric_local,observed,mound_lateral_px_per_ft
17,batter,player,10.70,561.7,metric_local,observed,mound_lateral_px_per_ft
17,ball,ball,1.70,551.7,metric_local,observed,mound_lateral_px_per_ft
18,pitcher,player,-7.20,541.8,metric_local,observed,mound_lateral_px_per_ft
18,batter,player,10.80,561.8,metric_local,observed,mound_lateral_px_per_ft
18,ball,ball,1.80,551.8,metric_local,observed,mound_lateral_px_per_ft
19,pitcher,player,-7.10,541.9,metric_local,observed,mound_lateral_px_per_ft
19,batter,player,10.90,561.9,metric_local,observed,mound_lateral_px_per_ft
19,ball,ball,1.90,551.9,metric_local,observed,mound_lateral_px_per_ft
20,pitcher,player,-7.00,542.0,metric_local,observed,mound_lateral_px_per_ft
20,batter,player,11.00,562.0,metric_local,observed,mound_lateral_px_per_ft
20,ball,ball,2.00,552.0,metric_local,observed,mound_lateral_px_per_ft
21,pitcher,player,-6.90,542.1,metric_local,observed,mound_lateral_px_per_ft
21,batter,player,11.10,562.1,metric_local,observed,mound_lateral_px_per_ft
21,ball,ball,2.10,552.1,metric_local,observed,mound_lateral_px_per_ft
22,pitcher,player,-6.80,542.2,metric_local,observed,mound_lateral_px_per_ft
22,batter,player,11.20,562.2,metric_local,observed,mound_lateral_px_per_ft
22,ball,ball,2.20,552.2,metric_local,observed,mound_lateral_px_per_ft
23,pitcher,player,-6.70,542.3,metric_local,observed,mound_lateral_px_per_ft
23,batter,player,11.30,562.3,metric_local,observed,mound_lateral_px_per_ft
23,ball,ball,2.30,552.3,metric_local,observed,mound_lateral_px_per_ft
24,pitcher,player,-6.60,542.4,metric_local,observed,mound_lateral_px_per_ft
24,batter,player,11.40,562.4,metric_local,observed,mound_lateral_px_per_ft
24,ball,ball,2.40,552.4,metric_local,observed,mound_lateral_px_per_ft
25,pitcher,player,-6.50,542.5,metric_local,observed,mound_lateral_px_per_ft
25,batter,player,11.50,562.5,metric_local,observed,mound_lateral_px_per_ft
25,ball,ball,2.50,552.5,metric_local,observed,mound_lateral_px_per_ft
26,pitcher,player,-6.40,542.6,metric_local,observed,mound_lateral_px_per_ft
26,batter,player,11.60,562.6,metric_local,observed,mound_lateral_px_per_ft
26,ball,ball,2.60,552.6,metric_local,observed,mound_lateral_px_per_ft
27,pitcher,player,-6.30,542.7,metric_local,observed,mound_lateral_px_per_ft
27,batter,player,11.70,562.7,metric_local,observed,mound_lateral_px_per_ft
27,ball,ball,2.70,552.7,metric_local,observed,mound_lateral_px_per_ft
28,pitcher,player,-6.20,542.8,metric_local,observed,mound_lateral_px_per_ft
28,batter,player,11.80,562.8,metric_local,observed,mound_lateral_px_per_ft
28,ball,ball,2.80,552.8,metric_local,observed,mound_lateral_px_per_ft
29,pitcher,player,-6.10,542.9,metric_local,observed,mound_lateral_px_per_ft
29,batter,player,11.90,562.9,metric_local,observed,mound_lateral_px_per_ft
29,ball,ball,2.90,552.9,metric_local,observed,mound_lateral_px_per_ft
